Data from terraverdeCiproWhite_Reflection__1__41.txt Node;
"Date: Wed Sep 10 12:38:50 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
426,065;5,16
426,32;5,14
426,576;5,16
426,832;5,14
427,088;5,19
427,344;5,18
427,6;5,25
427,856;5,23
428,112;5,22
428,368;5,2
428,623;5,24
428,879;5,24
429,135;5,2
429,391;5,22
429,646;5,29
429,902;5,31
430,158;5,39
430,414;5,38
430,669;5,44
430,925;5,45
431,181;5,47
431,436;5,5
431,692;5,53
431,947;5,57
432,203;5,58
432,458;5,56
432,714;5,57
432,97;5,57
433,225;5,62
433,481;5,66
433,736;5,68
433,991;5,7
434,247;5,71
434,502;5,77
434,758;5,83
435,013;5,81
435,268;5,8
435,524;5,78
435,779;5,81
436,034;5,8
436,29;5,81
436,545;5,82
436,8;5,79
437,056;5,8
437,311;5,79
437,566;5,8
437,821;5,81
438,076;5,81
438,331;5,82
438,587;5,82
438,842;5,83
439,097;5,87
439,352;5,88
439,607;5,9
439,862;5,91
440,117;5,91
440,372;5,89
440,627;5,94
440,882;5,96
441,137;5,96
441,392;5,99
441,647;6
441,902;6,05
442,157;6,05
442,412;6,07
442,667;6,06
442,921;6,09
443,176;6,13
443,431;6,14
443,686;6,19
443,941;6,21
444,195;6,24
444,45;6,23
444,705;6,25
444,96;6,28
445,214;6,29
445,469;6,29
445,724;6,33
445,978;6,36
446,233;6,4
446,487;6,46
446,742;6,44
446,997;6,45
447,251;6,44
447,506;6,52
447,76;6,52
448,015;6,56
448,269;6,61
448,524;6,63
448,778;6,68
449,033;6,63
449,287;6,63
449,541;6,65
449,796;6,7
450,05;6,75
450,305;6,79
450,559;6,8
450,813;6,83
451,067;6,83
451,322;6,83
451,576;6,81
451,83;6,84
452,084;6,88
452,339;6,93
452,593;7
452,847;7
453,101;7,05
453,355;7,07
453,609;7,06
453,864;7,07
454,118;7,02
454,372;7,06
454,626;7,1
454,88;7,15
455,134;7,16
455,388;7,15
455,642;7,12
455,896;7,15
456,15;7,12
456,404;7,17
456,658;7,16
456,912;7,2
457,165;7,19
457,419;7,21
457,673;7,17
457,927;7,1
458,181;7,13
458,435;7,1
458,688;7,12
458,942;7,13
459,196;7,11
459,45;7,15
459,703;7,18
459,957;7,15
460,211;7,14
460,464;7,18
460,718;7,2
460,972;7,24
461,225;7,24
461,479;7,3
461,732;7,29
461,986;7,31
462,239;7,33
462,493;7,36
462,746;7,37
463;7,41
463,253;7,47
463,507;7,49
463,76;7,54
464,014;7,52
464,267;7,57
464,52;7,62
464,774;7,66
465,027;7,72
465,28;7,76
465,534;7,75
465,787;7,76
466,04;7,76
466,294;7,75
466,547;7,78
466,8;7,8
467,053;7,84
467,306;7,86
467,56;7,89
467,813;7,89
468,066;7,89
468,319;7,92
468,572;7,91
468,825;7,93
469,078;7,96
469,331;7,99
469,584;8,03
469,837;8,02
470,09;8,07
470,343;8,05
470,596;8,09
470,849;8,16
471,102;8,14
471,355;8,21
471,608;8,26
471,861;8,32
472,114;8,33
472,367;8,34
472,619;8,4
472,872;8,41
473,125;8,45
473,378;8,51
473,631;8,55
473,883;8,57
474,136;8,62
474,389;8,67
474,641;8,69
474,894;8,68
475,147;8,75
475,399;8,75
475,652;8,8
475,905;8,79
476,157;8,79
476,41;8,84
476,662;8,83
476,915;8,84
477,167;8,85
477,42;8,89
477,672;8,91
477,925;8,92
478,177;8,94
478,43;8,96
478,682;8,95
478,934;8,95
479,187;8,98
479,439;8,99
479,691;8,98
479,944;9,04
480,196;9,09
480,448;9,14
480,701;9,15
480,953;9,18
481,205;9,21
481,457;9,24
481,709;9,27
481,962;9,31
482,214;9,35
482,466;9,38
482,718;9,44
482,97;9,53
483,222;9,61
483,474;9,68
483,726;9,74
483,978;9,79
484,23;9,86
484,482;9,89
484,734;9,93
484,986;9,94
485,238;9,93
485,49;9,94
485,742;9,94
485,994;9,97
486,246;9,97
486,498;9,97
486,75;10,01
487,001;10,03
487,253;10,04
487,505;10,05
487,757;10,07
488,009;10,06
488,26;10,05
488,512;10,05
488,764;10,04
489,015;10,02
489,267;10,03
489,519;10,01
489,77;10,01
490,022;10,02
490,274;10,02
490,525;10,05
490,777;10,08
491,028;10,09
491,28;10,08
491,531;10,09
491,783;10,1
492,034;10,15
492,286;10,17
492,537;10,21
492,789;10,23
493,04;10,22
493,291;10,22
493,543;10,25
493,794;10,24
494,045;10,25
494,297;10,26
494,548;10,27
494,799;10,3
495,051;10,32
495,302;10,33
495,553;10,37
495,804;10,4
496,056;10,43
496,307;10,43
496,558;10,49
496,809;10,52
497,06;10,53
497,311;10,49
497,562;10,52
497,813;10,52
498,064;10,54
498,316;10,58
498,567;10,62
498,818;10,6
499,069;10,62
499,319;10,67
499,57;10,7
499,821;10,72
500,072;10,74
500,323;10,76
500,574;10,77
500,825;10,81
501,076;10,82
501,327;10,82
501,577;10,86
501,828;10,85
502,079;10,89
502,33;10,94
502,58;10,99
502,831;11
503,082;11,02
503,333;11,06
503,583;11,08
503,834;11,13
504,084;11,17
504,335;11,2
504,586;11,21
504,836;11,22
505,087;11,24
505,337;11,28
505,588;11,28
505,838;11,32
506,089;11,38
506,339;11,39
506,59;11,44
506,84;11,47
507,091;11,52
507,341;11,51
507,591;11,53
507,842;11,57
508,092;11,61
508,343;11,64
508,593;11,64
508,843;11,66
509,093;11,63
509,344;11,66
509,594;11,67
509,844;11,71
510,094;11,73
510,345;11,75
510,595;11,76
510,845;11,78
511,095;11,78
511,345;11,75
511,595;11,81
511,845;11,79
512,095;11,84
512,345;11,83
