Data from terraverdeCiproWhite_Reflection__3__43.txt Node;
"Date: Wed Sep 10 12:40:36 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
475,399;20,79
475,652;20,85
475,905;20,89
476,157;20,96
476,41;21,05
476,662;21,04
476,915;21,11
477,167;21,14
477,42;21,2
477,672;21,24
477,925;21,33
478,177;21,37
478,43;21,43
478,682;21,44
478,934;21,51
479,187;21,61
479,439;21,64
479,691;21,71
479,944;21,78
480,196;21,83
480,448;21,89
480,701;21,94
480,953;21,97
481,205;22,04
481,457;22,08
481,709;22,12
481,962;22,21
482,214;22,31
482,466;22,42
482,718;22,56
482,97;22,71
483,222;22,79
483,474;22,91
483,726;23,05
483,978;23,14
484,23;23,21
484,482;23,29
484,734;23,33
484,986;23,36
485,238;23,41
485,49;23,45
485,742;23,5
485,994;23,52
486,246;23,55
486,498;23,54
486,75;23,59
487,001;23,62
487,253;23,63
487,505;23,62
487,757;23,64
488,009;23,59
488,26;23,57
488,512;23,57
488,764;23,55
489,015;23,51
489,267;23,5
489,519;23,5
489,77;23,46
490,022;23,5
490,274;23,53
490,525;23,54
490,777;23,56
491,028;23,57
491,28;23,61
491,531;23,64
491,783;23,68
492,034;23,73
492,286;23,76
492,537;23,82
492,789;23,85
493,04;23,87
493,291;23,92
493,543;23,95
493,794;23,96
494,045;24
494,297;24,03
494,548;24,07
494,799;24,09
495,051;24,14
495,302;24,18
495,553;24,2
495,804;24,24
496,056;24,27
496,307;24,29
496,558;24,33
496,809;24,39
497,06;24,42
497,311;24,42
497,562;24,48
497,813;24,5
498,064;24,55
498,316;24,59
498,567;24,62
498,818;24,62
499,069;24,66
499,319;24,67
499,57;24,71
499,821;24,74
500,072;24,77
500,323;24,8
500,574;24,82
500,825;24,85
501,076;24,9
501,327;24,92
501,577;24,98
501,828;24,98
502,079;25,02
502,33;25,06
502,58;25,11
502,831;25,12
503,082;25,14
503,333;25,16
503,583;25,18
503,834;25,23
504,084;25,28
504,335;25,33
504,586;25,37
504,836;25,42
505,087;25,44
505,337;25,51
505,588;25,54
505,838;25,6
506,089;25,65
506,339;25,68
506,59;25,75
506,84;25,76
507,091;25,85
507,341;25,86
507,591;25,91
507,842;25,93
508,092;25,96
508,343;26,01
508,593;26,03
508,843;26,05
509,093;26,08
509,344;26,1
509,594;26,14
509,844;26,15
510,094;26,16
510,345;26,2
510,595;26,22
510,845;26,25
511,095;26,29
511,345;26,31
511,595;26,34
511,845;26,33
512,095;26,4
512,345;26,42
512,595;26,48
512,845;26,5
513,095;26,56
513,345;26,6
513,595;26,65
513,845;26,69
514,095;26,75
514,345;26,79
514,595;26,83
514,845;26,85
515,095;26,88
515,345;26,92
515,594;26,97
515,844;27,02
516,094;27,1
516,344;27,1
516,593;27,12
516,843;27,14
517,093;27,21
517,343;27,21
517,592;27,25
517,842;27,3
518,092;27,35
518,341;27,37
518,591;27,42
518,84;27,44
519,09;27,5
519,34;27,53
519,589;27,56
519,839;27,59
520,088;27,64
520,338;27,7
520,587;27,74
520,836;27,76
521,086;27,79
521,335;27,82
521,585;27,87
521,834;27,93
522,083;27,99
522,333;28,03
522,582;28,12
522,831;28,18
523,081;28,18
523,33;28,21
523,579;28,26
523,828;28,32
524,078;28,36
524,327;28,41
524,576;28,48
524,825;28,52
525,074;28,59
525,323;28,64
525,573;28,7
525,822;28,76
526,071;28,82
526,32;28,85
526,569;28,88
526,818;28,94
527,067;28,97
527,316;28,99
527,565;29,06
527,814;29,08
528,063;29,11
528,312;29,16
528,56;29,23
528,809;29,28
529,058;29,32
529,307;29,37
529,556;29,4
529,805;29,43
530,053;29,48
530,302;29,52
530,551;29,57
530,8;29,61
531,048;29,67
531,297;29,71
531,546;29,78
531,794;29,85
532,043;29,87
532,292;29,94
532,54;29,97
532,789;30,01
533,037;30,07
533,286;30,1
533,535;30,17
533,783;30,19
534,032;30,23
534,28;30,27
534,528;30,3
534,777;30,35
535,025;30,38
535,274;30,41
535,522;30,48
535,771;30,47
536,019;30,52
536,267;30,55
536,516;30,58
536,764;30,63
537,012;30,65
537,26;30,72
537,509;30,76
537,757;30,82
538,005;30,84
538,253;30,86
538,501;30,91
538,75;30,91
538,998;30,96
539,246;31
539,494;31,02
539,742;31,06
539,99;31,09
540,238;31,13
540,486;31,21
540,734;31,16
540,982;31,21
541,23;31,23
541,478;31,26
541,726;31,3
541,974;31,31
542,222;31,34
542,47;31,35
542,718;31,37
542,966;31,39
543,213;31,4
543,461;31,42
543,709;31,46
543,957;31,49
544,205;31,51
544,452;31,55
544,7;31,57
544,948;31,61
545,196;31,63
545,443;31,66
545,691;31,68
545,939;31,75
546,186;31,79
546,434;31,81
546,681;31,82
546,929;31,82
547,176;31,82
547,424;31,83
547,671;31,85
547,919;31,9
548,166;31,94
548,414;31,99
548,661;32,03
548,909;32,05
549,156;32,08
549,404;32,12
549,651;32,14
549,898;32,18
550,146;32,2
550,393;32,25
550,64;32,27
550,888;32,28
551,135;32,3
551,382;32,33
551,629;32,36
551,876;32,39
552,124;32,44
552,371;32,5
552,618;32,54
552,865;32,58
553,112;32,59
553,359;32,61
553,606;32,64
553,854;32,66
554,101;32,67
554,348;32,7
554,595;32,72
554,842;32,74
555,089;32,74
555,336;32,76
555,582;32,78
555,829;32,81
556,076;32,83
556,323;32,85
556,57;32,85
556,817;32,88
557,064;32,89
557,311;32,9
557,557;32,89
557,804;32,91
558,051;32,91
558,298;32,92
558,544;32,94
558,791;32,94
559,038;32,93
559,284;32,94
559,531;32,95
559,778;32,95
560,024;32,96
560,271;32,99
560,517;33,02
560,764;33,05
561,011;33,02
561,257;33,04
561,504;33,05
561,75;33,06
561,997;33,05
562,243;33,05
562,489;33,04
562,736;33,05
562,982;33,06
563,229;33,09
563,475;33,07
563,721;33,07
563,968;33,09
564,214;33,11
564,46;33,14
564,707;33,2
564,953;33,2
565,199;33,2
565,445;33,22
565,691;33,22
565,938;33,21
566,184;33,24
566,43;33,25
566,676;33,27
566,922;33,3
567,168;33,31
567,414;33,36
567,66;33,37
567,906;33,39
568,152;33,4
568,398;33,39
568,644;33,42
568,89;33,43
569,136;33,43
569,382;33,42
569,628;33,39
569,874;33,36
570,12;33,37
570,366;33,35
570,612;33,36
570,857;33,34
571,103;33,33
571,349;33,32
571,595;33,3
571,84;33,29
572,086;33,29
572,332;33,3
572,578;33,28
572,823;33,27
573,069;33,22
573,315;33,21
573,56;33,19
573,806;33,17
574,051;33,14
574,297;33,14
574,542;33,14
574,788;33,12
575,034;33,1
575,279;33,09
575,524;33,09
575,77;33,06
576,015;33,05
576,261;33,02
576,506;33,02
576,752;33,01
576,997;33
577,242;32,98
577,488;32,96
577,733;32,94
577,978;32,95
578,223;32,96
578,469;32,96
578,714;32,96
578,959;32,94
579,204;32,95
579,45;32,92
579,695;32,9
579,94;32,91
580,185;32,89
580,43;32,88
580,675;32,87
580,92;32,86
581,165;32,85
581,41;32,85
581,655;32,83
581,9;32,81
582,145;32,81
582,39;32,81
582,635;32,8
582,88;32,78
583,125;32,77
583,37;32,78
583,615;32,75
583,86;32,73
584,105;32,71
584,349;32,72
584,594;32,7
584,839;32,71
585,084;32,69
585,328;32,69
585,573;32,68
585,818;32,67
586,063;32,64
586,307;32,63
586,552;32,59
586,797;32,61
587,041;32,59
587,286;32,56
587,53;32,53
587,775;32,53
588,019;32,52
588,264;32,5
588,508;32,49
588,753;32,5
588,997;32,5
589,242;32,49
589,486;32,45
589,731;32,46
589,975;32,44
590,22;32,43
590,464;32,42
590,708;32,42
590,953;32,41
591,197;32,41
591,441;32,4
591,685;32,4
591,93;32,36
592,174;32,35
592,418;32,33
592,662;32,32
592,907;32,29
593,151;32,28
593,395;32,23
593,639;32,2
593,883;32,17
594,127;32,15
594,371;32,13
594,615;32,11
594,859;32,1
595,103;32,09
595,347;32,05
595,591;32,04
595,835;32
596,079;31,98
596,323;31,97
596,567;31,96
596,811;31,95
597,055;31,92
597,299;31,91
597,542;31,89
597,786;31,87
598,03;31,86
598,274;31,83
598,518;31,85
598,761;31,84
599,005;31,81
599,249;31,81
599,492;31,79
599,736;31,77
599,98;31,75
600,223;31,73
600,467;31,74
600,711;31,7
600,954;31,69
601,198;31,69
601,441;31,66
601,685;31,61
601,928;31,59
602,172;31,59
602,415;31,59
602,659;31,58
602,902;31,56
603,145;31,52
603,389;31,51
603,632;31,5
603,876;31,49
604,119;31,49
604,362;31,46
604,606;31,44
604,849;31,46
605,092;31,42
605,335;31,41
605,579;31,34
605,822;31,33
606,065;31,29
606,308;31,29
606,551;31,3
606,794;31,3
607,037;31,28
607,281;31,24
607,524;31,23
607,767;31,2
608,01;31,21
608,253;31,21
608,496;31,18
608,739;31,15
608,982;31,12
609,225;31,08
609,468;31,06
609,711;31,05
609,953;31
610,196;31,01
610,439;30,97
610,682;30,99
610,925;30,98
611,168;31,01
611,41;30,99
