Data from terraverdeCiproWhite_Reflection__0__40.txt Node;
"Date: Wed Sep 10 12:37:34 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
411,189;39,75
411,446;39,81
411,703;39,78
411,96;39,79
412,217;39,81
412,474;39,81
412,731;39,78
412,988;39,79
413,245;39,86
413,501;39,97
413,758;39,91
414,015;39,9
414,272;39,93
414,529;39,99
414,785;39,96
415,042;40,03
415,299;40,14
415,555;40,07
415,812;40,07
416,069;40,06
416,325;40,16
416,582;40,18
416,838;40,22
417,095;40,23
417,352;40,26
417,608;40,32
417,865;40,41
418,121;40,48
418,378;40,53
418,634;40,58
418,891;40,65
419,147;40,76
419,403;40,88
419,66;40,89
419,916;40,99
420,173;41,03
420,429;41,08
420,685;41,08
420,942;41,19
421,198;41,23
421,454;41,25
421,711;41,28
421,967;41,3
422,223;41,32
422,479;41,4
422,735;41,43
422,992;41,38
423,248;41,36
423,504;41,39
423,76;41,39
424,016;41,36
424,272;41,34
424,528;41,34
424,784;41,3
425,041;41,31
425,297;41,29
425,553;41,35
425,809;41,33
426,065;41,38
426,32;41,39
426,576;41,44
426,832;41,55
427,088;41,63
427,344;41,72
427,6;41,76
427,856;41,8
428,112;41,82
428,368;41,93
428,623;42,01
428,879;42,05
429,135;42,06
429,391;42,11
429,646;42,16
429,902;42,14
430,158;42,2
430,414;42,33
430,669;42,4
430,925;42,46
431,181;42,54
431,436;42,58
431,692;42,56
431,947;42,62
432,203;42,6
432,458;42,57
432,714;42,61
432,97;42,62
433,225;42,67
433,481;42,65
433,736;42,69
433,991;42,71
434,247;42,74
434,502;42,87
434,758;42,91
435,013;42,91
435,268;42,95
435,524;42,95
435,779;42,95
436,034;42,94
436,29;42,99
436,545;43
436,8;43,03
437,056;43,15
437,311;43,16
437,566;43,25
437,821;43,31
438,076;43,29
438,331;43,35
438,587;43,38
438,842;43,5
439,097;43,57
439,352;43,67
439,607;43,62
439,862;43,62
440,117;43,65
440,372;43,74
440,627;43,81
440,882;43,9
441,137;43,97
441,392;44,06
441,647;44,05
441,902;44,09
442,157;44,17
442,412;44,2
442,667;44,22
442,921;44,19
443,176;44,26
443,431;44,36
443,686;44,37
443,941;44,41
444,195;44,46
444,45;44,44
444,705;44,46
444,96;44,59
445,214;44,61
445,469;44,69
445,724;44,73
445,978;44,84
446,233;44,86
446,487;44,84
446,742;44,84
446,997;44,91
447,251;44,9
447,506;44,92
447,76;44,91
448,015;44,97
448,269;45,01
448,524;45,02
448,778;45,02
449,033;45,01
449,287;44,99
449,541;45,04
449,796;45,09
450,05;45,12
450,305;45,15
450,559;45,18
450,813;45,15
451,067;45,14
451,322;45,06
451,576;45,05
451,83;45,09
452,084;45,07
452,339;45,1
452,593;45,14
452,847;45,15
453,101;45,25
453,355;45,29
453,609;45,38
453,864;45,39
454,118;45,43
454,372;45,53
454,626;45,61
454,88;45,58
455,134;45,63
455,388;45,63
455,642;45,63
455,896;45,73
456,15;45,77
456,404;45,81
456,658;45,9
456,912;45,92
457,165;45,94
457,419;46
457,673;46,03
457,927;46,06
458,181;46,13
458,435;46,13
458,688;46,12
458,942;46,17
459,196;46,19
459,45;46,15
459,703;46,15
459,957;46,22
460,211;46,24
460,464;46,23
460,718;46,3
460,972;46,36
461,225;46,31
461,479;46,37
461,732;46,38
461,986;46,38
462,239;46,39
462,493;46,48
462,746;46,55
463;46,56
463,253;46,64
463,507;46,64
463,76;46,72
464,014;46,79
464,267;46,76
464,52;46,88
464,774;47
465,027;47,02
465,28;47,03
465,534;47,07
465,787;47,16
466,04;47,16
466,294;47,22
466,547;47,26
466,8;47,3
467,053;47,37
467,306;47,4
467,56;47,46
467,813;47,45
468,066;47,52
468,319;47,59
468,572;47,57
468,825;47,63
469,078;47,62
469,331;47,66
469,584;47,74
469,837;47,72
470,09;47,75
470,343;47,82
470,596;47,91
470,849;47,97
471,102;47,96
471,355;48,12
471,608;48,16
471,861;48,31
472,114;48,34
472,367;48,41
472,619;48,51
472,872;48,62
473,125;48,67
473,378;48,71
