Data from cinnabarWhite_Reflection__2__17.txt Node;
"Date: Wed Sep 10 11:49:56 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
420,429;5,76
420,685;5,77
420,942;5,77
421,198;5,8
421,454;5,76
421,711;5,74
421,967;5,72
422,223;5,67
422,479;5,69
422,735;5,67
422,992;5,67
423,248;5,63
423,504;5,64
423,76;5,68
424,016;5,62
424,272;5,57
424,528;5,53
424,784;5,49
425,041;5,51
425,297;5,48
425,553;5,5
425,809;5,51
426,065;5,44
426,32;5,47
426,576;5,46
426,832;5,48
427,088;5,53
427,344;5,51
427,6;5,54
427,856;5,54
428,112;5,55
428,368;5,56
428,623;5,55
428,879;5,56
429,135;5,55
429,391;5,58
429,646;5,65
429,902;5,65
430,158;5,65
430,414;5,61
430,669;5,67
430,925;5,63
431,181;5,66
431,436;5,72
431,692;5,72
431,947;5,73
432,203;5,71
432,458;5,7
432,714;5,71
432,97;5,69
433,225;5,7
433,481;5,72
433,736;5,68
433,991;5,7
434,247;5,69
434,502;5,66
434,758;5,67
435,013;5,57
435,268;5,59
435,524;5,64
435,779;5,65
436,034;5,64
436,29;5,66
436,545;5,62
436,8;5,56
437,056;5,54
437,311;5,56
437,566;5,57
437,821;5,56
438,076;5,56
438,331;5,62
438,587;5,63
438,842;5,61
439,097;5,64
439,352;5,67
439,607;5,62
439,862;5,66
440,117;5,66
440,372;5,69
440,627;5,7
440,882;5,67
441,137;5,71
441,392;5,69
441,647;5,7
441,902;5,73
442,157;5,75
442,412;5,73
442,667;5,71
442,921;5,69
443,176;5,72
443,431;5,74
443,686;5,72
443,941;5,73
444,195;5,75
444,45;5,7
444,705;5,67
444,96;5,73
445,214;5,7
445,469;5,69
445,724;5,7
445,978;5,71
446,233;5,73
446,487;5,74
446,742;5,74
446,997;5,71
447,251;5,67
447,506;5,69
447,76;5,67
448,015;5,67
448,269;5,71
448,524;5,69
448,778;5,64
449,033;5,59
449,287;5,59
449,541;5,57
449,796;5,62
450,05;5,7
450,305;5,67
450,559;5,68
450,813;5,7
451,067;5,67
451,322;5,62
451,576;5,61
451,83;5,59
452,084;5,65
452,339;5,68
452,593;5,73
452,847;5,69
453,101;5,69
453,355;5,71
453,609;5,68
453,864;5,64
454,118;5,65
454,372;5,66
454,626;5,66
454,88;5,67
455,134;5,69
455,388;5,63
455,642;5,61
455,896;5,64
456,15;5,6
456,404;5,63
456,658;5,62
456,912;5,59
457,165;5,57
457,419;5,5
457,673;5,46
457,927;5,4
458,181;5,42
458,435;5,42
458,688;5,42
458,942;5,4
459,196;5,41
459,45;5,43
459,703;5,41
459,957;5,38
460,211;5,38
460,464;5,38
460,718;5,36
460,972;5,41
461,225;5,36
461,479;5,38
461,732;5,35
461,986;5,39
462,239;5,4
462,493;5,42
462,746;5,43
463;5,42
463,253;5,47
463,507;5,44
463,76;5,45
464,014;5,44
464,267;5,5
464,52;5,53
464,774;5,54
465,027;5,56
465,28;5,58
465,534;5,55
465,787;5,53
466,04;5,54
466,294;5,51
466,547;5,53
466,8;5,56
467,053;5,56
467,306;5,52
467,56;5,56
467,813;5,57
468,066;5,6
468,319;5,61
468,572;5,58
468,825;5,61
469,078;5,63
469,331;5,61
469,584;5,57
469,837;5,56
470,09;5,56
470,343;5,55
470,596;5,57
470,849;5,57
471,102;5,57
471,355;5,56
471,608;5,57
471,861;5,61
472,114;5,55
472,367;5,55
472,619;5,58
472,872;5,54
473,125;5,54
473,378;5,53
473,631;5,56
473,883;5,56
474,136;5,56
474,389;5,59
474,641;5,62
474,894;5,59
475,147;5,59
475,399;5,59
475,652;5,61
475,905;5,63
476,157;5,67
476,41;5,69
476,662;5,67
476,915;5,67
477,167;5,64
477,42;5,65
477,672;5,66
477,925;5,66
478,177;5,68
478,43;5,69
478,682;5,67
478,934;5,64
479,187;5,66
479,439;5,69
