Data from cinnabarWhite_Reflection__3__18.txt Node;
"Date: Wed Sep 10 11:51:16 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
483,222;5,29
483,474;5,3
483,726;5,29
483,978;5,32
484,23;5,37
484,482;5,36
484,734;5,36
484,986;5,36
485,238;5,35
485,49;5,35
485,742;5,34
485,994;5,35
486,246;5,38
486,498;5,38
486,75;5,39
487,001;5,42
487,253;5,44
487,505;5,44
487,757;5,44
488,009;5,43
488,26;5,43
488,512;5,45
488,764;5,43
489,015;5,44
489,267;5,45
489,519;5,42
489,77;5,44
490,022;5,45
490,274;5,46
490,525;5,49
490,777;5,49
491,028;5,51
491,28;5,54
491,531;5,55
491,783;5,56
492,034;5,6
492,286;5,62
492,537;5,66
492,789;5,69
493,04;5,71
493,291;5,72
493,543;5,73
493,794;5,73
494,045;5,77
494,297;5,79
494,548;5,81
494,799;5,81
495,051;5,82
495,302;5,85
495,553;5,87
495,804;5,89
496,056;5,91
496,307;5,93
496,558;5,94
496,809;5,96
497,06;6
497,311;5,99
497,562;5,99
497,813;6
498,064;6,02
498,316;6,03
498,567;6,06
498,818;6,06
499,069;6,09
499,319;6,11
499,57;6,13
499,821;6,17
500,072;6,23
500,323;6,25
500,574;6,27
500,825;6,3
501,076;6,34
501,327;6,39
501,577;6,45
501,828;6,47
502,079;6,51
502,33;6,54
502,58;6,58
502,831;6,63
503,082;6,64
503,333;6,71
503,583;6,78
503,834;6,85
504,084;6,91
504,335;6,99
504,586;7,04
504,836;7,1
505,087;7,15
505,337;7,22
505,588;7,28
505,838;7,34
506,089;7,42
506,339;7,48
506,59;7,55
506,84;7,61
507,091;7,72
507,341;7,79
507,591;7,87
507,842;7,96
508,092;8,05
508,343;8,15
508,593;8,2
508,843;8,27
509,093;8,33
509,344;8,41
509,594;8,48
509,844;8,56
510,094;8,63
510,345;8,71
510,595;8,78
510,845;8,85
511,095;8,92
511,345;8,99
511,595;9,04
511,845;9,1
512,095;9,15
512,345;9,18
512,595;9,23
512,845;9,29
513,095;9,37
513,345;9,43
513,595;9,5
513,845;9,54
514,095;9,59
514,345;9,67
514,595;9,74
514,845;9,78
515,095;9,83
515,345;9,87
515,594;9,9
515,844;9,93
516,094;10
516,344;10,04
516,593;10,07
516,843;10,11
517,093;10,15
517,343;10,18
517,592;10,24
517,842;10,31
518,092;10,38
518,341;10,35
518,591;10,4
518,84;10,41
519,09;10,45
519,34;10,48
519,589;10,49
519,839;10,51
520,088;10,53
520,338;10,53
520,587;10,58
520,836;10,59
521,086;10,6
521,335;10,6
521,585;10,61
521,834;10,65
522,083;10,66
522,333;10,69
522,582;10,72
522,831;10,74
523,081;10,71
523,33;10,67
523,579;10,72
523,828;10,71
524,078;10,7
524,327;10,69
524,576;10,7
524,825;10,71
525,074;10,73
525,323;10,74
525,573;10,77
525,822;10,79
526,071;10,81
526,32;10,84
526,569;10,86
526,818;10,86
527,067;10,87
527,316;10,9
527,565;10,93
527,814;10,93
528,063;10,94
528,312;10,96
528,56;10,98
528,809;10,98
529,058;11,02
529,307;11,05
529,556;11,08
529,805;11,11
530,053;11,12
530,302;11,14
530,551;11,17
530,8;11,17
531,048;11,2
531,297;11,23
531,546;11,24
531,794;11,24
532,043;11,25
532,292;11,25
532,54;11,26
532,789;11,26
533,037;11,27
533,286;11,27
533,535;11,27
533,783;11,3
534,032;11,33
534,28;11,31
534,528;11,32
534,777;11,34
535,025;11,35
535,274;11,36
535,522;11,36
535,771;11,36
536,019;11,37
536,267;11,35
536,516;11,34
536,764;11,38
537,012;11,39
537,26;11,41
537,509;11,44
537,757;11,44
538,005;11,45
538,253;11,46
538,501;11,47
538,75;11,48
538,998;11,5
539,246;11,48
539,494;11,5
539,742;11,51
539,99;11,53
540,238;11,53
540,486;11,54
540,734;11,54
540,982;11,54
541,23;11,55
541,478;11,56
541,726;11,58
541,974;11,56
542,222;11,59
542,47;11,6
542,718;11,61
542,966;11,62
543,213;11,61
543,461;11,63
543,709;11,65
543,957;11,69
544,205;11,69
544,452;11,71
544,7;11,71
544,948;11,75
