Data from sienaBrucWhite_Reflection__3__57.txt Node;
"Date: Thu Sep 11 17:17:03 CEST 2025 User: sycur";
379,196;3,06
379,455;3,04
379,714;3,04
379,973;3,04
380,232;3,05
380,491;3,05
380,75;3,05
381,009;3,05
381,268;3,05
381,527;3,06
381,786;3,05
382,045;3,04
382,304;3,04
382,563;3,03
382,821;3,04
383,08;3,03
383,339;3,03
383,598;3,04
383,857;3,03
384,115;3,03
384,374;3,02
384,633;3
384,891;3
385,15;3
385,409;3
385,667;2,99
385,926;3
386,185;2,99
386,443;2,99
386,702;2,99
386,96;2,98
387,219;2,98
387,477;2,97
387,736;2,97
387,994;2,97
388,253;2,95
388,511;2,98
388,77;2,97
389,028;2,96
389,287;2,97
389,545;2,98
389,803;2,99
390,062;3
390,32;3,01
390,578;3,01
390,837;3,02
391,095;3,02
391,353;3
391,612;3,01
391,87;3
392,128;2,99
392,386;3
392,644;3,02
392,903;3,03
393,161;3,03
393,419;3,02
393,677;3,01
393,935;2,99
394,193;2,99
394,451;3,02
394,709;2,99
394,967;2,97
395,225;2,98
395,483;2,98
395,741;2,97
395,999;2,97
396,257;2,98
396,515;2,98
396,773;2,98
397,031;2,98
397,289;2,98
397,547;2,99
397,805;2,98
398,062;2,98
398,32;2,99
398,578;3,01
398,836;3,02
399,094;3,03
399,351;3,05
399,609;3,06
399,867;3,04
400,124;3,06
400,382;3,09
400,64;3,09
400,897;3,1
401,155;3,1
401,413;3,13
401,67;3,13
401,928;3,12
402,185;3,14
402,443;3,14
402,701;3,14
402,958;3,14
403,216;3,16
403,473;3,16
403,73;3,15
403,988;3,15
404,245;3,14
404,503;3,15
404,76;3,14
405,018;3,13
405,275;3,13
405,532;3,12
405,79;3,12
406,047;3,11
406,304;3,09
406,561;3,1
406,819;3,07
407,076;3,07
407,333;3,06
407,59;3,05
407,848;3,06
408,105;3,06
408,362;3,06
408,619;3,04
408,876;3,04
409,133;3,03
409,39;3,04
409,647;3,04
409,904;3,02
410,161;3,02
410,418;3,04
410,675;3,04
410,932;3,05
411,189;3,05
411,446;3,05
411,703;3,07
411,96;3,07
412,217;3,09
412,474;3,09
412,731;3,11
412,988;3,11
413,245;3,1
413,501;3,09
413,758;3,08
414,015;3,1
414,272;3,1
414,529;3,1
414,785;3,09
415,042;3,08
415,299;3,1
415,555;3,1
415,812;3,09
416,069;3,1
416,325;3,09
416,582;3,09
416,838;3,1
417,095;3,09
417,352;3,07
417,608;3,07
417,865;3,07
418,121;3,08
418,378;3,08
418,634;3,09
418,891;3,1
419,147;3,09
419,403;3,09
419,66;3,1
419,916;3,1
420,173;3,11
420,429;3,13
420,685;3,12
420,942;3,13
421,198;3,13
421,454;3,14
421,711;3,15
421,967;3,16
422,223;3,16
422,479;3,16
422,735;3,18
422,992;3,18
423,248;3,18
423,504;3,18
423,76;3,18
424,016;3,17
424,272;3,18
424,528;3,19
424,784;3,2
425,041;3,19
425,297;3,2
425,553;3,2
425,809;3,21
426,065;3,22
426,32;3,22
426,576;3,24
426,832;3,23
427,088;3,21
427,344;3,21
427,6;3,22
427,856;3,22
428,112;3,21
428,368;3,21
428,623;3,22
428,879;3,22
429,135;3,2
429,391;3,21
429,646;3,21
429,902;3,2
430,158;3,2
430,414;3,2
430,669;3,2
430,925;3,21
431,181;3,21
431,436;3,2
431,692;3,2
431,947;3,18
432,203;3,18
432,458;3,19
432,714;3,18
432,97;3,18
433,225;3,17
433,481;3,17
433,736;3,17
433,991;3,18
434,247;3,18
434,502;3,21
434,758;3,22
435,013;3,22
435,268;3,24
435,524;3,25
435,779;3,26
436,034;3,26
436,29;3,26
436,545;3,27
436,8;3,28
437,056;3,28
437,311;3,28
437,566;3,3
437,821;3,3
438,076;3,3
438,331;3,31
438,587;3,3
438,842;3,3
439,097;3,31
439,352;3,33
439,607;3,33
439,862;3,33
440,117;3,33
440,372;3,32
440,627;3,31
440,882;3,31
441,137;3,31
441,392;3,32
441,647;3,31
441,902;3,31
442,157;3,31
442,412;3,32
442,667;3,32
442,921;3,32
443,176;3,32
443,431;3,33
443,686;3,34
443,941;3,35
444,195;3,38
444,45;3,38
444,705;3,38
444,96;3,38
445,214;3,39
445,469;3,39
445,724;3,39
445,978;3,39
446,233;3,4
446,487;3,39
446,742;3,39
446,997;3,4
447,251;3,41
447,506;3,4
447,76;3,41
448,015;3,42
448,269;3,43
448,524;3,43
448,778;3,42
449,033;3,42
449,287;3,43
449,541;3,42
449,796;3,43
450,05;3,41
450,305;3,42
450,559;3,41
