Data from sienaBrucWhite_Reflection__1__55.txt Node;
"Date: Thu Sep 11 17:15:43 CEST 2025 User: sycur";
473,378;2,45
473,631;2,45
473,883;2,46
474,136;2,47
474,389;2,46
474,641;2,47
474,894;2,47
475,147;2,47
475,399;2,48
475,652;2,48
475,905;2,49
476,157;2,5
476,41;2,5
476,662;2,51
476,915;2,52
477,167;2,52
477,42;2,52
477,672;2,53
477,925;2,54
478,177;2,55
478,43;2,55
478,682;2,55
478,934;2,55
479,187;2,56
479,439;2,55
479,691;2,57
479,944;2,57
480,196;2,57
480,448;2,57
480,701;2,57
480,953;2,57
481,205;2,57
481,457;2,57
481,709;2,57
481,962;2,57
482,214;2,58
482,466;2,59
482,718;2,6
482,97;2,61
483,222;2,63
483,474;2,64
483,726;2,67
483,978;2,68
484,23;2,7
484,482;2,69
484,734;2,71
484,986;2,7
485,238;2,7
485,49;2,71
485,742;2,71
485,994;2,72
486,246;2,73
486,498;2,73
486,75;2,74
487,001;2,75
487,253;2,76
487,505;2,75
487,757;2,75
488,009;2,75
488,26;2,74
488,512;2,73
488,764;2,73
489,015;2,72
489,267;2,72
489,519;2,71
489,77;2,72
490,022;2,72
490,274;2,72
490,525;2,73
490,777;2,73
491,028;2,73
491,28;2,73
491,531;2,73
491,783;2,73
492,034;2,73
492,286;2,72
492,537;2,72
492,789;2,73
493,04;2,73
493,291;2,73
493,543;2,75
493,794;2,76
494,045;2,76
494,297;2,76
494,548;2,76
494,799;2,77
495,051;2,77
495,302;2,77
495,553;2,78
495,804;2,78
496,056;2,79
496,307;2,79
496,558;2,8
496,809;2,8
497,06;2,8
497,311;2,81
497,562;2,82
497,813;2,83
498,064;2,83
498,316;2,84
498,567;2,83
498,818;2,83
499,069;2,83
499,319;2,82
499,57;2,82
499,821;2,82
500,072;2,82
500,323;2,82
500,574;2,83
500,825;2,83
501,076;2,84
501,327;2,84
501,577;2,84
501,828;2,85
502,079;2,85
502,33;2,85
502,58;2,85
502,831;2,85
503,082;2,84
503,333;2,85
503,583;2,86
503,834;2,87
504,084;2,88
504,335;2,88
504,586;2,88
504,836;2,89
505,087;2,89
505,337;2,9
505,588;2,9
505,838;2,9
506,089;2,91
506,339;2,91
506,59;2,92
506,84;2,92
507,091;2,91
507,341;2,91
507,591;2,93
507,842;2,93
508,092;2,93
508,343;2,94
508,593;2,95
508,843;2,95
509,093;2,96
509,344;2,96
509,594;2,96
509,844;2,96
510,094;2,97
510,345;2,97
510,595;2,98
510,845;2,99
511,095;2,99
511,345;2,99
511,595;2,99
511,845;2,99
512,095;2,99
512,345;2,99
512,595;3
512,845;3
513,095;3,01
513,345;3,02
513,595;3,02
513,845;3,01
514,095;3,02
514,345;3,01
514,595;3,02
514,845;3,02
515,095;3,03
515,345;3,03
515,594;3,03
515,844;3,03
516,094;3,03
516,344;3,03
516,593;3,02
516,843;3,02
517,093;3,04
517,343;3,05
517,592;3,07
517,842;3,07
518,092;3,07
518,341;3,08
518,591;3,09
518,84;3,09
519,09;3,09
519,34;3,1
519,589;3,11
519,839;3,11
520,088;3,12
520,338;3,12
520,587;3,12
520,836;3,12
521,086;3,13
521,335;3,13
521,585;3,15
521,834;3,16
522,083;3,17
522,333;3,17
522,582;3,16
522,831;3,16
523,081;3,17
523,33;3,17
523,579;3,17
523,828;3,17
524,078;3,18
524,327;3,18
524,576;3,18
524,825;3,19
525,074;3,19
525,323;3,19
525,573;3,2
525,822;3,21
526,071;3,22
526,32;3,23
526,569;3,24
526,818;3,24
527,067;3,24
527,316;3,24
527,565;3,25
527,814;3,26
528,063;3,26
528,312;3,27
528,56;3,28
528,809;3,28
