Data from sienaBrucWhite_Reflection__2__56.txt Node;
"Date: Thu Sep 11 17:16:20 CEST 2025 User: sycur";
517,093;4,79
517,343;4,81
517,592;4,83
517,842;4,84
518,092;4,85
518,341;4,86
518,591;4,88
518,84;4,88
519,09;4,89
519,34;4,9
519,589;4,9
519,839;4,92
520,088;4,94
520,338;4,95
520,587;4,95
520,836;4,97
521,086;4,97
521,335;4,98
521,585;4,99
521,834;5,01
522,083;5,02
522,333;5,03
522,582;5,04
522,831;5,05
523,081;5,07
523,33;5,08
523,579;5,09
523,828;5,1
524,078;5,12
524,327;5,13
524,576;5,15
524,825;5,17
525,074;5,18
525,323;5,18
525,573;5,2
525,822;5,21
526,071;5,22
526,32;5,25
526,569;5,27
526,818;5,27
527,067;5,28
527,316;5,29
527,565;5,3
527,814;5,31
528,063;5,33
528,312;5,34
528,56;5,35
528,809;5,36
529,058;5,38
529,307;5,38
529,556;5,4
529,805;5,41
530,053;5,42
530,302;5,43
530,551;5,46
530,8;5,47
531,048;5,5
531,297;5,52
531,546;5,53
531,794;5,55
532,043;5,57
532,292;5,6
532,54;5,63
532,789;5,65
533,037;5,67
533,286;5,69
533,535;5,7
533,783;5,72
534,032;5,74
534,28;5,75
534,528;5,78
534,777;5,8
535,025;5,82
535,274;5,83
535,522;5,85
535,771;5,86
536,019;5,88
536,267;5,9
536,516;5,92
536,764;5,94
537,012;5,97
537,26;5,98
537,509;6
537,757;6,01
538,005;6,04
538,253;6,06
538,501;6,08
538,75;6,1
538,998;6,13
539,246;6,16
539,494;6,19
539,742;6,21
539,99;6,24
540,238;6,27
540,486;6,29
540,734;6,32
540,982;6,34
541,23;6,37
541,478;6,39
541,726;6,43
541,974;6,45
542,222;6,47
542,47;6,51
542,718;6,53
542,966;6,56
543,213;6,57
543,461;6,6
543,709;6,62
543,957;6,65
544,205;6,68
544,452;6,7
544,7;6,72
544,948;6,75
545,196;6,77
545,443;6,81
545,691;6,84
545,939;6,87
546,186;6,9
546,434;6,93
546,681;6,96
546,929;6,98
547,176;7,01
547,424;7,04
547,671;7,07
547,919;7,1
548,166;7,13
548,414;7,17
