Data from redochrewhite_Reflection__0__07.txt Node;
"Date: Wed Sep 10 11:30:53 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
475,905;28,58
476,157;28,65
476,41;28,72
476,662;28,78
476,915;28,83
477,167;28,85
477,42;28,89
477,672;28,95
477,925;28,98
478,177;28,99
478,43;29,05
478,682;29,07
478,934;29,09
479,187;29,13
479,439;29,17
479,691;29,21
479,944;29,25
480,196;29,23
480,448;29,27
480,701;29,33
480,953;29,36
481,205;29,4
481,457;29,42
481,709;29,48
481,962;29,51
482,214;29,56
482,466;29,63
482,718;29,73
482,97;29,82
483,222;29,93
483,474;30,05
483,726;30,13
483,978;30,21
484,23;30,3
484,482;30,35
484,734;30,41
484,986;30,45
485,238;30,49
485,49;30,52
485,742;30,55
485,994;30,56
486,246;30,57
486,498;30,56
486,75;30,59
487,001;30,59
487,253;30,64
487,505;30,64
487,757;30,66
488,009;30,63
488,26;30,64
488,512;30,62
488,764;30,58
489,015;30,57
489,267;30,54
489,519;30,5
489,77;30,48
490,022;30,49
490,274;30,47
490,525;30,51
490,777;30,56
491,028;30,59
491,28;30,59
491,531;30,63
491,783;30,67
492,034;30,72
492,286;30,75
492,537;30,8
492,789;30,81
493,04;30,84
493,291;30,88
493,543;30,91
493,794;30,92
494,045;30,95
494,297;30,97
494,548;31,04
494,799;31,06
495,051;31,14
495,302;31,15
495,553;31,19
495,804;31,23
496,056;31,24
496,307;31,25
496,558;31,32
496,809;31,33
497,06;31,38
497,311;31,38
497,562;31,4
497,813;31,38
498,064;31,45
498,316;31,45
498,567;31,49
498,818;31,48
499,069;31,51
499,319;31,55
499,57;31,56
499,821;31,56
500,072;31,6
500,323;31,61
500,574;31,62
500,825;31,67
501,076;31,65
501,327;31,68
501,577;31,73
501,828;31,73
502,079;31,78
502,33;31,78
502,58;31,79
502,831;31,83
503,082;31,87
503,333;31,88
503,583;31,94
503,834;31,97
504,084;32
504,335;32,02
504,586;32,04
504,836;32,07
505,087;32,12
505,337;32,15
505,588;32,15
505,838;32,19
506,089;32,22
506,339;32,24
506,59;32,27
506,84;32,27
507,091;32,33
507,341;32,32
507,591;32,36
507,842;32,4
508,092;32,43
508,343;32,45
508,593;32,47
508,843;32,45
509,093;32,48
509,344;32,5
509,594;32,54
509,844;32,56
510,094;32,58
510,345;32,59
510,595;32,59
510,845;32,62
511,095;32,64
511,345;32,69
511,595;32,74
511,845;32,77
512,095;32,8
512,345;32,79
512,595;32,82
512,845;32,82
513,095;32,86
513,345;32,88
513,595;32,9
513,845;32,92
514,095;32,96
514,345;32,99
514,595;33,02
514,845;33,03
515,095;33,04
515,345;33,08
515,594;33,11
515,844;33,12
516,094;33,14
516,344;33,16
516,593;33,13
516,843;33,12
517,093;33,12
517,343;33,14
517,592;33,16
517,842;33,2
518,092;33,24
518,341;33,23
518,591;33,24
518,84;33,25
519,09;33,29
519,34;33,32
519,589;33,32
519,839;33,34
520,088;33,37
520,338;33,38
520,587;33,38
520,836;33,37
521,086;33,41
521,335;33,45
521,585;33,48
521,834;33,52
522,083;33,57
522,333;33,59
522,582;33,66
522,831;33,71
523,081;33,72
523,33;33,76
523,579;33,84
523,828;33,87
524,078;33,91
524,327;33,95
524,576;33,96
524,825;33,99
525,074;34,03
525,323;34,04
525,573;34,08
525,822;34,14
526,071;34,2
526,32;34,22
526,569;34,26
526,818;34,29
527,067;34,33
527,316;34,35
527,565;34,41
527,814;34,42
528,063;34,42
528,312;34,47
528,56;34,5
528,809;34,5
529,058;34,55
529,307;34,63
529,556;34,67
529,805;34,73
530,053;34,79
530,302;34,86
530,551;34,94
530,8;34,97
531,048;35,03
531,297;35,04
531,546;35,12
531,794;35,17
532,043;35,2
532,292;35,26
532,54;35,3
532,789;35,34
533,037;35,41
533,286;35,46
533,535;35,53
533,783;35,53
534,032;35,6
534,28;35,64
534,528;35,66
534,777;35,71
535,025;35,74
535,274;35,79
535,522;35,82
535,771;35,85
536,019;35,92
536,267;35,96
536,516;36,06
536,764;36,13
537,012;36,2
537,26;36,26
537,509;36,3
537,757;36,35
538,005;36,42
538,253;36,44
538,501;36,52
538,75;36,54
538,998;36,63
539,246;36,7
539,494;36,74
539,742;36,8
539,99;36,87
540,238;36,91
540,486;36,96
540,734;36,98
540,982;37,03
541,23;37,1
541,478;37,16
541,726;37,18
541,974;37,21
542,222;37,25
542,47;37,3
542,718;37,37
542,966;37,42
543,213;37,47
543,461;37,55
543,709;37,62
543,957;37,71
544,205;37,8
544,452;37,88
544,7;37,91
544,948;37,98
545,196;38,03
545,443;38,13
545,691;38,21
545,939;38,32
546,186;38,42
546,434;38,48
546,681;38,55
546,929;38,64
547,176;38,7
547,424;38,76
547,671;38,85
547,919;38,91
548,166;39,03
548,414;39,16
548,661;39,23
548,909;39,29
549,156;39,36
549,404;39,39
549,651;39,48
549,898;39,62
550,146;39,72
550,393;39,83
550,64;39,93
550,888;40,04
551,135;40,16
551,382;40,22
551,629;40,35
551,876;40,44
552,124;40,57
552,371;40,72
552,618;40,84
552,865;40,97
553,112;41,09
553,359;41,19
553,606;41,26
553,854;41,38
554,101;41,49
554,348;41,63
554,595;41,8
554,842;41,9
555,089;41,99
555,336;42,1
555,582;42,21
555,829;42,32
556,076;42,42
556,323;42,51
556,57;42,65
556,817;42,77
557,064;42,89
557,311;42,98
557,557;43,06
557,804;43,18
558,051;43,29
558,298;43,4
558,544;43,53
558,791;43,66
559,038;43,77
559,284;43,9
559,531;44,01
559,778;44,1
560,024;44,24
560,271;44,35
560,517;44,49
560,764;44,6
561,011;44,7
561,257;44,84
561,504;44,98
561,75;45,09
561,997;45,18
562,243;45,33
562,489;45,48
562,736;45,62
562,982;45,73
563,229;45,88
563,475;46,04
563,721;46,18
563,968;46,36
564,214;46,53
564,46;46,68
564,707;46,83
564,953;46,99
565,199;47,12
565,445;47,3
565,691;47,43
565,938;47,58
566,184;47,75
566,43;47,9
566,676;48,04
566,922;48,21
567,168;48,36
567,414;48,48
567,66;48,61
567,906;48,77
568,152;48,93
568,398;49,09
568,644;49,22
568,89;49,32
569,136;49,43
569,382;49,55
569,628;49,65
569,874;49,79
570,12;49,9
570,366;50,04
570,612;50,19
570,857;50,32
571,103;50,44
571,349;50,59
571,595;50,74
571,84;50,89
572,086;51,01
572,332;51,18
572,578;51,31
572,823;51,45
573,069;51,55
573,315;51,69
573,56;51,83
573,806;51,95
574,051;52,1
574,297;52,24
574,542;52,39
574,788;52,52
575,034;52,67
575,279;52,81
575,524;52,96
575,77;53,09
576,015;53,22
576,261;53,37
576,506;53,51
576,752;53,62
576,997;53,74
577,242;53,88
577,488;54
577,733;54,13
577,978;54,3
578,223;54,5
578,469;54,65
578,714;54,78
578,959;54,93
579,204;55,09
579,45;55,21
579,695;55,34
579,94;55,49
580,185;55,59
580,43;55,75
580,675;55,87
580,92;56
581,165;56,14
581,41;56,29
581,655;56,41
581,9;56,56
582,145;56,69
582,39;56,81
582,635;56,95
582,88;57,1
583,125;57,22
583,37;57,34
583,615;57,45
583,86;57,6
584,105;57,73
584,349;57,88
584,594;58,03
584,839;58,19
585,084;58,33
585,328;58,52
585,573;58,66
585,818;58,78
586,063;58,92
586,307;59,04
586,552;59,15
586,797;59,29
587,041;59,38
587,286;59,48
587,53;59,6
587,775;59,75
588,019;59,84
588,264;59,96
588,508;60,1
588,753;60,25
588,997;60,36
589,242;60,49
589,486;60,6
589,731;60,75
589,975;60,88
590,22;61,04
590,464;61,13
590,708;61,27
590,953;61,41
591,197;61,5
591,441;61,61
591,685;61,74
591,93;61,84
592,174;61,96
592,418;62,13
592,662;62,25
592,907;62,31
593,151;62,41
593,395;62,49
593,639;62,57
593,883;62,68
594,127;62,79
594,371;62,87
594,615;62,95
594,859;63,06
595,103;63,16
595,347;63,25
595,591;63,33
595,835;63,4
596,079;63,51
596,323;63,61
596,567;63,72
596,811;63,79
597,055;63,86
597,299;63,94
597,542;63,99
597,786;64,1
598,03;64,17
598,274;64,27
598,518;64,36
598,761;64,44
599,005;64,47
599,249;64,54
599,492;64,62
599,736;64,71
599,98;64,81
600,223;64,85
600,467;64,94
600,711;65
600,954;65,08
601,198;65,15
601,441;65,21
601,685;65,26
601,928;65,34
602,172;65,42
602,415;65,5
602,659;65,59
602,902;65,65
603,145;65,76
603,389;65,83
603,632;65,9
603,876;65,98
604,119;66,06
604,362;66,12
604,606;66,2
604,849;66,27
605,092;66,31
605,335;66,39
605,579;66,42
605,822;66,51
606,065;66,56
606,308;66,61
606,551;66,69
606,794;66,74
607,037;66,82
607,281;66,89
607,524;66,94
607,767;66,99
608,01;67,05
608,253;67,09
608,496;67,14
608,739;67,2
608,982;67,23
609,225;67,27
609,468;67,32
609,711;67,34
609,953;67,41
610,196;67,47
610,439;67,49
610,682;67,56
610,925;67,6
611,168;67,62
611,41;67,67
611,653;67,71
611,896;67,75
612,139;67,78
