Data from redochrewhite_Reflection__4__11.txt Node;
"Date: Wed Sep 10 11:37:29 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
545,196;5,92
545,443;5,94
545,691;5,97
545,939;6
546,186;6,01
546,434;6,05
546,681;6,06
546,929;6,06
547,176;6,06
547,424;6,07
547,671;6,06
547,919;6,1
548,166;6,13
548,414;6,16
548,661;6,19
548,909;6,19
549,156;6,21
549,404;6,24
549,651;6,28
549,898;6,3
550,146;6,33
550,393;6,37
550,64;6,41
550,888;6,42
551,135;6,46
551,382;6,51
551,629;6,52
551,876;6,57
552,124;6,63
552,371;6,7
552,618;6,73
552,865;6,8
553,112;6,81
553,359;6,84
553,606;6,87
553,854;6,9
554,101;6,93
554,348;6,98
554,595;7,04
554,842;7,07
555,089;7,09
555,336;7,12
555,582;7,15
555,829;7,18
556,076;7,21
556,323;7,24
556,57;7,27
556,817;7,33
557,064;7,34
557,311;7,37
557,557;7,38
557,804;7,43
558,051;7,45
558,298;7,53
558,544;7,56
558,791;7,61
559,038;7,62
559,284;7,67
559,531;7,72
559,778;7,73
560,024;7,78
560,271;7,84
560,517;7,87
560,764;7,9
561,011;7,94
561,257;8
561,504;8,04
561,75;8,08
561,997;8,11
562,243;8,16
562,489;8,19
562,736;8,23
562,982;8,28
563,229;8,34
563,475;8,37
563,721;8,44
563,968;8,5
564,214;8,56
564,46;8,61
564,707;8,68
564,953;8,74
565,199;8,82
565,445;8,88
565,691;8,93
565,938;9,02
566,184;9,08
566,43;9,14
566,676;9,23
566,922;9,32
567,168;9,41
567,414;9,51
567,66;9,58
567,906;9,68
568,152;9,76
568,398;9,85
568,644;9,95
568,89;10
569,136;10,09
569,382;10,18
569,628;10,27
569,874;10,33
570,12;10,41
570,366;10,48
570,612;10,57
570,857;10,65
571,103;10,72
571,349;10,81
571,595;10,89
571,84;10,98
572,086;11,06
572,332;11,15
572,578;11,21
572,823;11,31
573,069;11,39
573,315;11,45
573,56;11,52
573,806;11,59
574,051;11,69
574,297;11,76
574,542;11,85
574,788;11,93
575,034;12,02
575,279;12,12
575,524;12,21
575,77;12,29
576,015;12,38
576,261;12,47
576,506;12,57
576,752;12,64
576,997;12,72
577,242;12,8
577,488;12,87
577,733;12,96
577,978;13,04
578,223;13,12
578,469;13,23
578,714;13,33
578,959;13,43
579,204;13,53
579,45;13,62
579,695;13,7
579,94;13,81
580,185;13,88
580,43;13,96
580,675;14,04
580,92;14,11
