Data from redochrewhite_Reflection__2__09.txt Node;
"Date: Wed Sep 10 11:33:49 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
359,72;6,46
359,981;6,47
360,241;6,46
360,501;6,44
360,761;6,45
361,022;6,46
361,282;6,42
361,542;6,42
361,802;6,37
362,062;6,37
362,323;6,36
362,583;6,36
362,843;6,32
363,103;6,34
363,363;6,32
363,623;6,37
363,883;6,35
364,143;6,36
364,403;6,34
364,663;6,35
364,923;6,38
365,183;6,41
365,443;6,44
365,703;6,42
365,963;6,41
366,223;6,44
366,483;6,39
366,743;6,38
367,002;6,41
367,262;6,42
367,522;6,39
367,782;6,41
368,042;6,44
368,301;6,47
368,561;6,46
368,821;6,43
369,081;6,39
369,34;6,4
369,6;6,35
369,86;6,37
370,119;6,34
370,379;6,29
370,638;6,27
370,898;6,23
371,158;6,24
371,417;6,25
371,677;6,2
371,936;6,24
372,196;6,26
372,455;6,25
372,715;6,27
372,974;6,29
373,234;6,25
373,493;6,25
373,753;6,27
374,012;6,22
374,271;6,26
374,531;6,22
374,79;6,22
375,049;6,3
375,309;6,29
375,568;6,27
375,827;6,27
376,086;6,25
376,346;6,27
376,605;6,28
376,864;6,25
377,123;6,24
377,383;6,19
377,642;6,23
377,901;6,2
378,16;6,15
378,419;6,15
378,678;6,17
378,937;6,13
379,196;6,08
379,455;6,14
379,714;6,15
379,973;6,19
380,232;6,19
380,491;6,18
380,75;6,16
381,009;6,19
381,268;6,2
381,527;6,2
381,786;6,17
382,045;6,16
382,304;6,2
382,563;6,22
382,821;6,28
383,08;6,22
383,339;6,27
383,598;6,32
383,857;6,29
384,115;6,29
384,374;6,31
384,633;6,35
384,891;6,31
385,15;6,27
385,409;6,26
385,667;6,25
385,926;6,23
386,185;6,25
386,443;6,27
386,702;6,28
386,96;6,29
387,219;6,29
387,477;6,33
387,736;6,35
387,994;6,36
388,253;6,36
388,511;6,4
388,77;6,4
389,028;6,4
389,287;6,41
389,545;6,42
389,803;6,37
390,062;6,34
390,32;6,36
390,578;6,42
390,837;6,4
391,095;6,43
391,353;6,44
391,612;6,44
391,87;6,42
392,128;6,42
392,386;6,43
392,644;6,39
392,903;6,35
393,161;6,35
393,419;6,32
393,677;6,31
393,935;6,31
394,193;6,26
394,451;6,27
394,709;6,26
394,967;6,31
395,225;6,32
395,483;6,34
395,741;6,34
395,999;6,3
396,257;6,34
396,515;6,31
396,773;6,31
397,031;6,28
397,289;6,25
397,547;6,22
397,805;6,22
398,062;6,27
398,32;6,29
398,578;6,3
398,836;6,31
399,094;6,3
399,351;6,26
399,609;6,28
399,867;6,25
400,124;6,27
400,382;6,23
400,64;6,26
400,897;6,24
401,155;6,24
401,413;6,2
401,67;6,16
401,928;6,19
402,185;6,19
402,443;6,23
402,701;6,26
402,958;6,27
403,216;6,3
403,473;6,28
403,73;6,26
403,988;6,23
404,245;6,23
404,503;6,22
404,76;6,2
405,018;6,18
405,275;6,21
405,532;6,24
405,79;6,24
406,047;6,22
406,304;6,25
406,561;6,24
406,819;6,33
407,076;6,35
407,333;6,38
407,59;6,38
407,848;6,38
408,105;6,41
408,362;6,45
408,619;6,43
408,876;6,42
409,133;6,41
409,39;6,4
409,647;6,42
409,904;6,39
410,161;6,46
410,418;6,47
410,675;6,47
410,932;6,4
411,189;6,41
411,446;6,38
411,703;6,34
411,96;6,34
412,217;6,29
412,474;6,26
412,731;6,2
412,988;6,17
413,245;6,19
413,501;6,14
413,758;6,12
414,015;6,09
414,272;6,1
414,529;6,16
414,785;6,21
415,042;6,22
415,299;6,23
415,555;6,18
415,812;6,16
416,069;6,15
416,325;6,17
416,582;6,22
416,838;6,21
417,095;6,21
417,352;6,23
417,608;6,28
417,865;6,33
418,121;6,36
418,378;6,38
418,634;6,38
418,891;6,47
419,147;6,5
419,403;6,52
419,66;6,51
419,916;6,45
420,173;6,41
420,429;6,4
420,685;6,45
420,942;6,49
421,198;6,5
421,454;6,49
421,711;6,5
421,967;6,49
422,223;6,5
422,479;6,51
422,735;6,53
422,992;6,49
423,248;6,48
423,504;6,52
423,76;6,53
424,016;6,53
424,272;6,49
424,528;6,41
424,784;6,38
425,041;6,39
425,297;6,4
425,553;6,42
425,809;6,4
426,065;6,36
426,32;6,35
426,576;6,42
426,832;6,39
427,088;6,4
427,344;6,39
427,6;6,44
427,856;6,43
428,112;6,44
428,368;6,47
428,623;6,46
428,879;6,42
