Data from redochrewhite_Reflection__3__10.txt Node;
"Date: Wed Sep 10 11:35:01 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
387,994;3,86
388,253;3,82
388,511;3,84
388,77;3,85
389,028;3,85
389,287;3,85
389,545;3,89
389,803;3,87
390,062;3,85
390,32;3,86
390,578;3,92
390,837;3,9
391,095;3,92
391,353;3,93
391,612;3,95
391,87;3,92
392,128;3,94
392,386;3,95
392,644;3,93
392,903;3,93
393,161;3,94
393,419;3,9
393,677;3,96
393,935;3,93
394,193;3,9
394,451;3,86
394,709;3,8
394,967;3,79
395,225;3,84
395,483;3,85
395,741;3,87
395,999;3,86
396,257;3,89
396,515;3,85
396,773;3,83
397,031;3,8
397,289;3,84
397,547;3,83
397,805;3,84
398,062;3,84
398,32;3,81
398,578;3,84
398,836;3,8
399,094;3,78
399,351;3,74
399,609;3,74
399,867;3,79
400,124;3,86
400,382;3,85
400,64;3,85
400,897;3,86
401,155;3,83
401,413;3,8
401,67;3,76
401,928;3,79
402,185;3,79
402,443;3,86
402,701;3,85
402,958;3,86
403,216;3,84
403,473;3,86
403,73;3,88
403,988;3,88
404,245;3,93
404,503;3,91
404,76;3,92
405,018;3,92
405,275;3,93
405,532;3,97
405,79;3,98
406,047;3,95
406,304;3,97
406,561;3,99
406,819;4,08
407,076;4,06
407,333;4,07
407,59;4,11
407,848;4,08
408,105;4,06
408,362;4,1
408,619;4,15
408,876;4,1
409,133;4,06
409,39;4,04
409,647;4,06
409,904;4,07
410,161;4,14
410,418;4,14
410,675;4,07
410,932;4,01
411,189;4,01
411,446;4,03
411,703;3,96
411,96;3,95
412,217;3,94
412,474;3,97
412,731;3,97
412,988;3,95
413,245;3,95
413,501;3,95
413,758;3,91
414,015;3,86
414,272;3,87
414,529;3,94
414,785;3,94
415,042;3,94
415,299;3,96
415,555;3,93
415,812;3,88
416,069;3,93
416,325;3,94
416,582;3,96
416,838;3,99
417,095;3,99
417,352;3,97
417,608;3,96
417,865;3,95
418,121;3,96
418,378;3,96
418,634;3,96
418,891;4,04
419,147;4,03
419,403;4,07
419,66;4,07
419,916;4,07
420,173;4,06
420,429;4
420,685;4
420,942;3,99
421,198;4,02
421,454;4,03
421,711;4,02
421,967;4,01
422,223;3,98
422,479;4,03
422,735;4,09
422,992;4,08
423,248;4,05
423,504;4,07
423,76;4,07
424,016;4,06
424,272;4
424,528;3,98
424,784;3,98
425,041;3,97
425,297;3,94
425,553;4
425,809;4,03
426,065;4,01
426,32;4,02
426,576;4,02
426,832;3,97
427,088;3,98
427,344;3,96
427,6;4,04
427,856;3,98
428,112;3,93
428,368;3,94
428,623;3,99
428,879;3,97
429,135;3,99
429,391;4
429,646;4,03
429,902;4,05
430,158;4,07
430,414;4,07
430,669;4,11
430,925;4,1
431,181;4,11
431,436;4,16
431,692;4,18
431,947;4,16
432,203;4,19
432,458;4,22
432,714;4,26
432,97;4,23
433,225;4,25
433,481;4,25
433,736;4,26
433,991;4,27
434,247;4,24
434,502;4,23
434,758;4,27
435,013;4,23
435,268;4,19
435,524;4,19
435,779;4,18
436,034;4,16
436,29;4,12
