Data from sienaNatWhite_Reflection__2__33.txt Node;
"Date: Wed Sep 10 12:22:02 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
501,327;5,12
501,577;5,14
501,828;5,13
502,079;5,16
502,33;5,17
502,58;5,18
502,831;5,18
503,082;5,19
503,333;5,2
503,583;5,22
503,834;5,26
504,084;5,28
504,335;5,29
504,586;5,33
504,836;5,36
505,087;5,38
505,337;5,39
505,588;5,4
505,838;5,43
506,089;5,45
506,339;5,46
506,59;5,48
506,84;5,49
507,091;5,56
507,341;5,56
507,591;5,59
507,842;5,65
508,092;5,69
508,343;5,75
508,593;5,76
508,843;5,76
509,093;5,75
509,344;5,76
509,594;5,79
509,844;5,82
510,094;5,84
510,345;5,87
510,595;5,88
510,845;5,89
511,095;5,91
511,345;5,92
511,595;5,96
511,845;5,97
512,095;6,01
512,345;6,01
512,595;6,05
512,845;6,1
513,095;6,11
513,345;6,12
513,595;6,14
513,845;6,16
514,095;6,2
514,345;6,26
514,595;6,3
514,845;6,31
515,095;6,32
515,345;6,36
515,594;6,39
515,844;6,42
516,094;6,46
516,344;6,49
516,593;6,5
516,843;6,52
517,093;6,56
517,343;6,58
517,592;6,61
517,842;6,64
518,092;6,68
518,341;6,68
518,591;6,73
518,84;6,75
519,09;6,81
519,34;6,83
519,589;6,86
519,839;6,88
520,088;6,93
520,338;6,95
520,587;6,95
520,836;6,95
521,086;6,99
521,335;7,01
521,585;7,04
521,834;7,07
522,083;7,09
522,333;7,12
522,582;7,14
522,831;7,17
523,081;7,19
523,33;7,18
523,579;7,24
523,828;7,25
524,078;7,27
524,327;7,27
524,576;7,3
524,825;7,32
525,074;7,36
525,323;7,4
525,573;7,42
525,822;7,47
526,071;7,52
526,32;7,56
526,569;7,6
526,818;7,65
527,067;7,69
527,316;7,73
527,565;7,77
527,814;7,8
528,063;7,81
528,312;7,87
528,56;7,93
528,809;7,96
529,058;8,04
529,307;8,1
529,556;8,13
529,805;8,18
530,053;8,23
530,302;8,29
530,551;8,32
530,8;8,38
531,048;8,44
531,297;8,48
531,546;8,53
531,794;8,6
532,043;8,62
532,292;8,7
532,54;8,74
532,789;8,77
533,037;8,83
533,286;8,87
533,535;8,92
533,783;8,96
534,032;9,01
534,28;9
534,528;9,06
534,777;9,12
535,025;9,15
535,274;9,21
535,522;9,28
535,771;9,32
536,019;9,38
536,267;9,44
536,516;9,48
536,764;9,54
537,012;9,56
537,26;9,61
537,509;9,64
537,757;9,68
538,005;9,77
538,253;9,82
538,501;9,89
538,75;9,92
538,998;9,98
539,246;10,01
539,494;10,08
539,742;10,11
539,99;10,18
540,238;10,24
540,486;10,28
540,734;10,29
540,982;10,34
541,23;10,38
541,478;10,43
541,726;10,49
541,974;10,54
542,222;10,61
542,47;10,65
542,718;10,71
542,966;10,79
543,213;10,83
543,461;10,88
543,709;10,94
543,957;11
544,205;11,05
