Data from sienaNatWhite_Reflection__4__35.txt Node;
"Date: Wed Sep 10 12:23:52 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
415,812;2,7
416,069;2,73
416,325;2,75
416,582;2,74
416,838;2,82
417,095;2,81
417,352;2,85
417,608;2,88
417,865;2,94
418,121;2,97
418,378;2,95
418,634;2,95
418,891;3,01
419,147;3,04
419,403;3,09
419,66;3,09
419,916;3,06
420,173;3,01
420,429;2,99
420,685;2,97
420,942;2,98
421,198;3,02
421,454;3,04
421,711;3,05
421,967;3,05
422,223;3,01
422,479;3,05
422,735;3,09
422,992;3,04
423,248;3
423,504;3,01
423,76;3,05
424,016;3,03
424,272;3,01
424,528;3,02
424,784;2,99
425,041;2,99
425,297;2,97
425,553;3,01
425,809;2,99
426,065;2,95
426,32;2,97
426,576;2,94
426,832;2,9
427,088;2,93
427,344;2,89
427,6;2,93
427,856;2,9
428,112;2,85
428,368;2,89
428,623;2,88
428,879;2,92
429,135;2,94
429,391;2,95
429,646;2,99
429,902;3
430,158;3,02
430,414;3,02
430,669;3,1
430,925;3,11
431,181;3,16
431,436;3,26
431,692;3,25
431,947;3,3
432,203;3,33
432,458;3,29
432,714;3,36
432,97;3,39
433,225;3,44
433,481;3,46
433,736;3,45
433,991;3,52
434,247;3,47
434,502;3,48
434,758;3,52
435,013;3,46
435,268;3,44
435,524;3,43
435,779;3,43
436,034;3,39
436,29;3,45
436,545;3,41
436,8;3,38
437,056;3,44
437,311;3,43
437,566;3,43
437,821;3,47
438,076;3,45
438,331;3,45
438,587;3,46
438,842;3,46
439,097;3,49
439,352;3,48
439,607;3,5
439,862;3,47
440,117;3,44
440,372;3,46
440,627;3,51
440,882;3,54
441,137;3,58
441,392;3,59
441,647;3,54
441,902;3,65
442,157;3,65
442,412;3,67
442,667;3,72
442,921;3,74
443,176;3,78
443,431;3,81
443,686;3,81
443,941;3,82
444,195;3,84
444,45;3,79
444,705;3,8
444,96;3,84
445,214;3,86
445,469;3,85
445,724;3,89
445,978;3,91
446,233;3,92
446,487;3,94
446,742;3,96
446,997;3,98
447,251;3,93
447,506;3,92
447,76;3,91
448,015;3,87
448,269;3,93
448,524;3,92
448,778;3,9
449,033;3,85
449,287;3,83
449,541;3,87
449,796;3,91
450,05;3,93
450,305;3,91
450,559;3,92
450,813;3,94
451,067;3,9
451,322;3,86
451,576;3,87
451,83;3,9
452,084;3,89
452,339;3,96
452,593;3,98
452,847;4,01
453,101;3,98
453,355;4
453,609;3,98
453,864;3,99
454,118;3,95
454,372;3,99
454,626;4,03
454,88;4,07
455,134;4,08
455,388;4,07
455,642;4,06
455,896;4,06
456,15;4,03
456,404;4,07
456,658;4,05
456,912;4,05
457,165;4
457,419;4
457,673;3,93
457,927;3,86
458,181;3,85
458,435;3,84
458,688;3,84
458,942;3,82
459,196;3,78
459,45;3,81
459,703;3,81
459,957;3,75
460,211;3,67
460,464;3,66
460,718;3,66
460,972;3,67
461,225;3,65
461,479;3,66
461,732;3,65
461,986;3,7
462,239;3,68
462,493;3,66
462,746;3,71
463;3,72
463,253;3,74
463,507;3,7
463,76;3,73
464,014;3,71
464,267;3,74
464,52;3,76
464,774;3,78
465,027;3,81
465,28;3,86
465,534;3,85
465,787;3,88
466,04;3,87
466,294;3,85
466,547;3,87
466,8;3,91
467,053;3,9
467,306;3,89
467,56;3,92
467,813;3,91
468,066;3,85
468,319;3,84
468,572;3,84
468,825;3,86
469,078;3,87
469,331;3,87
469,584;3,85
469,837;3,86
470,09;3,86
470,343;3,82
470,596;3,82
470,849;3,82
471,102;3,78
471,355;3,81
471,608;3,84
471,861;3,87
472,114;3,87
472,367;3,86
472,619;3,86
472,872;3,84
473,125;3,86
473,378;3,91
473,631;3,93
473,883;3,94
474,136;3,94
474,389;3,98
474,641;4
474,894;3,97
475,147;3,97
475,399;3,98
475,652;4,02
475,905;4
476,157;4,03
476,41;4,05
476,662;4,04
476,915;4,03
477,167;4,01
477,42;4,02
477,672;4,02
477,925;4,01
478,177;4,04
478,43;4,06
478,682;4,05
478,934;4,03
479,187;4,07
479,439;4,08
479,691;4,08
479,944;4,11
480,196;4,14
480,448;4,16
480,701;4,16
480,953;4,17
481,205;4,17
481,457;4,17
481,709;4,17
481,962;4,18
482,214;4,19
482,466;4,22
482,718;4,23
482,97;4,29
483,222;4,33
483,474;4,35
483,726;4,37
483,978;4,39
484,23;4,43
484,482;4,43
484,734;4,43
484,986;4,42
485,238;4,41
485,49;4,42
485,742;4,42
485,994;4,42
486,246;4,41
486,498;4,43
486,75;4,44
487,001;4,46
487,253;4,47
487,505;4,47
487,757;4,47
488,009;4,47
488,26;4,46
488,512;4,47
488,764;4,46
489,015;4,47
489,267;4,47
489,519;4,45
489,77;4,47
490,022;4,48
490,274;4,49
490,525;4,53
490,777;4,54
491,028;4,53
491,28;4,54
491,531;4,55
491,783;4,56
492,034;4,58
492,286;4,58
492,537;4,62
492,789;4,64
493,04;4,64
493,291;4,66
493,543;4,68
493,794;4,69
494,045;4,71
494,297;4,72
494,548;4,73
494,799;4,75
495,051;4,73
495,302;4,77
495,553;4,78
495,804;4,78
496,056;4,79
496,307;4,81
496,558;4,85
496,809;4,88
497,06;4,91
497,311;4,9
497,562;4,92
497,813;4,93
498,064;4,96
498,316;4,99
498,567;5
498,818;5
499,069;5
499,319;5,02
499,57;5,03
499,821;5,03
500,072;5,07
500,323;5,09
500,574;5,1
500,825;5,11
501,076;5,11
501,327;5,12
501,577;5,15
501,828;5,14
502,079;5,14
502,33;5,18
502,58;5,2
502,831;5,22
503,082;5,23
503,333;5,26
503,583;5,28
503,834;5,31
504,084;5,33
504,335;5,37
504,586;5,38
504,836;5,38
505,087;5,41
505,337;5,44
505,588;5,44
505,838;5,46
506,089;5,52
506,339;5,54
506,59;5,6
506,84;5,61
507,091;5,69
507,341;5,72
507,591;5,75
507,842;5,8
508,092;5,83
508,343;5,86
508,593;5,85
508,843;5,87
509,093;5,87
509,344;5,93
509,594;5,97
509,844;5,99
510,094;6,05
510,345;6,07
510,595;6,08
510,845;6,12
511,095;6,15
511,345;6,16
511,595;6,2
511,845;6,22
512,095;6,27
512,345;6,25
512,595;6,29
512,845;6,31
513,095;6,32
513,345;6,34
513,595;6,36
513,845;6,39
514,095;6,42
514,345;6,47
514,595;6,47
514,845;6,48
515,095;6,5
515,345;6,53
515,594;6,55
515,844;6,58
516,094;6,63
516,344;6,68
516,593;6,7
516,843;6,72
517,093;6,76
517,343;6,78
517,592;6,83
517,842;6,87
518,092;6,9
518,341;6,92
518,591;6,97
518,84;6,99
519,09;7,04
519,34;7,08
519,589;7,1
519,839;7,13
520,088;7,17
520,338;7,21
520,587;7,23
520,836;7,27
521,086;7,3
521,335;7,32
521,585;7,34
521,834;7,37
522,083;7,39
522,333;7,42
522,582;7,46
522,831;7,49
523,081;7,5
523,33;7,51
523,579;7,57
523,828;7,59
524,078;7,62
524,327;7,65
524,576;7,7
524,825;7,73
525,074;7,78
525,323;7,8
525,573;7,86
525,822;7,91
526,071;7,96
526,32;8
526,569;8,06
526,818;8,11
527,067;8,16
527,316;8,23
527,565;8,29
527,814;8,32
528,063;8,36
528,312;8,4
528,56;8,47
528,809;8,51
529,058;8,59
529,307;8,66
529,556;8,71
529,805;8,74
530,053;8,8
530,302;8,86
530,551;8,93
530,8;8,97
531,048;9,04
531,297;9,08
531,546;9,14
531,794;9,19
532,043;9,24
532,292;9,3
532,54;9,35
532,789;9,39
533,037;9,44
533,286;9,48
533,535;9,57
533,783;9,62
534,032;9,69
534,28;9,72
534,528;9,78
534,777;9,83
535,025;9,92
535,274;10
535,522;10,07
535,771;10,1
536,019;10,17
536,267;10,21
536,516;10,27
536,764;10,34
537,012;10,39
537,26;10,45
537,509;10,52
537,757;10,6
538,005;10,66
538,253;10,72
538,501;10,81
538,75;10,83
538,998;10,89
539,246;10,93
539,494;11
539,742;11,04
539,99;11,11
540,238;11,15
540,486;11,19
540,734;11,21
540,982;11,3
541,23;11,36
541,478;11,44
541,726;11,5
541,974;11,56
542,222;11,65
542,47;11,73
542,718;11,79
542,966;11,84
543,213;11,89
543,461;11,96
543,709;12,01
543,957;12,1
544,205;12,18
544,452;12,27
544,7;12,32
544,948;12,42
545,196;12,49
545,443;12,59
545,691;12,66
545,939;12,75
546,186;12,82
546,434;12,91
546,681;12,96
546,929;13,05
547,176;13,11
547,424;13,17
547,671;13,24
547,919;13,3
548,166;13,38
548,414;13,48
548,661;13,57
548,909;13,68
549,156;13,73
549,404;13,82
549,651;13,89
549,898;14
550,146;14,07
550,393;14,18
550,64;14,25
550,888;14,33
551,135;14,42
551,382;14,49
551,629;14,56
551,876;14,66
552,124;14,77
552,371;14,86
552,618;14,93
552,865;15
553,112;15,06
553,359;15,14
553,606;15,22
553,854;15,3
554,101;15,35
554,348;15,45
554,595;15,52
554,842;15,59
555,089;15,65
555,336;15,72
555,582;15,77
555,829;15,84
556,076;15,92
556,323;16
556,57;16,08
556,817;16,15
557,064;16,23
557,311;16,3
557,557;16,37
557,804;16,45
558,051;16,54
558,298;16,65
558,544;16,74
558,791;16,83
559,038;16,87
559,284;16,96
559,531;17,02
559,778;17,1
560,024;17,19
560,271;17,27
560,517;17,33
560,764;17,42
561,011;17,48
561,257;17,57
561,504;17,66
561,75;17,74
561,997;17,8
562,243;17,88
562,489;17,94
562,736;18,01
562,982;18,11
563,229;18,19
563,475;18,25
563,721;18,35
563,968;18,46
564,214;18,55
564,46;18,64
564,707;18,75
564,953;18,84
565,199;18,94
565,445;19,05
565,691;19,16
565,938;19,25
566,184;19,35
566,43;19,44
566,676;19,55
566,922;19,66
567,168;19,78
567,414;19,9
567,66;20,01
567,906;20,12
568,152;20,23
568,398;20,34
568,644;20,47
568,89;20,54
569,136;20,63
569,382;20,74
569,628;20,83
569,874;20,89
570,12;20,99
570,366;21,08
570,612;21,18
570,857;21,25
571,103;21,35
571,349;21,46
571,595;21,54
571,84;21,64
572,086;21,73
572,332;21,83
572,578;21,9
572,823;21,98
573,069;22,05
573,315;22,12
573,56;22,2
573,806;22,27
574,051;22,37
574,297;22,42
574,542;22,52
574,788;22,59
575,034;22,68
575,279;22,74
575,524;22,81
575,77;22,87
576,015;22,96
576,261;23,02
576,506;23,09
576,752;23,16
576,997;23,21
577,242;23,27
577,488;23,32
577,733;23,37
577,978;23,44
578,223;23,52
578,469;23,6
578,714;23,66
578,959;23,72
579,204;23,78
579,45;23,85
579,695;23,89
579,94;23,96
580,185;24,01
580,43;24,06
580,675;24,11
580,92;24,17
581,165;24,21
581,41;24,27
581,655;24,31
581,9;24,36
582,145;24,42
582,39;24,47
582,635;24,52
582,88;24,58
583,125;24,63
583,37;24,67
583,615;24,68
583,86;24,72
584,105;24,77
584,349;24,81
584,594;24,85
584,839;24,89
585,084;24,94
585,328;25
585,573;25,06
585,818;25,1
586,063;25,12
586,307;25,17
586,552;25,19
586,797;25,23
587,041;25,27
587,286;25,28
587,53;25,32
587,775;25,36
588,019;25,39
588,264;25,41
588,508;25,42
588,753;25,48
588,997;25,5
589,242;25,53
589,486;25,56
589,731;25,61
589,975;25,67
590,22;25,71
590,464;25,75
590,708;25,79
590,953;25,81
591,197;25,84
591,441;25,89
591,685;25,96
591,93;25,96
592,174;25,99
592,418;26,04
592,662;26,06
592,907;26,08
593,151;26,1
593,395;26,13
593,639;26,18
593,883;26,23
594,127;26,26
594,371;26,27
594,615;26,28
594,859;26,29
595,103;26,3
595,347;26,31
595,591;26,33
595,835;26,33
596,079;26,39
596,323;26,43
596,567;26,43
596,811;26,43
597,055;26,47
597,299;26,49
597,542;26,5
597,786;26,54
598,03;26,59
598,274;26,61
598,518;26,64
598,761;26,66
599,005;26,66
599,249;26,68
599,492;26,73
599,736;26,77
599,98;26,83
600,223;26,86
600,467;26,89
600,711;26,9
600,954;26,93
601,198;26,94
601,441;26,97
601,685;27,01
601,928;27,03
602,172;27,06
602,415;27,09
602,659;27,12
602,902;27,13
603,145;27,15
603,389;27,17
603,632;27,19
603,876;27,22
604,119;27,27
604,362;27,3
604,606;27,29
604,849;27,33
605,092;27,32
605,335;27,36
605,579;27,37
605,822;27,39
606,065;27,4
606,308;27,41
606,551;27,41
606,794;27,45
607,037;27,49
607,281;27,5
607,524;27,49
607,767;27,52
608,01;27,54
608,253;27,54
608,496;27,56
608,739;27,59
608,982;27,61
609,225;27,61
609,468;27,63
609,711;27,67
609,953;27,66
610,196;27,68
610,439;27,67
610,682;27,68
610,925;27,71
611,168;27,73
611,41;27,75
611,653;27,75
611,896;27,74
