Data from neroAvorioWhite_Reflection__2__17.txt Node;
"Date: Fri Sep 12 10:50:57 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-1 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
496,056;7,87
496,307;7,86
496,558;7,87
496,809;7,9
497,06;7,91
497,311;7,9
497,562;7,94
497,813;8
498,064;8,01
498,316;8,02
498,567;8,03
498,818;8,06
499,069;8,06
499,319;8,07
499,57;8,07
499,821;8,07
500,072;8,09
500,323;8,1
500,574;8,12
500,825;8,11
501,076;8,11
501,327;8,14
501,577;8,14
501,828;8,13
502,079;8,13
502,33;8,12
502,58;8,13
502,831;8,1
503,082;8,06
503,333;8,06
503,583;8,08
503,834;8,09
504,084;8,11
504,335;8,11
504,586;8,11
504,836;8,1
505,087;8,1
505,337;8,08
505,588;8,06
505,838;8,08
506,089;8,12
506,339;8,15
506,59;8,15
506,84;8,15
507,091;8,17
507,341;8,17
507,591;8,18
507,842;8,15
508,092;8,19
508,343;8,2
508,593;8,21
508,843;8,21
509,093;8,22
509,344;8,16
509,594;8,17
509,844;8,15
510,094;8,16
510,345;8,16
510,595;8,17
510,845;8,19
511,095;8,17
511,345;8,17
511,595;8,13
511,845;8,14
512,095;8,15
512,345;8,17
512,595;8,19
512,845;8,19
513,095;8,22
513,345;8,2
513,595;8,2
513,845;8,19
514,095;8,18
514,345;8,14
514,595;8,19
514,845;8,17
515,095;8,19
515,345;8,17
515,594;8,2
515,844;8,2
516,094;8,21
516,344;8,2
516,593;8,18
516,843;8,17
517,093;8,17
517,343;8,15
517,592;8,14
517,842;8,13
518,092;8,14
518,341;8,11
518,591;8,14
518,84;8,15
519,09;8,18
519,34;8,2
519,589;8,24
519,839;8,21
520,088;8,25
520,338;8,24
520,587;8,26
520,836;8,22
521,086;8,22
521,335;8,2
521,585;8,2
521,834;8,22
522,083;8,25
522,333;8,25
522,582;8,27
522,831;8,29
523,081;8,3
523,33;8,29
523,579;8,31
523,828;8,3
524,078;8,3
524,327;8,27
524,576;8,28
524,825;8,28
525,074;8,29
525,323;8,26
525,573;8,27
525,822;8,26
526,071;8,28
526,32;8,28
526,569;8,3
526,818;8,31
527,067;8,31
527,316;8,31
527,565;8,31
527,814;8,29
528,063;8,26
528,312;8,26
528,56;8,27
528,809;8,26
529,058;8,26
529,307;8,25
529,556;8,27
529,805;8,25
530,053;8,25
530,302;8,26
530,551;8,27
530,8;8,25
531,048;8,28
531,297;8,29
531,546;8,3
531,794;8,31
532,043;8,32
532,292;8,31
532,54;8,32
532,789;8,32
533,037;8,36
533,286;8,37
533,535;8,39
533,783;8,38
534,032;8,39
534,28;8,39
534,528;8,42
534,777;8,45
535,025;8,46
535,274;8,46
535,522;8,45
535,771;8,46
536,019;8,49
536,267;8,48
536,516;8,48
536,764;8,51
537,012;8,51
537,26;8,5
537,509;8,51
537,757;8,5
538,005;8,52
538,253;8,52
538,501;8,53
538,75;8,51
538,998;8,54
539,246;8,56
539,494;8,6
539,742;8,59
539,99;8,57
540,238;8,57
540,486;8,58
540,734;8,58
540,982;8,59
541,23;8,6
541,478;8,6
541,726;8,6
541,974;8,59
542,222;8,59
542,47;8,62
542,718;8,64
542,966;8,66
543,213;8,65
543,461;8,65
543,709;8,65
543,957;8,68
544,205;8,69
544,452;8,67
544,7;8,65
544,948;8,64
545,196;8,63
545,443;8,64
545,691;8,63
545,939;8,67
546,186;8,65
546,434;8,65
546,681;8,64
546,929;8,64
547,176;8,63
547,424;8,63
547,671;8,61
547,919;8,6
548,166;8,61
548,414;8,62
548,661;8,61
548,909;8,6
549,156;8,6
549,404;8,59
549,651;8,59
549,898;8,61
550,146;8,62
550,393;8,65
550,64;8,66
550,888;8,69
551,135;8,69
551,382;8,7
551,629;8,72
551,876;8,75
552,124;8,77
552,371;8,79
552,618;8,79
552,865;8,81
553,112;8,82
553,359;8,81
553,606;8,82
553,854;8,83
554,101;8,83
554,348;8,83
554,595;8,8
