Data from lapisWhite_Reflection__3__36.txt Node;
"Date: Fri Sep 12 11:17:10 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
457,673;35,25
457,927;35,21
458,181;35,16
458,435;35,13
458,688;35,14
458,942;35,11
459,196;35,07
459,45;35,01
459,703;34,96
459,957;34,93
460,211;34,86
460,464;34,81
460,718;34,74
460,972;34,68
461,225;34,62
461,479;34,56
461,732;34,51
461,986;34,46
462,239;34,41
462,493;34,37
462,746;34,38
463;34,3
463,253;34,28
463,507;34,23
463,76;34,18
464,014;34,09
464,267;34,04
464,52;33,97
464,774;33,93
465,027;33,86
465,28;33,8
465,534;33,73
465,787;33,66
466,04;33,58
466,294;33,49
466,547;33,4
466,8;33,32
467,053;33,23
467,306;33,14
467,56;33,02
467,813;32,92
468,066;32,77
468,319;32,71
468,572;32,59
468,825;32,48
469,078;32,36
469,331;32,27
469,584;32,13
469,837;32,04
470,09;31,93
470,343;31,84
470,596;31,73
470,849;31,65
471,102;31,56
471,355;31,5
471,608;31,41
471,861;31,35
472,114;31,25
472,367;31,15
472,619;31,06
472,872;30,99
473,125;30,88
473,378;30,8
473,631;30,69
473,883;30,59
474,136;30,49
474,389;30,39
474,641;30,29
474,894;30,21
475,147;30,1
475,399;30
475,652;29,9
475,905;29,8
476,157;29,67
476,41;29,53
476,662;29,4
476,915;29,29
477,167;29,14
477,42;29,01
477,672;28,88
477,925;28,76
478,177;28,63
478,43;28,52
478,682;28,39
478,934;28,27
479,187;28,14
479,439;28,03
479,691;27,89
479,944;27,76
480,196;27,62
480,448;27,49
480,701;27,34
480,953;27,21
481,205;27,05
481,457;26,92
481,709;26,79
481,962;26,67
482,214;26,55
482,466;26,45
482,718;26,35
482,97;26,26
483,222;26,16
483,474;26,07
483,726;25,96
483,978;25,85
484,23;25,76
484,482;25,65
484,734;25,54
484,986;25,43
485,238;25,31
485,49;25,2
485,742;25,09
485,994;24,99
486,246;24,87
486,498;24,75
486,75;24,63
487,001;24,51
487,253;24,34
487,505;24,18
487,757;24,01
488,009;23,82
488,26;23,61
488,512;23,37
488,764;23,12
489,015;22,88
489,267;22,65
489,519;22,42
489,77;22,2
490,022;22
490,274;21,83
490,525;21,66
490,777;21,49
491,028;21,32
491,28;21,15
491,531;20,98
491,783;20,83
492,034;20,68
492,286;20,53
492,537;20,4
492,789;20,24
493,04;20,09
493,291;19,93
493,543;19,78
493,794;19,62
494,045;19,49
494,297;19,33
494,548;19,19
494,799;19,04
495,051;18,9
495,302;18,76
495,553;18,62
495,804;18,48
496,056;18,34
496,307;18,19
496,558;18,06
496,809;17,93
497,06;17,81
497,311;17,67
497,562;17,54
497,813;17,4
498,064;17,28
498,316;17,14
498,567;17
498,818;16,87
499,069;16,75
499,319;16,61
499,57;16,49
499,821;16,37
500,072;16,25
500,323;16,13
500,574;16,02
500,825;15,89
501,076;15,77
501,327;15,65
501,577;15,55
501,828;15,42
502,079;15,31
502,33;15,19
502,58;15,08
502,831;14,96
503,082;14,85
503,333;14,73
503,583;14,62
503,834;14,51
504,084;14,41
504,335;14,3
504,586;14,19
504,836;14,08
505,087;13,97
505,337;13,86
505,588;13,74
505,838;13,64
506,089;13,54
506,339;13,44
506,59;13,35
506,84;13,24
507,091;13,14
507,341;13,02
507,591;12,93
507,842;12,8
508,092;12,7
508,343;12,59
508,593;12,49
508,843;12,4
509,093;12,32
509,344;12,22
509,594;12,12
509,844;12,02
510,094;11,93
510,345;11,84
510,595;11,75
510,845;11,65
511,095;11,57
511,345;11,48
511,595;11,39
511,845;11,28
512,095;11,21
512,345;11,13
512,595;11,06
512,845;10,99
513,095;10,92
513,345;10,85
513,595;10,78
513,845;10,7
514,095;10,63
514,345;10,54
514,595;10,47
514,845;10,38
515,095;10,31
515,345;10,24
515,594;10,18
515,844;10,1
516,094;10,04
516,344;9,96
516,593;9,89
516,843;9,8
517,093;9,75
517,343;9,67
517,592;9,6
517,842;9,53
518,092;9,46
518,341;9,39
518,591;9,33
518,84;9,27
519,09;9,21
519,34;9,14
519,589;9,08
519,839;9,03
520,088;8,98
520,338;8,93
520,587;8,88
520,836;8,81
521,086;8,76
521,335;8,7
521,585;8,64
521,834;8,6
522,083;8,55
522,333;8,49
522,582;8,43
522,831;8,38
523,081;8,33
523,33;8,28
523,579;8,24
523,828;8,19
524,078;8,14
524,327;8,09
524,576;8,04
524,825;7,99
525,074;7,94
525,323;7,89
525,573;7,85
525,822;7,8
526,071;7,75
526,32;7,7
526,569;7,67
526,818;7,64
527,067;7,59
527,316;7,54
527,565;7,51
527,814;7,47
528,063;7,44
528,312;7,4
528,56;7,36
528,809;7,31
529,058;7,26
529,307;7,22
529,556;7,18
529,805;7,15
530,053;7,12
530,302;7,08
530,551;7,04
530,8;7
531,048;6,97
531,297;6,94
531,546;6,9
531,794;6,87
532,043;6,84
532,292;6,8
532,54;6,78
532,789;6,75
533,037;6,73
533,286;6,7
533,535;6,68
533,783;6,64
534,032;6,63
534,28;6,6
534,528;6,58
534,777;6,54
535,025;6,51
535,274;6,49
535,522;6,46
535,771;6,44
536,019;6,42
536,267;6,38
536,516;6,35
536,764;6,33
537,012;6,31
537,26;6,29
537,509;6,27
537,757;6,23
538,005;6,21
538,253;6,19
538,501;6,16
538,75;6,13
538,998;6,12
539,246;6,09
539,494;6,07
539,742;6,05
539,99;6,02
540,238;6
540,486;5,97
540,734;5,95
540,982;5,92
541,23;5,9
541,478;5,9
541,726;5,88
541,974;5,85
542,222;5,82
542,47;5,8
542,718;5,79
542,966;5,76
543,213;5,73
543,461;5,71
543,709;5,69
543,957;5,68
544,205;5,66
544,452;5,63
544,7;5,61
544,948;5,59
545,196;5,58
545,443;5,56
545,691;5,54
545,939;5,52
546,186;5,5
546,434;5,49
546,681;5,46
546,929;5,45
547,176;5,43
547,424;5,43
547,671;5,4
547,919;5,39
548,166;5,38
548,414;5,37
548,661;5,36
548,909;5,35
549,156;5,32
549,404;5,31
549,651;5,3
549,898;5,29
550,146;5,28
550,393;5,27
550,64;5,27
550,888;5,26
551,135;5,25
551,382;5,24
551,629;5,23
551,876;5,22
552,124;5,21
552,371;5,2
552,618;5,19
552,865;5,19
553,112;5,17
553,359;5,16
553,606;5,15
553,854;5,13
554,101;5,12
554,348;5,1
554,595;5,09
554,842;5,07
555,089;5,05
555,336;5,03
555,582;5,02
555,829;5,01
556,076;4,99
556,323;4,97
556,57;4,96
556,817;4,95
557,064;4,93
557,311;4,92
557,557;4,9
557,804;4,89
558,051;4,86
558,298;4,86
558,544;4,85
558,791;4,83
559,038;4,82
559,284;4,8
559,531;4,8
559,778;4,8
560,024;4,79
560,271;4,78
560,517;4,78
560,764;4,76
561,011;4,76
561,257;4,76
561,504;4,75
561,75;4,75
561,997;4,74
562,243;4,73
562,489;4,73
562,736;4,72
562,982;4,72
563,229;4,71
563,475;4,7
563,721;4,69
563,968;4,69
564,214;4,69
564,46;4,68
564,707;4,67
564,953;4,66
565,199;4,66
565,445;4,65
565,691;4,66
565,938;4,64
566,184;4,64
566,43;4,63
566,676;4,63
566,922;4,63
567,168;4,63
567,414;4,63
567,66;4,64
567,906;4,64
568,152;4,64
568,398;4,65
568,644;4,66
568,89;4,67
569,136;4,67
569,382;4,67
569,628;4,68
569,874;4,67
570,12;4,68
570,366;4,68
570,612;4,69
570,857;4,69
571,103;4,71
571,349;4,7
571,595;4,72
571,84;4,72
572,086;4,74
572,332;4,74
572,578;4,74
572,823;4,74
573,069;4,74
573,315;4,74
573,56;4,74
573,806;4,74
574,051;4,75
574,297;4,75
574,542;4,76
574,788;4,77
575,034;4,78
575,279;4,78
575,524;4,79
575,77;4,79
576,015;4,79
576,261;4,79
576,506;4,79
576,752;4,78
576,997;4,77
577,242;4,76
577,488;4,76
577,733;4,75
577,978;4,75
578,223;4,75
578,469;4,76
578,714;4,76
578,959;4,77
579,204;4,77
579,45;4,77
579,695;4,77
579,94;4,77
580,185;4,76
580,43;4,76
580,675;4,76
580,92;4,75
581,165;4,74
581,41;4,74
581,655;4,74
581,9;4,73
582,145;4,74
582,39;4,74
582,635;4,73
582,88;4,73
583,125;4,72
583,37;4,72
583,615;4,7
583,86;4,69
584,105;4,67
584,349;4,66
584,594;4,64
584,839;4,63
585,084;4,62
585,328;4,62
585,573;4,61
585,818;4,59
586,063;4,59
586,307;4,58
586,552;4,57
586,797;4,56
587,041;4,55
587,286;4,54
587,53;4,53
587,775;4,52
588,019;4,51
588,264;4,5
588,508;4,49
588,753;4,48
588,997;4,47
589,242;4,46
589,486;4,45
589,731;4,44
589,975;4,43
590,22;4,43
590,464;4,42
590,708;4,42
590,953;4,42
591,197;4,42
591,441;4,42
591,685;4,42
591,93;4,41
592,174;4,41
592,418;4,41
592,662;4,41
592,907;4,42
593,151;4,42
593,395;4,41
593,639;4,41
593,883;4,41
594,127;4,42
594,371;4,41
594,615;4,41
594,859;4,41
595,103;4,41
595,347;4,4
595,591;4,39
595,835;4,39
596,079;4,39
596,323;4,38
596,567;4,38
596,811;4,37
597,055;4,38
597,299;4,37
597,542;4,37
597,786;4,37
598,03;4,37
598,274;4,37
598,518;4,38
598,761;4,38
599,005;4,38
599,249;4,38
599,492;4,37
599,736;4,37
599,98;4,38
600,223;4,38
600,467;4,39
600,711;4,38
600,954;4,38
601,198;4,38
601,441;4,38
601,685;4,38
601,928;4,38
602,172;4,38
602,415;4,38
602,659;4,38
602,902;4,37
603,145;4,37
603,389;4,37
603,632;4,36
603,876;4,36
604,119;4,36
604,362;4,36
604,606;4,37
604,849;4,36
605,092;4,35
605,335;4,35
605,579;4,34
605,822;4,34
606,065;4,33
606,308;4,33
606,551;4,33
606,794;4,33
607,037;4,32
607,281;4,33
607,524;4,32
607,767;4,31
608,01;4,31
608,253;4,31
608,496;4,31
608,739;4,31
608,982;4,31
609,225;4,32
609,468;4,31
609,711;4,31
609,953;4,3
610,196;4,31
610,439;4,31
610,682;4,31
610,925;4,32
611,168;4,32
611,41;4,31
