Data from lapisWhite_Reflection__2__35.txt Node;
"Date: Fri Sep 12 11:16:31 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
416,325;67,33
416,582;67,39
416,838;67,43
417,095;67,54
417,352;67,62
417,608;67,67
417,865;67,76
418,121;67,83
418,378;67,92
418,634;67,98
418,891;68,09
419,147;68,17
419,403;68,28
419,66;68,38
419,916;68,49
420,173;68,55
420,429;68,63
420,685;68,71
420,942;68,8
421,198;68,9
421,454;69,01
421,711;69,06
421,967;69,16
422,223;69,28
422,479;69,37
422,735;69,44
422,992;69,53
423,248;69,62
423,504;69,7
423,76;69,74
424,016;69,81
424,272;69,86
424,528;69,94
424,784;70,02
425,041;70,14
425,297;70,21
425,553;70,31
425,809;70,41
426,065;70,48
426,32;70,58
426,576;70,68
426,832;70,79
427,088;70,91
427,344;70,98
427,6;71,08
427,856;71,18
428,112;71,31
428,368;71,39
428,623;71,48
428,879;71,59
429,135;71,69
429,391;71,79
429,646;71,88
429,902;71,95
430,158;72,03
430,414;72,07
430,669;72,16
430,925;72,25
431,181;72,36
431,436;72,44
431,692;72,49
431,947;72,58
432,203;72,62
432,458;72,68
432,714;72,77
432,97;72,81
433,225;72,88
433,481;72,91
433,736;72,97
433,991;73,03
434,247;73,11
434,502;73,2
434,758;73,27
435,013;73,33
435,268;73,43
435,524;73,49
435,779;73,6
436,034;73,67
436,29;73,75
436,545;73,78
436,8;73,86
437,056;73,95
437,311;73,96
437,566;74,05
437,821;74,1
438,076;74,18
438,331;74,27
438,587;74,32
438,842;74,44
439,097;74,52
439,352;74,62
439,607;74,65
439,862;74,71
440,117;74,78
440,372;74,85
440,627;74,88
440,882;74,99
441,137;75,06
441,392;75,15
441,647;75,19
441,902;75,25
442,157;75,28
442,412;75,32
442,667;75,38
442,921;75,45
443,176;75,51
443,431;75,54
443,686;75,59
443,941;75,65
444,195;75,68
444,45;75,73
444,705;75,78
444,96;75,84
445,214;75,88
445,469;75,92
445,724;75,94
445,978;75,97
446,233;75,96
446,487;76,01
446,742;76,01
446,997;76,06
447,251;76,07
447,506;76,12
447,76;76,14
448,015;76,18
448,269;76,16
448,524;76,2
448,778;76,26
449,033;76,3
449,287;76,31
449,541;76,32
449,796;76,35
450,05;76,36
450,305;76,34
450,559;76,37
450,813;76,39
451,067;76,43
451,322;76,45
451,576;76,48
451,83;76,44
452,084;76,46
452,339;76,46
452,593;76,49
452,847;76,51
453,101;76,54
453,355;76,54
453,609;76,57
453,864;76,61
454,118;76,57
454,372;76,57
454,626;76,58
454,88;76,58
455,134;76,59
455,388;76,6
455,642;76,62
455,896;76,6
456,15;76,56
456,404;76,53
456,658;76,51
456,912;76,46
457,165;76,46
457,419;76,44
457,673;76,4
457,927;76,35
458,181;76,31
458,435;76,29
458,688;76,28
458,942;76,28
459,196;76,18
459,45;76,13
459,703;76,09
459,957;76,05
460,211;76
460,464;75,93
460,718;75,84
460,972;75,81
461,225;75,75
461,479;75,73
461,732;75,67
461,986;75,6
462,239;75,55
462,493;75,52
462,746;75,49
463;75,42
463,253;75,37
463,507;75,31
463,76;75,23
464,014;75,15
464,267;75,09
464,52;75
464,774;74,93
465,027;74,88
465,28;74,79
465,534;74,72
465,787;74,65
466,04;74,58
466,294;74,48
466,547;74,4
466,8;74,32
467,053;74,25
467,306;74,19
467,56;74,12
467,813;74,04
468,066;73,94
468,319;73,87
468,572;73,78
468,825;73,64
469,078;73,54
469,331;73,46
469,584;73,31
469,837;73,23
470,09;73,16
470,343;73,04
470,596;72,97
470,849;72,86
471,102;72,74
471,355;72,63
471,608;72,51
471,861;72,4
472,114;72,25
472,367;72,14
472,619;71,99
472,872;71,86
473,125;71,67
473,378;71,55
473,631;71,41
473,883;71,29
474,136;71,19
474,389;71,05
474,641;70,89
474,894;70,76
475,147;70,6
475,399;70,46
475,652;70,3
475,905;70,16
476,157;70
476,41;69,85
476,662;69,71
476,915;69,55
477,167;69,42
477,42;69,28
477,672;69,09
477,925;68,96
478,177;68,77
478,43;68,63
478,682;68,43
478,934;68,25
479,187;68,09
479,439;67,9
479,691;67,74
479,944;67,56
480,196;67,37
480,448;67,21
480,701;67,01
480,953;66,84
481,205;66,65
481,457;66,47
481,709;66,31
481,962;66,11
482,214;65,9
482,466;65,66
482,718;65,42
482,97;65,2
483,222;64,95
483,474;64,74
483,726;64,54
483,978;64,36
484,23;64,19
484,482;64,02
484,734;63,85
484,986;63,68
485,238;63,52
485,49;63,36
485,742;63,22
485,994;63,07
486,246;62,91
486,498;62,74
486,75;62,57
487,001;62,39
487,253;62,21
487,505;62,03
487,757;61,84
488,009;61,65
488,26;61,43
488,512;61,21
488,764;60,97
489,015;60,75
489,267;60,52
489,519;60,29
489,77;60,06
490,022;59,84
490,274;59,63
490,525;59,43
490,777;59,23
491,028;59
491,28;58,8
491,531;58,58
491,783;58,37
492,034;58,19
492,286;58
492,537;57,77
492,789;57,56
493,04;57,35
493,291;57,11
493,543;56,9
493,794;56,67
494,045;56,46
494,297;56,21
494,548;55,99
494,799;55,77
495,051;55,56
495,302;55,34
495,553;55,14
495,804;54,93
496,056;54,73
496,307;54,51
496,558;54,28
496,809;54,06
497,06;53,88
497,311;53,65
497,562;53,43
497,813;53,24
498,064;53,03
498,316;52,83
498,567;52,63
498,818;52,41
499,069;52,23
499,319;52,01
499,57;51,81
499,821;51,61
500,072;51,39
500,323;51,19
500,574;51
500,825;50,79
501,076;50,57
501,327;50,36
501,577;50,18
501,828;49,97
502,079;49,78
502,33;49,56
502,58;49,37
502,831;49,15
503,082;48,94
503,333;48,74
503,583;48,55
