Data from bitumeWhite_Reflection__2__06.txt Node;
"Date: Fri Sep 12 10:26:38 CEST 2025 User: sycur";
438,587;8,67
438,842;8,64
439,097;8,65
439,352;8,64
439,607;8,67
439,862;8,73
440,117;8,76
440,372;8,74
440,627;8,77
440,882;8,79
441,137;8,78
441,392;8,77
441,647;8,75
441,902;8,77
442,157;8,74
442,412;8,8
442,667;8,8
442,921;8,83
443,176;8,83
443,431;8,87
443,686;8,84
443,941;8,84
444,195;8,87
444,45;8,89
444,705;8,92
444,96;8,89
445,214;8,86
445,469;8,85
445,724;8,83
445,978;8,78
446,233;8,75
446,487;8,73
446,742;8,72
446,997;8,72
447,251;8,7
447,506;8,75
447,76;8,73
448,015;8,72
448,269;8,71
448,524;8,68
448,778;8,67
449,033;8,68
449,287;8,69
449,541;8,71
449,796;8,67
450,05;8,6
450,305;8,56
450,559;8,55
450,813;8,52
451,067;8,52
451,322;8,52
451,576;8,53
451,83;8,55
452,084;8,54
452,339;8,52
452,593;8,5
452,847;8,42
453,101;8,42
453,355;8,44
453,609;8,43
453,864;8,41
454,118;8,38
454,372;8,39
454,626;8,42
454,88;8,41
455,134;8,41
455,388;8,47
455,642;8,51
455,896;8,51
456,15;8,5
456,404;8,55
456,658;8,56
456,912;8,56
457,165;8,54
457,419;8,54
457,673;8,57
457,927;8,61
458,181;8,63
458,435;8,66
458,688;8,63
458,942;8,64
459,196;8,64
459,45;8,66
459,703;8,63
459,957;8,58
460,211;8,56
460,464;8,59
460,718;8,57
460,972;8,62
461,225;8,6
461,479;8,61
461,732;8,6
461,986;8,63
462,239;8,62
462,493;8,64
462,746;8,71
463;8,69
463,253;8,7
463,507;8,69
463,76;8,66
464,014;8,69
464,267;8,67
464,52;8,7
464,774;8,73
465,027;8,75
465,28;8,78
465,534;8,79
465,787;8,78
466,04;8,81
466,294;8,77
466,547;8,79
466,8;8,82
467,053;8,78
467,306;8,75
467,56;8,74
467,813;8,73
468,066;8,69
468,319;8,7
468,572;8,69
468,825;8,73
469,078;8,75
469,331;8,75
469,584;8,74
469,837;8,74
470,09;8,73
470,343;8,73
470,596;8,73
470,849;8,75
471,102;8,8
471,355;8,76
471,608;8,79
471,861;8,84
472,114;8,81
472,367;8,81
472,619;8,83
472,872;8,85
473,125;8,85
473,378;8,85
473,631;8,85
473,883;8,87
474,136;8,88
474,389;8,88
474,641;8,86
474,894;8,88
475,147;8,89
475,399;8,9
475,652;8,93
475,905;8,94
476,157;8,94
476,41;8,92
476,662;8,95
476,915;8,94
477,167;8,94
477,42;8,97
477,672;8,99
477,925;9,01
478,177;9,02
478,43;9,06
478,682;9,09
478,934;9,12
479,187;9,15
479,439;9,18
479,691;9,2
479,944;9,28
480,196;9,3
480,448;9,33
480,701;9,35
480,953;9,38
481,205;9,4
481,457;9,43
481,709;9,46
481,962;9,51
482,214;9,59
482,466;9,66
482,718;9,75
482,97;9,88
483,222;9,98
483,474;10,1
483,726;10,18
483,978;10,23
484,23;10,28
484,482;10,32
484,734;10,34
484,986;10,35
485,238;10,32
485,49;10,34
485,742;10,36
485,994;10,37
486,246;10,38
486,498;10,38
486,75;10,37
487,001;10,38
487,253;10,36
487,505;10,34
487,757;10,33
488,009;10,29
488,26;10,22
488,512;10,15
488,764;10,07
489,015;9,99
489,267;9,93
489,519;9,88
489,77;9,83
490,022;9,81
490,274;9,78
490,525;9,78
490,777;9,76
491,028;9,76
491,28;9,75
491,531;9,71
491,783;9,7
492,034;9,74
492,286;9,71
492,537;9,7
492,789;9,68
493,04;9,66
493,291;9,63
493,543;9,64
493,794;9,66
494,045;9,67
494,297;9,67
494,548;9,68
494,799;9,68
495,051;9,7
495,302;9,68
495,553;9,71
495,804;9,71
496,056;9,72
496,307;9,7
496,558;9,71
496,809;9,74
497,06;9,77
497,311;9,75
497,562;9,81
497,813;9,84
498,064;9,86
498,316;9,88
498,567;9,91
498,818;9,92
499,069;9,91
499,319;9,91
499,57;9,93
499,821;9,93
500,072;9,95
500,323;9,95
500,574;9,97
500,825;9,97
501,076;9,99
501,327;10,01
501,577;10,02
501,828;10,02
502,079;10,03
502,33;10,02
502,58;10,04
502,831;10,01
503,082;9,99
503,333;9,99
503,583;10
503,834;9,99
504,084;10,01
504,335;10,02
504,586;10,03
504,836;10,02
505,087;10,01
505,337;9,99
505,588;9,98
505,838;9,99
506,089;10,01
506,339;10,03
506,59;10,03
506,84;10,02
507,091;10,04
507,341;10,03
507,591;10,05
507,842;10,01
508,092;10,05
508,343;10,05
508,593;10,07
508,843;10,07
509,093;10,09
509,344;10,04
509,594;10,04
509,844;10,02
510,094;10,04
510,345;10,04
510,595;10,06
510,845;10,07
511,095;10,06
511,345;10,04
511,595;10,02
511,845;10,02
512,095;10,05
512,345;10,04
512,595;10,06
512,845;10,05
513,095;10,08
513,345;10,07
513,595;10,08
513,845;10,06
514,095;10,06
514,345;10,02
514,595;10,06
514,845;10,04
515,095;10,06
515,345;10,04
515,594;10,07
515,844;10,06
516,094;10,08
516,344;10,08
516,593;10,07
516,843;10,06
517,093;10,06
517,343;10,04
517,592;10,03
517,842;10,04
518,092;10,04
518,341;10,03
518,591;10,05
518,84;10,06
519,09;10,08
519,34;10,1
519,589;10,14
519,839;10,11
520,088;10,14
520,338;10,13
520,587;10,15
520,836;10,12
521,086;10,12
521,335;10,1
521,585;10,09
521,834;10,13
522,083;10,15
522,333;10,15
522,582;10,17
522,831;10,18
523,081;10,18
523,33;10,18
523,579;10,19
523,828;10,18
524,078;10,18
524,327;10,15
524,576;10,17
524,825;10,16
525,074;10,18
525,323;10,15
525,573;10,17
525,822;10,16
526,071;10,18
526,32;10,19
526,569;10,2
526,818;10,22
527,067;10,21
527,316;10,22
527,565;10,22
527,814;10,2
528,063;10,21
528,312;10,21
528,56;10,23
528,809;10,22
529,058;10,23
529,307;10,22
529,556;10,23
529,805;10,23
530,053;10,23
530,302;10,24
530,551;10,26
530,8;10,24
531,048;10,28
531,297;10,29
531,546;10,31
531,794;10,32
532,043;10,32
532,292;10,33
532,54;10,33
532,789;10,33
533,037;10,38
533,286;10,38
533,535;10,39
533,783;10,37
534,032;10,38
534,28;10,39
534,528;10,42
534,777;10,43
535,025;10,45
535,274;10,45
535,522;10,45
535,771;10,46
536,019;10,49
536,267;10,48
536,516;10,49
536,764;10,5
537,012;10,5
537,26;10,49
537,509;10,5
537,757;10,51
538,005;10,52
538,253;10,52
538,501;10,52
538,75;10,51
538,998;10,54
539,246;10,57
539,494;10,6
539,742;10,59
539,99;10,6
540,238;10,6
540,486;10,61
540,734;10,61
540,982;10,62
541,23;10,63
541,478;10,65
541,726;10,65
541,974;10,66
542,222;10,67
542,47;10,71
542,718;10,73
542,966;10,74
543,213;10,74
543,461;10,75
543,709;10,77
543,957;10,8
544,205;10,81
544,452;10,81
544,7;10,79
544,948;10,79
545,196;10,79
545,443;10,8
545,691;10,79
545,939;10,83
546,186;10,82
546,434;10,82
546,681;10,81
546,929;10,81
547,176;10,81
547,424;10,81
547,671;10,78
547,919;10,78
548,166;10,79
548,414;10,81
548,661;10,8
548,909;10,81
549,156;10,82
549,404;10,81
549,651;10,82
549,898;10,84
550,146;10,86
550,393;10,89
550,64;10,9
550,888;10,94
551,135;10,95
551,382;10,95
551,629;10,98
551,876;11,01
552,124;11,03
552,371;11,05
552,618;11,05
552,865;11,08
553,112;11,1
553,359;11,09
553,606;11,09
553,854;11,1
554,101;11,1
554,348;11,1
554,595;11,08
554,842;11,07
555,089;11,04
555,336;11,06
555,582;11,06
555,829;11,06
556,076;11,06
556,323;11,06
556,57;11,09
556,817;11,08
557,064;11,08
557,311;11,08
557,557;11,07
557,804;11,06
558,051;11,05
558,298;11,06
558,544;11,06
558,791;11,07
559,038;11,05
559,284;11,07
559,531;11,08
559,778;11,11
560,024;11,13
560,271;11,15
560,517;11,15
560,764;11,17
561,011;11,17
561,257;11,17
561,504;11,18
561,75;11,18
561,997;11,18
562,243;11,2
562,489;11,22
562,736;11,24
562,982;11,26
563,229;11,27
563,475;11,26
563,721;11,27
563,968;11,28
564,214;11,3
564,46;11,31
564,707;11,33
564,953;11,33
565,199;11,34
565,445;11,36
565,691;11,39
565,938;11,39
566,184;11,41
566,43;11,44
566,676;11,47
566,922;11,48
567,168;11,52
567,414;11,54
567,66;11,58
567,906;11,6
568,152;11,65
568,398;11,71
568,644;11,77
568,89;11,8
569,136;11,85
569,382;11,89
569,628;11,92
569,874;11,94
570,12;12
570,366;12,03
570,612;12,06
570,857;12,08
571,103;12,12
571,349;12,15
571,595;12,19
571,84;12,21
572,086;12,25
572,332;12,28
572,578;12,31
572,823;12,33
573,069;12,36
573,315;12,38
573,56;12,4
573,806;12,41
574,051;12,46
574,297;12,48
574,542;12,51
574,788;12,54
575,034;12,58
575,279;12,6
575,524;12,62
575,77;12,65
576,015;12,68
576,261;12,71
576,506;12,72
576,752;12,72
576,997;12,74
577,242;12,74
577,488;12,74
577,733;12,73
577,978;12,75
578,223;12,76
578,469;12,78
578,714;12,79
578,959;12,81
579,204;12,81
579,45;12,83
579,695;12,84
579,94;12,85
580,185;12,85
580,43;12,86
580,675;12,85
580,92;12,85
581,165;12,85
581,41;12,86
581,655;12,86
581,9;12,87
582,145;12,87
582,39;12,9
582,635;12,9
582,88;12,91
583,125;12,9
583,37;12,91
583,615;12,89
583,86;12,9
584,105;12,88
584,349;12,89
584,594;12,86
584,839;12,86
585,084;12,84
585,328;12,84
585,573;12,83
585,818;12,83
586,063;12,82
586,307;12,81
586,552;12,78
586,797;12,78
587,041;12,76
587,286;12,75
587,53;12,71
587,775;12,7
588,019;12,69
588,264;12,69
588,508;12,67
588,753;12,66
588,997;12,64
589,242;12,64
589,486;12,62
589,731;12,63
589,975;12,61
590,22;12,62
590,464;12,61
590,708;12,63
590,953;12,62
591,197;12,63
591,441;12,63
591,685;12,63
591,93;12,63
592,174;12,65
592,418;12,65
592,662;12,67
592,907;12,68
593,151;12,7
593,395;12,7
593,639;12,71
593,883;12,71
594,127;12,73
594,371;12,73
594,615;12,72
594,859;12,7
595,103;12,72
595,347;12,71
595,591;12,7
595,835;12,68
