Data from IndigoWhite_Reflection__3__55.txt Node;
"Date: Fri Sep 12 11:53:23 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
465,534;1,73
465,787;1,73
466,04;1,74
466,294;1,73
466,547;1,74
466,8;1,75
467,053;1,74
467,306;1,74
467,56;1,73
467,813;1,72
468,066;1,71
468,319;1,73
468,572;1,74
468,825;1,75
469,078;1,75
469,331;1,73
469,584;1,73
469,837;1,72
470,09;1,72
470,343;1,72
470,596;1,71
470,849;1,7
471,102;1,7
471,355;1,69
471,608;1,69
471,861;1,68
472,114;1,66
472,367;1,66
472,619;1,64
472,872;1,65
473,125;1,64
473,378;1,64
473,631;1,63
473,883;1,62
474,136;1,62
474,389;1,62
474,641;1,61
474,894;1,61
475,147;1,62
475,399;1,62
475,652;1,63
475,905;1,63
476,157;1,62
476,41;1,6
476,662;1,61
476,915;1,61
477,167;1,6
477,42;1,6
477,672;1,61
477,925;1,62
478,177;1,62
478,43;1,62
478,682;1,62
478,934;1,61
479,187;1,62
479,439;1,62
479,691;1,62
479,944;1,64
480,196;1,63
480,448;1,63
480,701;1,63
480,953;1,63
481,205;1,62
481,457;1,63
481,709;1,64
481,962;1,64
482,214;1,65
482,466;1,66
482,718;1,66
482,97;1,68
483,222;1,69
483,474;1,69
483,726;1,69
483,978;1,69
484,23;1,69
484,482;1,69
484,734;1,69
484,986;1,68
485,238;1,67
485,49;1,68
485,742;1,69
485,994;1,68
486,246;1,68
486,498;1,69
486,75;1,69
487,001;1,69
487,253;1,69
487,505;1,69
487,757;1,68
488,009;1,69
488,26;1,69
488,512;1,68
488,764;1,67
489,015;1,66
489,267;1,66
489,519;1,66
489,77;1,65
490,022;1,64
490,274;1,64
490,525;1,64
490,777;1,63
491,028;1,61
491,28;1,61
491,531;1,6
491,783;1,6
492,034;1,59
492,286;1,59
492,537;1,58
492,789;1,57
493,04;1,57
493,291;1,56
493,543;1,55
493,794;1,55
494,045;1,56
494,297;1,55
494,548;1,55
494,799;1,56
495,051;1,57
495,302;1,58
495,553;1,58
495,804;1,58
496,056;1,59
496,307;1,58
496,558;1,58
496,809;1,59
497,06;1,59
497,311;1,6
497,562;1,6
497,813;1,6
498,064;1,61
498,316;1,59
498,567;1,58
498,818;1,58
499,069;1,58
499,319;1,57
499,57;1,58
499,821;1,57
500,072;1,58
500,323;1,58
500,574;1,57
500,825;1,56
501,076;1,55
501,327;1,55
501,577;1,56
501,828;1,56
502,079;1,55
502,33;1,55
502,58;1,55
502,831;1,55
503,082;1,55
503,333;1,54
503,583;1,54
503,834;1,55
504,084;1,56
504,335;1,56
504,586;1,56
504,836;1,55
505,087;1,54
505,337;1,53
505,588;1,53
505,838;1,53
506,089;1,54
506,339;1,55
506,59;1,54
506,84;1,53
507,091;1,53
507,341;1,53
507,591;1,53
507,842;1,52
508,092;1,52
508,343;1,52
508,593;1,52
508,843;1,53
509,093;1,53
509,344;1,52
509,594;1,52
509,844;1,52
510,094;1,53
510,345;1,55
510,595;1,55
510,845;1,55
511,095;1,54
511,345;1,54
