Data from IndigoWhite_Reflection__0__52.txt Node;
"Date: Fri Sep 12 11:51:11 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
413,245;2,61
413,501;2,6
413,758;2,58
414,015;2,56
414,272;2,55
414,529;2,52
414,785;2,53
415,042;2,53
415,299;2,51
415,555;2,51
415,812;2,49
416,069;2,49
416,325;2,48
416,582;2,5
416,838;2,5
417,095;2,47
417,352;2,48
417,608;2,48
417,865;2,47
418,121;2,49
418,378;2,49
418,634;2,5
418,891;2,51
419,147;2,52
419,403;2,52
419,66;2,52
419,916;2,55
420,173;2,54
420,429;2,53
420,685;2,55
420,942;2,55
421,198;2,54
421,454;2,53
421,711;2,54
421,967;2,53
422,223;2,51
422,479;2,52
422,735;2,52
422,992;2,51
423,248;2,5
423,504;2,49
423,76;2,48
424,016;2,47
424,272;2,47
424,528;2,48
424,784;2,49
425,041;2,49
425,297;2,47
425,553;2,47
425,809;2,48
426,065;2,47
426,32;2,46
426,576;2,47
426,832;2,49
427,088;2,47
427,344;2,48
427,6;2,48
427,856;2,49
428,112;2,5
428,368;2,52
428,623;2,51
428,879;2,53
429,135;2,53
429,391;2,53
429,646;2,53
429,902;2,5
430,158;2,51
430,414;2,52
430,669;2,53
430,925;2,5
431,181;2,5
431,436;2,5
431,692;2,49
431,947;2,5
432,203;2,48
432,458;2,5
432,714;2,5
432,97;2,49
433,225;2,49
433,481;2,48
433,736;2,49
433,991;2,5
434,247;2,48
434,502;2,49
434,758;2,48
435,013;2,49
435,268;2,5
435,524;2,5
435,779;2,5
436,034;2,5
436,29;2,5
436,545;2,48
436,8;2,49
437,056;2,5
437,311;2,5
437,566;2,5
437,821;2,5
438,076;2,49
438,331;2,5
438,587;2,51
438,842;2,5
439,097;2,48
439,352;2,48
439,607;2,47
439,862;2,48
