Data from GiallorinoWhite_Reflection__4__34.txt Node;
"Date: Thu Sep 11 16:45:56 CEST 2025 User: sycur";
510,094;63,74
510,345;64,01
510,595;64,28
510,845;64,55
511,095;64,8
511,345;65,07
511,595;65,32
511,845;65,59
512,095;65,85
512,345;66,1
512,595;66,38
512,845;66,64
513,095;66,92
513,345;67,18
513,595;67,42
513,845;67,68
514,095;67,94
514,345;68,19
514,595;68,43
514,845;68,7
515,095;68,94
515,345;69,18
515,594;69,42
515,844;69,66
516,094;69,89
516,344;70,13
516,593;70,35
516,843;70,6
517,093;70,81
517,343;71,04
517,592;71,28
517,842;71,5
518,092;71,73
518,341;71,95
518,591;72,19
518,84;72,43
519,09;72,63
519,34;72,85
519,589;73,06
519,839;73,27
520,088;73,47
520,338;73,69
520,587;73,91
520,836;74,12
521,086;74,32
521,335;74,55
521,585;74,74
521,834;74,94
522,083;75,12
522,333;75,34
522,582;75,52
522,831;75,7
523,081;75,89
523,33;76,07
523,579;76,26
523,828;76,44
524,078;76,6
524,327;76,78
524,576;76,96
524,825;77,15
525,074;77,33
525,323;77,49
525,573;77,64
525,822;77,81
526,071;77,98
526,32;78,14
526,569;78,27
526,818;78,46
527,067;78,61
527,316;78,75
527,565;78,87
527,814;79,05
528,063;79,21
528,312;79,35
528,56;79,48
528,809;79,59
529,058;79,72
529,307;79,86
529,556;80,01
529,805;80,13
530,053;80,23
530,302;80,36
530,551;80,5
530,8;80,63
531,048;80,74
531,297;80,85
531,546;80,94
531,794;81,06
532,043;81,16
532,292;81,27
532,54;81,38
532,789;81,48
533,037;81,55
533,286;81,63
533,535;81,72
533,783;81,84
534,032;81,96
534,28;82,04
534,528;82,13
534,777;82,22
535,025;82,31
535,274;82,42
535,522;82,49
535,771;82,56
536,019;82,64
536,267;82,73
536,516;82,82
536,764;82,91
537,012;82,99
537,26;83,06
537,509;83,14
537,757;83,21
538,005;83,29
538,253;83,36
538,501;83,43
538,75;83,49
538,998;83,56
539,246;83,62
539,494;83,68
539,742;83,76
539,99;83,81
540,238;83,87
540,486;83,92
540,734;83,98
540,982;84,04
541,23;84,11
541,478;84,16
541,726;84,21
541,974;84,27
542,222;84,32
542,47;84,38
542,718;84,44
542,966;84,49
543,213;84,53
543,461;84,6
543,709;84,65
543,957;84,69
544,205;84,71
544,452;84,75
544,7;84,78
544,948;84,82
545,196;84,85
545,443;84,87
545,691;84,9
545,939;84,92
546,186;84,97
546,434;84,98
546,681;85,01
546,929;85,05
547,176;85,08
547,424;85,12
547,671;85,15
547,919;85,17
548,166;85,21
548,414;85,26
548,661;85,28
548,909;85,32
549,156;85,36
549,404;85,38
549,651;85,42
549,898;85,47
550,146;85,49
550,393;85,53
550,64;85,57
550,888;85,61
551,135;85,67
551,382;85,69
551,629;85,73
551,876;85,77
552,124;85,79
552,371;85,81
552,618;85,83
552,865;85,87
553,112;85,9
553,359;85,92
553,606;85,94
553,854;85,97
554,101;85,99
554,348;86,01
554,595;86,03
554,842;86,05
555,089;86,08
555,336;86,11
555,582;86,13
555,829;86,14
556,076;86,17
556,323;86,18
556,57;86,21
556,817;86,23
557,064;86,23
557,311;86,25
557,557;86,28
557,804;86,31
558,051;86,33
558,298;86,33
558,544;86,34
558,791;86,37
559,038;86,39
559,284;86,41
559,531;86,42
559,778;86,44
560,024;86,45
560,271;86,44
560,517;86,47
560,764;86,47
561,011;86,5
561,257;86,51
561,504;86,5
561,75;86,5
561,997;86,52
562,243;86,55
562,489;86,56
562,736;86,57
562,982;86,58
563,229;86,58
563,475;86,6
563,721;86,62
563,968;86,62
564,214;86,64
564,46;86,64
564,707;86,64
564,953;86,65
565,199;86,66
565,445;86,67
565,691;86,66
565,938;86,67
566,184;86,65
566,43;86,65
566,676;86,63
566,922;86,62
567,168;86,59
567,414;86,6
567,66;86,58
567,906;86,57
568,152;86,54
568,398;86,54
568,644;86,52
568,89;86,48
569,136;86,48
569,382;86,46
569,628;86,44
569,874;86,43
570,12;86,4
570,366;86,4
570,612;86,38
570,857;86,36
571,103;86,35
571,349;86,34
571,595;86,32
571,84;86,31
572,086;86,33
572,332;86,34
572,578;86,33
572,823;86,33
573,069;86,33
573,315;86,33
573,56;86,32
573,806;86,33
574,051;86,35
574,297;86,33
574,542;86,33
574,788;86,31
575,034;86,3
575,279;86,32
575,524;86,32
575,77;86,32
576,015;86,34
576,261;86,36
576,506;86,38
576,752;86,39
576,997;86,4
577,242;86,4
577,488;86,4
577,733;86,4
577,978;86,4
578,223;86,37
578,469;86,38
578,714;86,39
578,959;86,38
579,204;86,38
579,45;86,39
579,695;86,41
579,94;86,45
580,185;86,49
580,43;86,5
580,675;86,53
580,92;86,55
581,165;86,54
581,41;86,54
581,655;86,55
581,9;86,56
582,145;86,57
582,39;86,58
582,635;86,59
582,88;86,6
583,125;86,64
583,37;86,68
583,615;86,7
583,86;86,71
584,105;86,74
584,349;86,75
584,594;86,77
584,839;86,75
585,084;86,76
585,328;86,76
585,573;86,78
585,818;86,78
586,063;86,79
586,307;86,82
586,552;86,84
586,797;86,86
587,041;86,9
587,286;86,94
587,53;86,96
587,775;86,99
588,019;87,01
588,264;87,02
588,508;87,05
588,753;87,07
588,997;87,13
589,242;87,15
589,486;87,19
589,731;87,22
589,975;87,25
590,22;87,26
590,464;87,29
590,708;87,31
590,953;87,3
591,197;87,32
591,441;87,32
591,685;87,32
591,93;87,33
592,174;87,32
592,418;87,3
592,662;87,29
592,907;87,27
593,151;87,28
593,395;87,27
593,639;87,26
593,883;87,26
594,127;87,24
594,371;87,25
594,615;87,26
594,859;87,25
595,103;87,27
595,347;87,27
595,591;87,26
595,835;87,25
596,079;87,28
596,323;87,28
596,567;87,27
596,811;87,29
597,055;87,27
597,299;87,28
597,542;87,29
597,786;87,29
598,03;87,31
598,274;87,32
598,518;87,33
598,761;87,34
599,005;87,34
599,249;87,34
599,492;87,33
599,736;87,32
599,98;87,34
600,223;87,34
600,467;87,34
600,711;87,35
600,954;87,37
601,198;87,37
601,441;87,36
601,685;87,38
601,928;87,38
602,172;87,4
602,415;87,39
602,659;87,42
602,902;87,44
603,145;87,42
603,389;87,42
603,632;87,43
603,876;87,46
604,119;87,46
604,362;87,48
604,606;87,49
604,849;87,49
605,092;87,5
605,335;87,5
605,579;87,51
605,822;87,51
606,065;87,52
606,308;87,52
606,551;87,55
606,794;87,54
607,037;87,56
607,281;87,57
607,524;87,59
607,767;87,59
608,01;87,6
608,253;87,61
608,496;87,63
608,739;87,63
608,982;87,62
609,225;87,63
609,468;87,62
609,711;87,63
609,953;87,64
610,196;87,63
610,439;87,64
610,682;87,65
610,925;87,68
611,168;87,7
611,41;87,71
611,653;87,73
611,896;87,74
612,139;87,74
612,381;87,73
612,624;87,76
612,867;87,74
613,109;87,73
613,352;87,75
613,595;87,75
613,837;87,75
614,08;87,76
614,322;87,76
614,565;87,79
614,807;87,8
615,05;87,82
615,292;87,85
615,535;87,86
615,777;87,88
616,02;87,88
616,262;87,89
616,505;87,89
616,747;87,89
616,989;87,91
617,232;87,92
617,474;87,93
617,716;87,95
617,959;87,99
618,201;88,02
618,443;88,03
618,685;88,05
618,927;88,08
619,17;88,08
619,412;88,08
619,654;88,09
619,896;88,1
620,138;88,09
620,38;88,08
620,622;88,09
620,864;88,08
621,107;88,08
621,349;88,06
621,591;88,06
621,833;88,08
622,075;88,1
622,316;88,09
622,558;88,12
622,8;88,1
623,042;88,1
623,284;88,1
623,526;88,12
623,768;88,14
624,01;88,15
624,251;88,16
624,493;88,18
624,735;88,2
624,977;88,22
625,218;88,24
625,46;88,27
625,702;88,28
625,943;88,31
626,185;88,32
626,427;88,35
626,668;88,36
626,91;88,38
627,152;88,39
627,393;88,41
