Data from GiallorinoWhite_Reflection__0__30.txt Node;
"Date: Thu Sep 11 16:41:58 CEST 2025 User: sycur";
474,136;35,55
474,389;35,73
474,641;35,9
474,894;36,11
475,147;36,29
475,399;36,48
475,652;36,66
475,905;36,87
476,157;37,07
476,41;37,26
476,662;37,46
476,915;37,66
477,167;37,83
477,42;38,02
477,672;38,19
477,925;38,39
478,177;38,57
478,43;38,76
478,682;38,93
478,934;39,15
479,187;39,34
479,439;39,52
479,691;39,74
479,944;39,94
480,196;40,13
480,448;40,31
480,701;40,51
480,953;40,71
481,205;40,88
481,457;41,07
481,709;41,27
481,962;41,48
482,214;41,7
482,466;41,94
482,718;42,19
482,97;42,45
483,222;42,69
483,474;42,95
483,726;43,2
483,978;43,41
484,23;43,61
484,482;43,8
484,734;43,99
484,986;44,14
485,238;44,29
485,49;44,47
485,742;44,62
485,994;44,78
486,246;44,94
486,498;45,11
486,75;45,27
487,001;45,44
487,253;45,6
487,505;45,77
487,757;45,94
488,009;46,13
488,26;46,32
488,512;46,53
488,764;46,72
489,015;46,92
489,267;47,13
489,519;47,33
489,77;47,54
490,022;47,74
490,274;47,94
490,525;48,17
490,777;48,35
491,028;48,56
491,28;48,77
491,531;48,96
491,783;49,16
492,034;49,37
492,286;49,58
492,537;49,79
492,789;50
493,04;50,21
493,291;50,43
493,543;50,64
493,794;50,86
494,045;51,09
494,297;51,31
494,548;51,51
494,799;51,73
495,051;51,94
495,302;52,17
495,553;52,4
495,804;52,6
496,056;52,83
496,307;53,04
496,558;53,24
496,809;53,46
497,06;53,67
497,311;53,9
497,562;54,12
497,813;54,33
498,064;54,56
498,316;54,78
498,567;54,99
498,818;55,22
499,069;55,42
499,319;55,63
499,57;55,81
499,821;56,04
500,072;56,26
500,323;56,47
500,574;56,67
500,825;56,86
501,076;57,07
501,327;57,29
501,577;57,52
501,828;57,74
502,079;57,96
502,33;58,17
502,58;58,36
502,831;58,58
503,082;58,79
503,333;58,99
503,583;59,2
503,834;59,42
504,084;59,62
504,335;59,83
504,586;60,02
504,836;60,25
505,087;60,44
505,337;60,63
505,588;60,83
505,838;61,02
506,089;61,26
506,339;61,49
506,59;61,68
506,84;61,89
507,091;62,11
507,341;62,31
507,591;62,49
507,842;62,7
508,092;62,89
508,343;63,08
508,593;63,29
508,843;63,47
509,093;63,66
509,344;63,87
509,594;64,08
509,844;64,3
510,094;64,48
510,345;64,68
510,595;64,87
510,845;65,08
511,095;65,27
511,345;65,45
511,595;65,63
511,845;65,82
512,095;66
512,345;66,18
512,595;66,36
512,845;66,55
513,095;66,75
513,345;66,94
513,595;67,13
513,845;67,29
514,095;67,47
514,345;67,65
514,595;67,83
514,845;68
515,095;68,18
515,345;68,36
515,594;68,54
515,844;68,71
516,094;68,87
516,344;69,05
516,593;69,21
516,843;69,37
517,093;69,55
