Data from malachiteVSwhite_Reflection__2__50.txt Node;
"Date: Wed Sep 10 12:51:55 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
378,937;4,94
379,196;4,94
379,455;5,02
379,714;5,06
379,973;5,11
380,232;5,14
380,491;5,14
380,75;5,17
381,009;5,23
381,268;5,28
381,527;5,33
381,786;5,35
382,045;5,34
382,304;5,43
382,563;5,48
382,821;5,59
383,08;5,6
383,339;5,66
383,598;5,76
383,857;5,81
384,115;5,88
384,374;5,92
384,633;6,03
384,891;6,08
385,15;6,13
385,409;6,22
385,667;6,26
385,926;6,32
386,185;6,37
386,443;6,43
386,702;6,46
386,96;6,49
387,219;6,53
387,477;6,62
387,736;6,63
387,994;6,69
388,253;6,67
388,511;6,71
388,77;6,73
389,028;6,75
389,287;6,78
389,545;6,84
389,803;6,86
390,062;6,86
390,32;6,86
390,578;6,9
390,837;6,91
391,095;6,97
391,353;7,04
391,612;7,09
391,87;7,11
392,128;7,18
392,386;7,23
392,644;7,3
392,903;7,3
393,161;7,32
393,419;7,36
393,677;7,4
393,935;7,45
394,193;7,48
394,451;7,53
394,709;7,53
394,967;7,57
395,225;7,64
395,483;7,75
395,741;7,8
395,999;7,86
396,257;7,9
396,515;7,91
396,773;7,93
397,031;8
397,289;8,08
397,547;8,13
397,805;8,21
398,062;8,26
398,32;8,32
398,578;8,42
398,836;8,4
399,094;8,42
399,351;8,45
399,609;8,56
399,867;8,57
400,124;8,64
400,382;8,74
400,64;8,81
400,897;8,88
401,155;8,92
401,413;8,96
401,67;8,97
401,928;9,05
402,185;9,1
402,443;9,09
402,701;9,14
402,958;9,2
403,216;9,2
403,473;9,19
403,73;9,27
403,988;9,26
404,245;9,35
404,503;9,45
404,76;9,53
405,018;9,49
405,275;9,63
405,532;9,73
405,79;9,72
406,047;9,73
406,304;9,72
406,561;9,76
406,819;9,84
407,076;9,88
407,333;9,91
407,59;9,95
407,848;10,01
408,105;10,04
408,362;10,08
408,619;10,16
408,876;10,2
409,133;10,2
409,39;10,31
409,647;10,4
409,904;10,37
410,161;10,42
410,418;10,5
410,675;10,47
410,932;10,46
411,189;10,54
411,446;10,55
411,703;10,56
411,96;10,64
412,217;10,65
412,474;10,69
412,731;10,69
412,988;10,78
413,245;10,87
413,501;10,89
413,758;10,89
414,015;10,87
414,272;10,96
414,529;11,04
414,785;11,02
415,042;11,06
415,299;11,14
415,555;11,12
415,812;11,08
416,069;11,14
416,325;11,2
416,582;11,21
416,838;11,27
417,095;11,34
417,352;11,34
417,608;11,4
417,865;11,46
418,121;11,55
418,378;11,53
418,634;11,52
418,891;11,65
419,147;11,75
419,403;11,82
419,66;11,85
419,916;11,89
420,173;11,93
420,429;11,94
420,685;11,99
420,942;12,07
421,198;12,17
421,454;12,2
421,711;12,18
