Data from malachiteVSwhite_Reflection__3__51.txt Node;
"Date: Wed Sep 10 12:52:51 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
449,796;11,67
450,05;11,71
450,305;11,72
450,559;11,76
450,813;11,8
451,067;11,81
451,322;11,82
451,576;11,85
451,83;11,88
452,084;11,92
452,339;12,02
452,593;12,09
452,847;12,12
453,101;12,17
453,355;12,19
453,609;12,21
453,864;12,25
454,118;12,24
454,372;12,32
454,626;12,45
454,88;12,5
455,134;12,56
455,388;12,57
455,642;12,65
455,896;12,68
456,15;12,67
456,404;12,71
456,658;12,72
456,912;12,72
457,165;12,79
457,419;12,79
457,673;12,77
457,927;12,73
458,181;12,75
458,435;12,77
458,688;12,82
458,942;12,86
459,196;12,86
459,45;12,94
459,703;12,94
459,957;12,91
460,211;12,93
460,464;12,94
460,718;12,94
460,972;12,94
461,225;12,96
461,479;13,06
461,732;13,07
461,986;13,12
462,239;13,2
462,493;13,24
462,746;13,34
463;13,39
463,253;13,5
463,507;13,55
463,76;13,63
464,014;13,66
464,267;13,73
464,52;13,8
464,774;13,86
465,027;13,94
465,28;14,02
465,534;14,02
465,787;14,08
466,04;14,12
466,294;14,19
466,547;14,23
466,8;14,29
467,053;14,33
467,306;14,35
467,56;14,4
467,813;14,41
468,066;14,41
468,319;14,41
468,572;14,41
468,825;14,48
469,078;14,54
469,331;14,61
469,584;14,64
469,837;14,69
470,09;14,72
470,343;14,75
470,596;14,78
470,849;14,84
471,102;14,87
471,355;14,97
471,608;15,05
471,861;15,16
472,114;15,19
472,367;15,27
472,619;15,36
472,872;15,43
473,125;15,52
473,378;15,6
473,631;15,71
473,883;15,76
474,136;15,78
474,389;15,83
474,641;15,85
474,894;15,9
475,147;15,98
475,399;16,05
475,652;16,12
475,905;16,19
476,157;16,25
476,41;16,32
476,662;16,36
476,915;16,39
477,167;16,42
477,42;16,48
477,672;16,53
477,925;16,59
478,177;16,63
478,43;16,7
478,682;16,75
478,934;16,79
479,187;16,87
479,439;16,93
479,691;16,98
479,944;17,08
480,196;17,14
480,448;17,21
480,701;17,23
480,953;17,31
481,205;17,34
489,267;19,55
489,519;19,52
489,77;19,54
490,022;19,58
490,274;19,6
490,525;19,64
