Data from malachiteVSwhite_Reflection__0__48.txt Node;
"Date: Wed Sep 10 12:48:53 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
403,988;28,59
404,245;28,66
404,503;28,73
404,76;28,75
405,018;28,81
405,275;28,82
405,532;28,93
405,79;28,93
406,047;28,98
406,304;29,11
406,561;29,18
406,819;29,27
407,076;29,26
407,333;29,23
407,59;29,3
407,848;29,32
408,105;29,32
408,362;29,37
408,619;29,45
408,876;29,52
409,133;29,5
409,39;29,58
409,647;29,66
409,904;29,65
410,161;29,66
410,418;29,66
410,675;29,66
410,932;29,6
411,189;29,65
411,446;29,65
411,703;29,6
411,96;29,56
412,217;29,61
412,474;29,6
412,731;29,62
412,988;29,61
413,245;29,64
413,501;29,67
413,758;29,65
414,015;29,65
414,272;29,65
414,529;29,73
414,785;29,68
415,042;29,75
415,299;29,8
415,555;29,82
415,812;29,86
416,069;29,85
416,325;29,9
416,582;29,98
416,838;30,11
417,095;30,15
417,352;30,22
417,608;30,23
417,865;30,34
418,121;30,39
418,378;30,45
418,634;30,5
418,891;30,57
419,147;30,59
419,403;30,66
419,66;30,7
419,916;30,73
420,173;30,74
420,429;30,68
420,685;30,71
420,942;30,77
421,198;30,75
421,454;30,8
421,711;30,81
421,967;30,81
422,223;30,75
422,479;30,8
422,735;30,82
422,992;30,83
423,248;30,76
423,504;30,74
423,76;30,76
424,016;30,76
424,272;30,78
424,528;30,81
424,784;30,8
425,041;30,81
425,297;30,85
425,553;30,92
425,809;30,94
426,065;30,96
426,32;30,99
426,576;31,1
426,832;31,1
427,088;31,18
427,344;31,21
427,6;31,31
427,856;31,3
428,112;31,34
428,368;31,35
428,623;31,45
428,879;31,51
429,135;31,49
429,391;31,52
429,646;31,59
429,902;31,55
430,158;31,6
430,414;31,65
430,669;31,68
430,925;31,71
431,181;31,77
431,436;31,84
431,692;31,85
431,947;31,84
432,203;31,9
432,458;31,84
432,714;31,91
432,97;31,9
433,225;32,01
433,481;32,03
433,736;32,08
433,991;32,07
434,247;32,07
434,502;32,15
434,758;32,2
435,013;32,22
435,268;32,31
435,524;32,26
435,779;32,27
436,034;32,27
436,29;32,29
436,545;32,26
436,8;32,26
437,056;32,3
437,311;32,29
437,566;32,3
437,821;32,37
438,076;32,38
438,331;32,4
438,587;32,37
438,842;32,44
439,097;32,52
439,352;32,62
439,607;32,62
439,862;32,59
440,117;32,64
440,372;32,61
440,627;32,65
440,882;32,78
441,137;32,82
441,392;32,91
441,647;32,94
441,902;33,02
442,157;33,11
442,412;33,13
442,667;33,18
442,921;33,25
443,176;33,3
443,431;33,29
443,686;33,34
443,941;33,34
444,195;33,31
444,45;33,32
444,705;33,33
444,96;33,44
445,214;33,45
445,469;33,45
445,724;33,52
445,978;33,56
446,233;33,57
446,487;33,59
446,742;33,52
446,997;33,56
447,251;33,56
447,506;33,59
