Data from malachiteVSwhite_Reflection__1__49.txt Node;
"Date: Wed Sep 10 12:50:59 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
454,118;7,51
454,372;7,53
454,626;7,59
454,88;7,64
455,134;7,68
455,388;7,69
455,642;7,67
455,896;7,69
456,15;7,66
456,404;7,75
456,658;7,8
456,912;7,78
457,165;7,75
457,419;7,74
457,673;7,7
457,927;7,7
458,181;7,75
458,435;7,76
458,688;7,72
458,942;7,76
459,196;7,78
459,45;7,8
459,703;7,81
459,957;7,78
460,211;7,77
460,464;7,8
460,718;7,82
460,972;7,85
461,225;7,86
461,479;7,9
461,732;7,87
461,986;7,87
462,239;7,94
462,493;8,01
462,746;8,07
463;8,13
463,253;8,21
463,507;8,17
463,76;8,2
464,014;8,27
464,267;8,27
464,52;8,3
464,774;8,36
465,027;8,44
465,28;8,52
465,534;8,54
465,787;8,56
466,04;8,56
466,294;8,61
466,547;8,62
466,8;8,69
467,053;8,75
467,306;8,77
467,56;8,79
467,813;8,8
468,066;8,79
468,319;8,84
468,572;8,88
468,825;8,95
469,078;9,01
469,331;8,99
469,584;9,05
469,837;9,11
470,09;9,14
470,343;9,11
470,596;9,16
470,849;9,16
471,102;9,14
471,355;9,19
471,608;9,24
471,861;9,3
472,114;9,35
472,367;9,39
472,619;9,46
472,872;9,51
473,125;9,56
473,378;9,62
473,631;9,64
473,883;9,64
474,136;9,67
474,389;9,71
474,641;9,77
474,894;9,76
475,147;9,78
475,399;9,77
475,652;9,83
475,905;9,83
476,157;9,91
476,41;9,99
476,662;10
476,915;10,04
477,167;10,05
477,42;10,05
477,672;10,05
477,925;10,09
478,177;10,12
478,43;10,19
478,682;10,2
478,934;10,23
479,187;10,29
479,439;10,33
479,691;10,35
479,944;10,4
480,196;10,44
480,448;10,51
480,701;10,55
480,953;10,6
481,205;10,65
489,77;11,89
490,022;11,92
490,274;11,93
490,525;11,99
490,777;12,03
491,028;12,05
491,28;12,09
491,531;12,15
491,783;12,2
492,034;12,27
492,286;12,3
492,537;12,35
492,789;12,39
493,04;12,43
493,291;12,49
493,543;12,55
493,794;12,57
494,045;12,61
494,297;12,63
494,548;12,67
494,799;12,69
495,051;12,74
495,302;12,77
495,553;12,8
495,804;12,83
496,056;12,89
496,307;12,92
496,558;12,99
496,809;13,02
497,06;13,07
497,311;13,08
497,562;13,12
497,813;13,15
498,064;13,18
498,316;13,22
498,567;13,25
498,818;13,24
499,069;13,28
499,319;13,3
499,57;13,33
499,821;13,38
500,072;13,43
500,323;13,46
500,574;13,51
500,825;13,57
501,076;13,62
501,327;13,64
501,577;13,71
501,828;13,7
502,079;13,72
502,33;13,76
502,58;13,8
502,831;13,83
503,082;13,86
503,333;13,9
503,583;13,92
503,834;13,97
504,084;14,01
504,335;14,03
504,586;14,08
504,836;14,12
505,087;14,15
505,337;14,19
505,588;14,23
505,838;14,26
506,089;14,32
506,339;14,31
506,59;14,34
506,84;14,35
507,091;14,41
507,341;14,43
507,591;14,48
507,842;14,52
508,092;14,55
508,343;14,57
508,593;14,59
508,843;14,59
509,093;14,59
509,344;14,64
509,594;14,66
509,844;14,69
510,094;14,73
510,345;14,75
510,595;14,76
510,845;14,78
511,095;14,79
511,345;14,76
511,595;14,79
511,845;14,8
512,095;14,81
512,345;14,82
512,595;14,88
512,845;14,89
513,095;14,9
513,345;14,94
513,595;14,98
513,845;14,99
514,095;15,02
514,345;15,06
514,595;15,07
514,845;15,07
515,095;15,09
515,345;15,12
515,594;15,13
515,844;15,15
516,094;15,16
516,344;15,18
516,593;15,19
516,843;15,2
517,093;15,22
517,343;15,24
517,592;15,25
517,842;15,25
518,092;15,27
518,341;15,25
518,591;15,28
518,84;15,27
519,09;15,3
519,34;15,33
519,589;15,33
519,839;15,33
520,088;15,32
520,338;15,3
520,587;15,28
520,836;15,26
521,086;15,26
521,335;15,26
521,585;15,24
521,834;15,25
522,083;15,26
522,333;15,26
522,582;15,28
522,831;15,27
523,081;15,25
523,33;15,23
523,579;15,24
523,828;15,22
524,078;15,21
524,327;15,16
524,576;15,11
524,825;15,1
525,074;15,09
525,323;15,09
525,573;15,08
525,822;15,1
526,071;15,1
526,32;15,08
526,569;15,07
526,818;15,07
527,067;15,08
527,316;15,07
527,565;15,07
527,814;15,03
528,063;15,02
528,312;15,01
528,56;15
528,809;14,97
529,058;14,97
529,307;14,97
529,556;14,97
529,805;14,97
530,053;14,97
530,302;14,95
530,551;14,94
530,8;14,92
531,048;14,89
531,297;14,86
531,546;14,84
531,794;14,8
532,043;14,78
532,292;14,77
532,54;14,74
532,789;14,68
533,037;14,66
533,286;14,62
533,535;14,59
533,783;14,54
534,032;14,53
534,28;14,47
534,528;14,44
534,777;14,4
535,025;14,38
535,274;14,34
535,522;14,32
535,771;14,26
536,019;14,25
536,267;14,19
536,516;14,17
536,764;14,16
537,012;14,14
537,26;14,11
537,509;14,07
537,757;14,03
538,005;14,01
538,253;13,96
538,501;13,93
538,75;13,88
538,998;13,86
539,246;13,81
539,494;13,77
539,742;13,7
539,99;13,67
540,238;13,64
540,486;13,61
540,734;13,54
540,982;13,52
541,23;13,47
541,478;13,46
541,726;13,39
541,974;13,34
542,222;13,31
542,47;13,25
542,718;13,2
542,966;13,15
543,213;13,09
543,461;13,06
543,709;13,02
543,957;12,98
544,205;12,93
544,452;12,9
544,7;12,85
544,948;12,86
545,196;12,81
545,443;12,78
545,691;12,74
545,939;12,7
546,186;12,65
546,434;12,61
546,681;12,54
546,929;12,51
547,176;12,45
547,424;12,39
547,671;12,34
547,919;12,31
548,166;12,28
548,414;12,23
548,661;12,19
548,909;12,16
549,156;12,1
549,404;12,08
549,651;12,02
549,898;11,98
550,146;11,91
550,393;11,88
550,64;11,82
550,888;11,79
551,135;11,75
551,382;11,71
551,629;11,64
551,876;11,62
552,124;11,58
552,371;11,57
552,618;11,51
552,865;11,48
553,112;11,41
553,359;11,36
553,606;11,33
553,854;11,28
554,101;11,22
554,348;11,2
554,595;11,14
554,842;11,1
555,089;11,05
555,336;11,02
555,582;10,96
555,829;10,9
556,076;10,83
