Data from malachiteVSwhite_Reflection__4__52.txt Node;
"Date: Wed Sep 10 12:54:03 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
362,843;3,39
363,103;3,4
363,363;3,38
363,623;3,41
363,883;3,47
364,143;3,48
364,403;3,48
364,663;3,53
364,923;3,51
365,183;3,58
365,443;3,59
365,703;3,64
365,963;3,68
366,223;3,74
366,483;3,7
366,743;3,72
367,002;3,76
367,262;3,78
367,522;3,81
367,782;3,87
368,042;3,9
368,301;3,97
368,561;4
368,821;4,02
369,081;4,04
369,34;4,01
369,6;3,99
369,86;4,01
370,119;4,05
370,379;4,09
370,638;4,1
370,898;4,13
371,158;4,16
371,417;4,19
371,677;4,16
371,936;4,27
372,196;4,31
372,455;4,32
372,715;4,36
372,974;4,43
373,234;4,41
373,493;4,47
373,753;4,53
374,012;4,53
374,271;4,57
374,531;4,58
374,79;4,65
375,049;4,73
375,309;4,77
375,568;4,78
375,827;4,81
376,086;4,8
376,346;4,87
376,605;4,89
376,864;4,9
377,123;4,94
377,383;4,91
377,642;4,95
377,901;4,99
378,16;5,06
378,419;5,04
378,678;5,09
378,937;5,05
379,196;5,05
379,455;5,11
379,714;5,19
379,973;5,3
380,232;5,3
380,491;5,32
380,75;5,34
381,009;5,35
381,268;5,39
381,527;5,45
381,786;5,46
382,045;5,5
382,304;5,57
382,563;5,63
382,821;5,73
383,08;5,77
383,339;5,85
383,598;5,9
383,857;5,95
384,115;6,03
384,374;6,08
384,633;6,19
384,891;6,18
385,15;6,16
385,409;6,22
385,667;6,27
385,926;6,3
386,185;6,35
386,443;6,39
386,702;6,4
386,96;6,45
387,219;6,5
387,477;6,58
387,736;6,61
387,994;6,65
388,253;6,67
388,511;6,68
388,77;6,69
389,028;6,73
389,287;6,73
389,545;6,77
389,803;6,8
390,062;6,84
390,32;6,94
390,578;7,04
390,837;7,04
391,095;7,11
391,353;7,17
391,612;7,22
391,87;7,31
392,128;7,38
392,386;7,42
392,644;7,45
392,903;7,43
393,161;7,45
393,419;7,49
393,677;7,54
393,935;7,59
394,193;7,59
394,451;7,62
394,709;7,67
394,967;7,73
395,225;7,78
395,483;7,81
395,741;7,87
395,999;7,89
396,257;7,98
396,515;8,01
396,773;8,09
397,031;8,14
397,289;8,21
397,547;8,22
397,805;8,25
398,062;8,3
398,32;8,41
398,578;8,52
398,836;8,51
399,094;8,54
399,351;8,55
399,609;8,68
399,867;8,71
400,124;8,79
400,382;8,85
400,64;8,91
400,897;8,93
401,155;8,96
401,413;8,97
401,67;8,98
401,928;9,01
402,185;9,03
402,443;9,1
402,701;9,09
402,958;9,12
403,216;9,17
403,473;9,19
403,73;9,23
403,988;9,22
404,245;9,32
404,503;9,35
404,76;9,41
405,018;9,38
405,275;9,46
405,532;9,49
405,79;9,49
406,047;9,53
406,304;9,58
406,561;9,58
406,819;9,68
407,076;9,69
407,333;9,77
407,59;9,84
407,848;9,83
408,105;9,87
408,362;9,96
408,619;10,06
408,876;10,14
409,133;10,1
409,39;10,15
409,647;10,18
409,904;10,18
410,161;10,23
410,418;10,26
410,675;10,3
410,932;10,29
411,189;10,33
411,446;10,37
411,703;10,36
411,96;10,38
412,217;10,36
412,474;10,36
412,731;10,34
412,988;10,35
413,245;10,44
413,501;10,48
413,758;10,47
414,015;10,42
414,272;10,42
414,529;10,52
414,785;10,52
415,042;10,58
415,299;10,69
415,555;10,67
415,812;10,71
416,069;10,72
416,325;10,78
416,582;10,85
416,838;10,82
417,095;10,85
417,352;10,91
417,608;10,97
417,865;11,06
418,121;11,15
418,378;11,12
418,634;11,15
418,891;11,28
419,147;11,34
419,403;11,41
419,66;11,44
419,916;11,48
420,173;11,48
420,429;11,46
420,685;11,5
420,942;11,57
421,198;11,58
421,454;11,63
421,711;11,63
421,967;11,65
422,223;11,75
422,479;11,82
422,735;11,88
422,992;11,89
423,248;11,88
423,504;11,88
423,76;11,94
424,016;11,92
424,272;11,87
424,528;11,88
424,784;11,89
425,041;11,91
425,297;11,92
425,553;12,02
425,809;12,09
426,065;12,04
426,32;12,07
426,576;12,14
426,832;12,17
427,088;12,24
427,344;12,25
427,6;12,32
427,856;12,31
428,112;12,29
428,368;12,29
428,623;12,33
428,879;12,35
429,135;12,4
429,391;12,45
429,646;12,54
429,902;12,55
430,158;12,6
430,414;12,64
430,669;12,67
430,925;12,69
431,181;12,7
431,436;12,8
431,692;12,83
431,947;12,84
432,203;12,84
432,458;12,81
432,714;12,9
432,97;12,9
433,225;12,94
433,481;12,96
433,736;13,05
433,991;13,1
434,247;13,15
434,502;13,22
434,758;13,29
435,013;13,26
435,268;13,3
435,524;13,32
435,779;13,34
436,034;13,36
436,29;13,37
436,545;13,4
436,8;13,42
437,056;13,47
437,311;13,48
437,566;13,47
437,821;13,49
438,076;13,5
438,331;13,51
438,587;13,58
438,842;13,62
439,097;13,68
439,352;13,73
439,607;13,71
439,862;13,71
440,117;13,72
440,372;13,78
440,627;13,81
440,882;13,82
441,137;13,86
441,392;13,91
441,647;13,96
441,902;14,01
442,157;14,07
442,412;14,09
442,667;14,11
442,921;14,17
443,176;14,27
443,431;14,29
443,686;14,34
443,941;14,33
444,195;14,41
444,45;14,38
444,705;14,4
444,96;14,48
445,214;14,47
445,469;14,44
445,724;14,46
445,978;14,52
446,233;14,59
446,487;14,65
446,742;14,66
446,997;14,7
447,251;14,72
447,506;14,74
447,76;14,77
448,015;14,8
448,269;14,86
448,524;14,88
448,778;14,87
449,033;14,87
449,287;14,91
449,541;14,94
449,796;15
450,05;15,09
450,305;15,14
450,559;15,22
450,813;15,29
451,067;15,27
451,322;15,28
451,576;15,28
451,83;15,3
452,084;15,37
452,339;15,44
452,593;15,49
452,847;15,53
453,101;15,54
453,355;15,63
453,609;15,65
453,864;15,66
454,118;15,71
454,372;15,76
454,626;15,83
454,88;15,89
455,134;15,92
455,388;15,88
455,642;15,89
455,896;15,93
456,15;15,93
456,404;16,03
456,658;16,05
456,912;16,05
457,165;16,04
457,419;16,07
457,673;16,06
457,927;16,06
458,181;16,07
458,435;16,09
458,688;16,09
458,942;16,17
459,196;16,24
459,45;16,29
459,703;16,33
459,957;16,32
460,211;16,36
460,464;16,39
460,718;16,42
460,972;16,49
461,225;16,54
461,479;16,59
461,732;16,6
461,986;16,66
462,239;16,74
462,493;16,8
462,746;16,88
463;16,92
463,253;16,96
463,507;17,02
463,76;17,11
464,014;17,18
464,267;17,19
464,52;17,26
464,774;17,3
465,027;17,31
465,28;17,37
465,534;17,36
465,787;17,42
466,04;17,48
466,294;17,5
466,547;17,49
466,8;17,58
467,053;17,63
467,306;17,71
467,56;17,76
467,813;17,84
468,066;17,85
468,319;17,91
468,572;17,94
468,825;18,04
469,078;18,08
469,331;18,14
469,584;18,22
469,837;18,22
470,09;18,3
470,343;18,39
470,596;18,45
470,849;18,53
471,102;18,57
471,355;18,66
471,608;18,74
471,861;18,85
472,114;18,89
472,367;18,95
472,619;19,05
472,872;19,12
473,125;19,17
473,378;19,24
473,631;19,33
473,883;19,42
474,136;19,44
474,389;19,53
474,641;19,56
474,894;19,6
475,147;19,71
475,399;19,74
475,652;19,81
475,905;19,9
476,157;19,98
476,41;20,04
476,662;20,09
476,915;20,15
477,167;20,2
477,42;20,29
477,672;20,38
477,925;20,43
478,177;20,51
478,43;20,6
478,682;20,63
478,934;20,7
479,187;20,74
479,439;20,83
479,691;20,89
479,944;21
480,196;21,08
480,448;21,14
480,701;21,18
480,953;21,22
481,205;21,29
481,457;21,36
489,77;23,2
490,022;23,21
490,274;23,22
490,525;23,24
490,777;23,28
491,028;23,36
491,28;23,41
491,531;23,46
491,783;23,49
492,034;23,55
492,286;23,57
492,537;23,62
492,789;23,65
493,04;23,67
493,291;23,73
493,543;23,8
493,794;23,82
494,045;23,89
494,297;23,93
494,548;23,98
494,799;24,02
495,051;24,07
495,302;24,12
495,553;24,16
495,804;24,17
496,056;24,23
496,307;24,24
496,558;24,26
496,809;24,3
497,06;24,36
497,311;24,39
497,562;24,44
497,813;24,49
498,064;24,53
498,316;24,58
498,567;24,62
498,818;24,66
499,069;24,72
499,319;24,72
499,57;24,76
499,821;24,79
500,072;24,86
500,323;24,9
500,574;24,96
500,825;25,03
501,076;25,11
501,327;25,13
501,577;25,2
501,828;25,25
502,079;25,29
502,33;25,32
502,58;25,36
502,831;25,4
503,082;25,42
503,333;25,48
503,583;25,53
503,834;25,56
504,084;25,58
504,335;25,62
504,586;25,69
504,836;25,74
505,087;25,78
505,337;25,78
505,588;25,83
505,838;25,86
506,089;25,89
506,339;25,91
506,59;25,96
506,84;25,97
507,091;26,03
507,341;26,05
507,591;26,1
507,842;26,16
508,092;26,19
508,343;26,23
508,593;26,24
508,843;26,21
509,093;26,22
509,344;26,26
509,594;26,28
509,844;26,27
510,094;26,29
510,345;26,31
510,595;26,36
510,845;26,34
511,095;26,36
511,345;26,36
511,595;26,37
511,845;26,36
512,095;26,4
512,345;26,36
512,595;26,36
512,845;26,35
513,095;26,36
513,345;26,37
513,595;26,4
513,845;26,4
514,095;26,45
514,345;26,48
514,595;26,47
514,845;26,47
515,095;26,49
515,345;26,49
515,594;26,48
515,844;26,47
516,094;26,5
516,344;26,5
516,593;26,5
