Data from MinioWhite_Reflection__2__40.txt Node;
"Date: Thu Sep 11 16:57:17 CEST 2025 User: sycur";
603,389;70,85
603,632;70,93
603,876;71,03
604,119;71,09
604,362;71,17
604,606;71,24
604,849;71,32
605,092;71,39
605,335;71,46
605,579;71,54
605,822;71,6
606,065;71,65
606,308;71,73
606,551;71,83
606,794;71,89
607,037;71,97
607,281;72,04
607,524;72,11
607,767;72,2
608,01;72,25
608,253;72,33
608,496;72,42
608,739;72,49
608,982;72,55
609,225;72,62
609,468;72,68
609,711;72,75
609,953;72,82
610,196;72,89
610,439;72,96
610,682;73,02
610,925;73,1
611,168;73,19
611,41;73,26
611,653;73,33
611,896;73,42
612,139;73,48
612,381;73,52
612,624;73,61
612,867;73,63
613,109;73,71
613,352;73,78
613,595;73,81
613,837;73,86
614,08;73,93
614,322;73,98
614,565;74,05
614,807;74,11
615,05;74,16
615,292;74,23
615,535;74,28
615,777;74,35
616,02;74,38
616,262;74,42
616,505;74,46
616,747;74,49
616,989;74,53
617,232;74,58
617,474;74,63
617,716;74,67
617,959;74,74
618,201;74,79
618,443;74,82
618,685;74,88
618,927;74,94
619,17;74,98
619,412;75,02
619,654;75,06
619,896;75,11
620,138;75,15
620,38;75,18
620,622;75,24
620,864;75,28
621,107;75,31
621,349;75,35
621,591;75,4
621,833;75,46
622,075;75,51
622,316;75,56
622,558;75,63
622,8;75,67
623,042;75,73
623,284;75,78
623,526;75,84
623,768;75,9
624,01;75,95
624,251;76
624,493;76,06
624,735;76,11
624,977;76,18
625,218;76,22
625,46;76,28
625,702;76,32
625,943;76,37
626,185;76,42
626,427;76,49
626,668;76,53
626,91;76,58
627,152;76,64
627,393;76,67
627,635;76,7
