Data from MinioWhite_Reflection__3__41.txt Node;
"Date: Thu Sep 11 16:57:57 CEST 2025 User: sycur";
408,105;2,96
408,362;2,96
408,619;2,93
408,876;2,94
409,133;2,94
409,39;2,94
409,647;2,93
409,904;2,92
410,161;2,93
410,418;2,94
410,675;2,95
410,932;2,94
411,189;2,94
411,446;2,93
411,703;2,95
411,96;2,95
412,217;2,95
412,474;2,96
412,731;2,97
412,988;2,97
413,245;2,96
413,501;2,97
413,758;2,98
414,015;3
414,272;2,98
414,529;2,97
414,785;2,97
415,042;2,96
415,299;2,96
415,555;2,96
415,812;2,94
416,069;2,94
416,325;2,94
416,582;2,94
416,838;2,96
417,095;2,95
417,352;2,94
417,608;2,94
417,865;2,92
418,121;2,92
418,378;2,91
418,634;2,91
418,891;2,9
419,147;2,88
419,403;2,86
419,66;2,88
419,916;2,88
420,173;2,87
420,429;2,89
420,685;2,9
420,942;2,92
421,198;2,92
421,454;2,92
421,711;2,94
421,967;2,94
422,223;2,93
422,479;2,92
422,735;2,95
422,992;2,95
423,248;2,96
423,504;2,97
423,76;2,98
424,016;3
424,272;3,01
424,528;3,01
424,784;3,03
425,041;3,03
425,297;3,03
425,553;3,03
425,809;3,04
426,065;3,04
426,32;3,03
426,576;3,03
426,832;3,02
427,088;3
427,344;2,99
427,6;3
427,856;2,98
428,112;2,98
428,368;2,97
428,623;2,98
428,879;2,97
429,135;2,95
429,391;2,95
429,646;2,94
429,902;2,93
430,158;2,93
430,414;2,93
430,669;2,92
430,925;2,92
431,181;2,91
431,436;2,9
431,692;2,89
431,947;2,89
432,203;2,89
432,458;2,9
432,714;2,89
432,97;2,89
433,225;2,89
433,481;2,88
433,736;2,89
433,991;2,89
434,247;2,89
434,502;2,9
434,758;2,9
435,013;2,91
435,268;2,93
435,524;2,93
435,779;2,94
436,034;2,95
436,29;2,94
436,545;2,95
436,8;2,95
437,056;2,95
437,311;2,95
437,566;2,97
437,821;2,97
438,076;2,97
438,331;2,97
438,587;2,97
438,842;2,97
439,097;2,96
439,352;2,97
439,607;2,97
439,862;2,97
440,117;2,96
440,372;2,95
440,627;2,94
440,882;2,93
441,137;2,93
441,392;2,93
441,647;2,94
441,902;2,94
442,157;2,94
442,412;2,95
442,667;2,95
442,921;2,93
443,176;2,94
443,431;2,93
443,686;2,93
443,941;2,94
444,195;2,95
444,45;2,97
444,705;2,96
444,96;2,96
445,214;2,97
445,469;2,96
445,724;2,96
445,978;2,96
446,233;2,95
446,487;2,95
446,742;2,95
446,997;2,95
447,251;2,93
447,506;2,91
447,76;2,9
448,015;2,9
448,269;2,9
448,524;2,89
448,778;2,89
449,033;2,89
449,287;2,88
449,541;2,87
449,796;2,85
450,05;2,86
450,305;2,88
450,559;2,86
450,813;2,87
451,067;2,87
451,322;2,9
451,576;2,91
451,83;2,91
452,084;2,9
452,339;2,91
452,593;2,91
452,847;2,91
453,101;2,92
453,355;2,93
453,609;2,94
453,864;2,94
454,118;2,95
454,372;2,94
454,626;2,93
454,88;2,94
455,134;2,94
455,388;2,92
455,642;2,91
455,896;2,92
456,15;2,91
456,404;2,9
456,658;2,88
456,912;2,87
457,165;2,87
457,419;2,87
457,673;2,87
457,927;2,87
458,181;2,89
458,435;2,89
458,688;2,89
458,942;2,91
459,196;2,89
459,45;2,9
459,703;2,91
459,957;2,92
460,211;2,9
460,464;2,9
460,718;2,9
460,972;2,9
461,225;2,9
461,479;2,89
461,732;2,89
461,986;2,9
462,239;2,9
462,493;2,91
462,746;2,91
463;2,9
463,253;2,92
463,507;2,91
463,76;2,9
464,014;2,9
464,267;2,88
464,52;2,9
464,774;2,9
465,027;2,89
465,28;2,9
465,534;2,91
465,787;2,91
466,04;2,92
466,294;2,92
466,547;2,92
466,8;2,94
467,053;2,94
467,306;2,94
467,56;2,94
467,813;2,95
468,066;2,95
468,319;2,97
468,572;2,96
468,825;2,97
469,078;2,97
469,331;2,98
469,584;2,99
469,837;2,98
470,09;2,98
470,343;2,98
470,596;2,97
470,849;2,97
471,102;2,96
471,355;2,95
471,608;2,94
471,861;2,95
472,114;2,95
472,367;2,95
472,619;2,94
472,872;2,95
473,125;2,94
473,378;2,94
473,631;2,91
473,883;2,91
474,136;2,9
474,389;2,9
474,641;2,9
474,894;2,89
475,147;2,88
475,399;2,88
475,652;2,88
475,905;2,9
476,157;2,9
476,41;2,91
476,662;2,93
476,915;2,94
477,167;2,94
477,42;2,94
477,672;2,94
477,925;2,95
478,177;2,95
478,43;2,95
478,682;2,96
478,934;2,96
479,187;2,96
479,439;2,96
479,691;2,97
