Data from MinioWhite_Reflection__1__39.txt Node;
"Date: Thu Sep 11 16:56:23 CEST 2025 User: sycur";
513,095;4,35
513,345;4,34
513,595;4,36
513,845;4,36
514,095;4,37
514,345;4,36
514,595;4,38
514,845;4,39
515,095;4,4
515,345;4,41
515,594;4,41
515,844;4,41
516,094;4,42
516,344;4,43
516,593;4,43
516,843;4,44
517,093;4,45
517,343;4,46
517,592;4,48
517,842;4,49
518,092;4,5
518,341;4,52
518,591;4,53
518,84;4,54
519,09;4,55
519,34;4,56
519,589;4,57
519,839;4,57
520,088;4,58
520,338;4,59
520,587;4,59
520,836;4,59
521,086;4,6
521,335;4,6
521,585;4,61
521,834;4,63
522,083;4,64
522,333;4,66
522,582;4,67
522,831;4,68
523,081;4,69
523,33;4,71
523,579;4,71
523,828;4,73
524,078;4,73
524,327;4,74
524,576;4,76
524,825;4,77
525,074;4,79
525,323;4,79
525,573;4,8
525,822;4,82
526,071;4,84
526,32;4,86
526,569;4,88
526,818;4,89
527,067;4,9
527,316;4,91
527,565;4,93
527,814;4,94
528,063;4,96
528,312;4,97
528,56;4,98
528,809;4,99
529,058;5,01
529,307;5,02
529,556;5,05
529,805;5,06
530,053;5,08
530,302;5,1
530,551;5,13
530,8;5,15
531,048;5,18
531,297;5,2
531,546;5,23
531,794;5,25
532,043;5,28
532,292;5,31
532,54;5,34
532,789;5,36
533,037;5,39
533,286;5,42
533,535;5,44
533,783;5,47
534,032;5,5
534,28;5,52
534,528;5,56
534,777;5,59
535,025;5,64
535,274;5,67
535,522;5,7
535,771;5,73
536,019;5,78
536,267;5,81
536,516;5,86
536,764;5,9
537,012;5,95
537,26;5,99
537,509;6,04
537,757;6,08
538,005;6,13
538,253;6,18
538,501;6,24
538,75;6,29
538,998;6,35
539,246;6,42
539,494;6,47
539,742;6,53
539,99;6,6
540,238;6,65
540,486;6,73
540,734;6,8
540,982;6,87
541,23;6,95
541,478;7,02
541,726;7,1
541,974;7,18
542,222;7,26
542,47;7,34
542,718;7,43
542,966;7,52
543,213;7,62
543,461;7,71
543,709;7,8
543,957;7,91
544,205;8
544,452;8,11
544,7;8,22
544,948;8,34
545,196;8,45
545,443;8,58
545,691;8,71
545,939;8,84
546,186;8,97
546,434;9,11
546,681;9,24
546,929;9,38
547,176;9,53
547,424;9,69
547,671;9,84
547,919;10
548,166;10,16
548,414;10,33
548,661;10,5
548,909;10,69
549,156;10,87
549,404;11,07
549,651;11,26
549,898;11,46
550,146;11,66
550,393;11,88
550,64;12,09
550,888;12,31
551,135;12,53
551,382;12,76
551,629;12,98
551,876;13,22
552,124;13,46
552,371;13,7
552,618;13,93
552,865;14,19
553,112;14,44
553,359;14,7
553,606;14,95
553,854;15,22
554,101;15,48
554,348;15,76
554,595;16,05
554,842;16,33
555,089;16,62
555,336;16,92
555,582;17,22
555,829;17,52
556,076;17,83
556,323;18,14
556,57;18,45
556,817;18,78
557,064;19,1
557,311;19,42
557,557;19,76
557,804;20,13
558,051;20,47
558,298;20,83
558,544;21,19
558,791;21,56
559,038;21,93
559,284;22,3
559,531;22,67
559,778;23,04
560,024;23,41
560,271;23,8
560,517;24,18
560,764;24,56
561,011;24,95
561,257;25,35
561,504;25,74
561,75;26,15
561,997;26,55
562,243;26,97
562,489;27,38
562,736;27,79
562,982;28,21
563,229;28,62
563,475;29,04
563,721;29,47
563,968;29,9
564,214;30,33
564,46;30,76
564,707;31,19
564,953;31,62
565,199;32,06
565,445;32,5
565,691;32,94
565,938;33,38
566,184;33,82
566,43;34,27
566,676;34,72
566,922;35,15
567,168;35,6
567,414;36,05
567,66;36,49
567,906;36,93
568,152;37,35
568,398;37,78
568,644;38,22
568,89;38,63
569,136;39,06
569,382;39,46
569,628;39,86
569,874;40,28
570,12;40,69
570,366;41,1
570,612;41,5
570,857;41,9
571,103;42,32
571,349;42,73
571,595;43,13
571,84;43,54
572,086;43,95
572,332;44,35
572,578;44,75
572,823;45,14
573,069;45,55
573,315;45,95
573,56;46,34
573,806;46,74
574,051;47,14
574,297;47,54
574,542;47,94
574,788;48,34
575,034;48,72
575,279;49,1
575,524;49,49
575,77;49,87
576,015;50,24
576,261;50,6
576,506;50,96
576,752;51,32
576,997;51,67
577,242;52,02
577,488;52,37
577,733;52,7
577,978;53,05
578,223;53,38
578,469;53,72
578,714;54,09
578,959;54,43
579,204;54,77
579,45;55,1
579,695;55,43
579,94;55,76
580,185;56,07
580,43;56,38
580,675;56,67
580,92;56,96
581,165;57,23
581,41;57,5
581,655;57,77
581,9;58,06
582,145;58,34
582,39;58,61
582,635;58,88
582,88;59,15
583,125;59,41
583,37;59,7
583,615;59,97
583,86;60,22
584,105;60,49
584,349;60,76
584,594;61,02
584,839;61,26
585,084;61,52
585,328;61,77
585,573;62,01
585,818;62,25
586,063;62,48
586,307;62,72
586,552;62,94
586,797;63,17
587,041;63,39
587,286;63,6
587,53;63,81
587,775;64,03
588,019;64,23
588,264;64,45
588,508;64,65
588,753;64,86
588,997;65,07
589,242;65,28
589,486;65,49
589,731;65,7
589,975;65,91
590,22;66,11
590,464;66,31
590,708;66,5
590,953;66,68
591,197;66,85
591,441;67,02
591,685;67,19
591,93;67,36
592,174;67,52
592,418;67,68
592,662;67,84
592,907;67,99
593,151;68,15
593,395;68,28
593,639;68,41
593,883;68,56
594,127;68,69
594,371;68,82
594,615;68,95
594,859;69,09
595,103;69,23
595,347;69,36
595,591;69,49
595,835;69,62
596,079;69,75
596,323;69,89
596,567;70,02
596,811;70,15
597,055;70,27
597,299;70,4
597,542;70,52
597,786;70,64
598,03;70,75
598,274;70,86
598,518;70,97
598,761;71,09
599,005;71,19
599,249;71,29
599,492;71,4
599,736;71,5
599,98;71,61
600,223;71,71
600,467;71,82
600,711;71,93
600,954;72,04
601,198;72,16
601,441;72,24
601,685;72,35
601,928;72,45
602,172;72,56
602,415;72,66
602,659;72,77
602,902;72,86
603,145;72,96
603,389;73,04
603,632;73,14
603,876;73,23
604,119;73,33
604,362;73,43
604,606;73,52
604,849;73,61
605,092;73,7
605,335;73,79
605,579;73,87
605,822;73,95
606,065;74,05
