Data from ombraBrucWhite_Reflection__0__64.txt Node;
"Date: Thu Sep 11 17:26:38 CEST 2025 User: sycur";
503,333;43,38
503,583;43,42
503,834;43,44
504,084;43,47
504,335;43,49
504,586;43,5
504,836;43,52
505,087;43,53
505,337;43,52
505,588;43,52
505,838;43,54
506,089;43,59
506,339;43,63
506,59;43,64
506,84;43,64
507,091;43,67
507,341;43,67
507,591;43,71
507,842;43,71
508,092;43,75
508,343;43,76
508,593;43,79
508,843;43,8
509,093;43,84
509,344;43,81
509,594;43,84
509,844;43,86
510,094;43,89
510,345;43,9
510,595;43,94
510,845;43,97
511,095;43,98
511,345;43,97
511,595;43,97
511,845;43,98
512,095;44,01
512,345;44,02
512,595;44,06
512,845;44,07
513,095;44,14
513,345;44,13
513,595;44,15
513,845;44,15
514,095;44,17
514,345;44,16
514,595;44,22
514,845;44,23
515,095;44,27
515,345;44,25
515,594;44,31
515,844;44,34
516,094;44,36
516,344;44,39
516,593;44,4
516,843;44,39
517,093;44,42
517,343;44,43
517,592;44,45
517,842;44,47
518,092;44,49
518,341;44,48
518,591;44,53
518,84;44,57
519,09;44,61
519,34;44,65
519,589;44,7
519,839;44,69
520,088;44,74
520,338;44,75
520,587;44,8
520,836;44,79
521,086;44,8
521,335;44,82
521,585;44,84
521,834;44,88
522,083;44,92
522,333;44,94
522,582;44,99
522,831;45,03
523,081;45,07
523,33;45,09
523,579;45,12
523,828;45,14
524,078;45,15
524,327;45,15
524,576;45,18
524,825;45,22
525,074;45,26
525,323;45,26
525,573;45,29
525,822;45,31
526,071;45,35
526,32;45,38
526,569;45,42
526,818;45,45
527,067;45,5
527,316;45,53
527,565;45,56
527,814;45,56
528,063;45,58
528,312;45,59
528,56;45,64
528,809;45,67
529,058;45,7
529,307;45,73
529,556;45,79
529,805;45,81
530,053;45,82
530,302;45,87
530,551;45,92
530,8;45,95
531,048;45,99
531,297;46,02
531,546;46,07
531,794;46,12
532,043;46,17
532,292;46,19
532,54;46,21
532,789;46,25
533,037;46,3
533,286;46,33
533,535;46,38
533,783;46,4
534,032;46,45
534,28;46,48
534,528;46,52
534,777;46,57
535,025;46,61
535,274;46,65
535,522;46,66
535,771;46,69
536,019;46,73
536,267;46,75
536,516;46,81
536,764;46,85
537,012;46,89
537,26;46,88
537,509;46,92
537,757;46,95
538,005;47,01
538,253;47,05
538,501;47,09
538,75;47,1
538,998;47,17
539,246;47,22
539,494;47,27
539,742;47,31
539,99;47,33
540,238;47,36
540,486;47,4
540,734;47,44
540,982;47,49
541,23;47,54
541,478;47,58
541,726;47,6
541,974;47,64
542,222;47,67
542,47;47,76
542,718;47,81
542,966;47,86
543,213;47,87
543,461;47,92
543,709;47,95
543,957;48
544,205;48,03
544,452;48,06
544,7;48,08
544,948;48,12
545,196;48,16
545,443;48,2
545,691;48,22
545,939;48,28
546,186;48,31
546,434;48,34
546,681;48,37
546,929;48,41
547,176;48,43
547,424;48,48
547,671;48,5
547,919;48,54
548,166;48,58
548,414;48,65
548,661;48,68
548,909;48,73
549,156;48,79
549,404;48,84
549,651;48,89
549,898;48,94
550,146;49
550,393;49,05
550,64;49,12
550,888;49,19
551,135;49,24
551,382;49,29
551,629;49,36
551,876;49,44
552,124;49,49
552,371;49,57
552,618;49,61
552,865;49,67
553,112;49,74
553,359;49,78
553,606;49,83
553,854;49,87
554,101;49,92
554,348;49,97
554,595;50
554,842;50,03
555,089;50,06
555,336;50,12
555,582;50,17
555,829;50,21
556,076;50,27
556,323;50,31
556,57;50,37
556,817;50,4
557,064;50,43
557,311;50,48
557,557;50,51
557,804;50,55
558,051;50,6
558,298;50,65
558,544;50,69
558,791;50,74
559,038;50,78
559,284;50,84
559,531;50,88
559,778;50,93
560,024;51
560,271;51,06
560,517;51,11
560,764;51,15
561,011;51,2
561,257;51,24
561,504;51,3
561,75;51,34
561,997;51,4
562,243;51,47
562,489;51,54
562,736;51,59
562,982;51,65
563,229;51,69
563,475;51,73
563,721;51,79
563,968;51,85
564,214;51,93
564,46;51,99
564,707;52,06
564,953;52,12
565,199;52,17
565,445;52,24
565,691;52,31
565,938;52,37
566,184;52,43
566,43;52,51
566,676;52,59
566,922;52,66
567,168;52,73
567,414;52,8
567,66;52,89
567,906;52,95
568,152;53,02
568,398;53,12
568,644;53,23
568,89;53,29
569,136;53,38
569,382;53,44
569,628;53,5
569,874;53,58
570,12;53,68
570,366;53,76
570,612;53,83
570,857;53,9
571,103;53,98
571,349;54,06
571,595;54,12
571,84;54,19
572,086;54,26
572,332;54,34
572,578;54,42
572,823;54,48
573,069;54,57
573,315;54,64
573,56;54,7
573,806;54,75
574,051;54,84
574,297;54,9
574,542;54,98
574,788;55,06
575,034;55,13
575,279;55,18
575,524;55,26
575,77;55,32
576,015;55,4
576,261;55,47
576,506;55,53
576,752;55,58
576,997;55,65
577,242;55,7
577,488;55,74
577,733;55,77
577,978;55,83
578,223;55,87
578,469;55,94
578,714;56,01
578,959;56,08
579,204;56,12
579,45;56,19
579,695;56,25
579,94;56,32
580,185;56,37
580,43;56,42
580,675;56,46
580,92;56,51
581,165;56,54
581,41;56,59
581,655;56,63
581,9;56,68
582,145;56,71
582,39;56,77
582,635;56,84
582,88;56,89
583,125;56,93
583,37;56,99
583,615;57,01
583,86;57,05
584,105;57,08
584,349;57,14
584,594;57,15
584,839;57,18
585,084;57,2
585,328;57,23
585,573;57,27
585,818;57,31
586,063;57,33
586,307;57,37
586,552;57,39
586,797;57,42
587,041;57,46
587,286;57,48
587,53;57,49
587,775;57,5
588,019;57,54
588,264;57,57
588,508;57,59
588,753;57,61
588,997;57,65
589,242;57,69
589,486;57,71
589,731;57,77
589,975;57,79
590,22;57,84
590,464;57,89
590,708;57,95
590,953;57,99
591,197;58,03
591,441;58,07
591,685;58,11
591,93;58,16
592,174;58,2
592,418;58,24
592,662;58,3
592,907;58,34
593,151;58,39
593,395;58,42
593,639;58,45
593,883;58,5
594,127;58,53
594,371;58,56
594,615;58,59
594,859;58,6
595,103;58,64
595,347;58,67
595,591;58,69
595,835;58,69
596,079;58,72
596,323;58,76
596,567;58,79
596,811;58,82
597,055;58,86
597,299;58,88
597,542;58,93
597,786;58,95
598,03;59
598,274;59,02
598,518;59,07
598,761;59,11
599,005;59,15
599,249;59,17
599,492;59,22
599,736;59,25
599,98;59,31
600,223;59,34
600,467;59,37
600,711;59,42
600,954;59,47
601,198;59,52
601,441;59,54
601,685;59,58
601,928;59,64
602,172;59,66
602,415;59,7
602,659;59,74
602,902;59,77
603,145;59,8
603,389;59,85
603,632;59,87
603,876;59,9
604,119;59,94
604,362;59,98
604,606;60
604,849;60,03
605,092;60,05
605,335;60,09
605,579;60,12
605,822;60,15
606,065;60,17
606,308;60,21
606,551;60,24
606,794;60,27
607,037;60,29
607,281;60,32
607,524;60,38
607,767;60,42
608,01;60,44
608,253;60,47
608,496;60,5
608,739;60,54
608,982;60,56
609,225;60,59
609,468;60,62
609,711;60,66
609,953;60,7
610,196;60,72
610,439;60,77
610,682;60,8
610,925;60,83
611,168;60,87
611,41;60,89
611,653;60,95
611,896;60,97
612,139;61,03
612,381;61,06
612,624;61,08
612,867;61,08
613,109;61,14
613,352;61,17
613,595;61,18
613,837;61,21
614,08;61,25
614,322;61,29
614,565;61,34
614,807;61,37
615,05;61,4
615,292;61,45
615,535;61,47
615,777;61,49
616,02;61,54
616,262;61,55
616,505;61,58
616,747;61,59
616,989;61,63
617,232;61,65
617,474;61,67
617,716;61,69
617,959;61,74
618,201;61,78
618,443;61,81
618,685;61,85
618,927;61,87
619,17;61,89
619,412;61,92
619,654;61,94
619,896;61,97
620,138;62
620,38;62,02
620,622;62,07
620,864;62,13
621,107;62,14
621,349;62,18
621,591;62,22
621,833;62,24
622,075;62,29
622,316;62,31
622,558;62,35
622,8;62,4
623,042;62,43
623,284;62,46
623,526;62,51
623,768;62,56
624,01;62,6
624,251;62,65
624,493;62,66
624,735;62,69
624,977;62,75
625,218;62,78
625,46;62,83
625,702;62,86
625,943;62,87
626,185;62,92
626,427;62,96
626,668;62,97
626,91;63,02
627,152;63,05
627,393;63,07
627,635;63,1
627,876;63,11
628,118;63,15
