Data from ombraBrucWhite_Reflection__3__67.txt Node;
"Date: Thu Sep 11 17:28:59 CEST 2025 User: sycur";
481,709;16,35
481,962;16,4
482,214;16,48
482,466;16,57
482,718;16,68
482,97;16,84
483,222;16,97
483,474;17,12
483,726;17,25
483,978;17,34
484,23;17,43
484,482;17,48
484,734;17,53
484,986;17,57
485,238;17,57
485,49;17,61
485,742;17,63
485,994;17,65
486,246;17,66
486,498;17,68
486,75;17,68
487,001;17,71
487,253;17,71
487,505;17,71
487,757;17,71
488,009;17,69
488,26;17,62
488,512;17,57
488,764;17,49
489,015;17,41
489,267;17,35
489,519;17,29
489,77;17,24
490,022;17,25
490,274;17,21
490,525;17,23
490,777;17,23
491,028;17,25
491,28;17,24
491,531;17,23
491,783;17,23
492,034;17,27
492,286;17,26
492,537;17,27
492,789;17,27
493,04;17,25
493,291;17,24
493,543;17,27
493,794;17,3
494,045;17,33
494,297;17,35
494,548;17,39
494,799;17,39
495,051;17,43
495,302;17,4
495,553;17,43
495,804;17,43
496,056;17,45
496,307;17,45
496,558;17,49
496,809;17,52
497,06;17,55
497,311;17,55
497,562;17,61
497,813;17,64
498,064;17,68
498,316;17,7
498,567;17,73
498,818;17,75
499,069;17,76
499,319;17,77
499,57;17,79
499,821;17,79
500,072;17,83
500,323;17,85
500,574;17,89
500,825;17,9
501,076;17,93
501,327;17,98
501,577;18
501,828;18,01
502,079;18,04
502,33;18,04
502,58;18,07
502,831;18,06
503,082;18,05
503,333;18,06
503,583;18,11
503,834;18,12
504,084;18,14
504,335;18,15
504,586;18,16
504,836;18,17
505,087;18,18
505,337;18,18
505,588;18,19
505,838;18,2
506,089;18,24
506,339;18,28
506,59;18,27
506,84;18,28
507,091;18,3
507,341;18,3
507,591;18,32
507,842;18,3
508,092;18,34
508,343;18,35
508,593;18,37
508,843;18,36
509,093;18,38
509,344;18,36
509,594;18,38
509,844;18,38
510,094;18,4
510,345;18,41
510,595;18,44
510,845;18,46
511,095;18,47
511,345;18,45
511,595;18,44
511,845;18,45
512,095;18,47
512,345;18,47
512,595;18,5
512,845;18,51
513,095;18,54
513,345;18,55
513,595;18,57
513,845;18,58
514,095;18,61
514,345;18,6
514,595;18,65
514,845;18,66
515,095;18,7
515,345;18,69
515,594;18,73
515,844;18,74
516,094;18,76
516,344;18,78
516,593;18,79
516,843;18,79
517,093;18,81
517,343;18,81
517,592;18,84
517,842;18,86
518,092;18,88
518,341;18,88
518,591;18,92
518,84;18,93
519,09;18,96
519,34;18,98
519,589;19,03
519,839;19,01
520,088;19,03
520,338;19,03
520,587;19,05
520,836;19,04
521,086;19,05
521,335;19,05
521,585;19,05
521,834;19,09
522,083;19,13
522,333;19,13
522,582;19,15
522,831;19,17
523,081;19,19
523,33;19,19
523,579;19,23
523,828;19,23
524,078;19,26
524,327;19,25
524,576;19,27
524,825;19,29
525,074;19,33
525,323;19,33
525,573;19,35
525,822;19,37
526,071;19,39
526,32;19,42
526,569;19,45
526,818;19,48
527,067;19,49
527,316;19,51
527,565;19,54
527,814;19,54
528,063;19,56
528,312;19,57
528,56;19,61
528,809;19,61
529,058;19,64
529,307;19,65
529,556;19,68
529,805;19,69
530,053;19,7
530,302;19,72
530,551;19,76
530,8;19,79
531,048;19,83
531,297;19,86
531,546;19,9
531,794;19,91
532,043;19,94
532,292;19,96
532,54;19,99
532,789;20,01
533,037;20,05
533,286;20,07
533,535;20,1
533,783;20,11
534,032;20,14
534,28;20,15
534,528;20,2
534,777;20,23
535,025;20,27
535,274;20,3
535,522;20,3
535,771;20,32
536,019;20,36
536,267;20,38
536,516;20,41
536,764;20,45
537,012;20,48
537,26;20,49
537,509;20,52
537,757;20,54
538,005;20,58
538,253;20,6
538,501;20,63
538,75;20,64
538,998;20,69
539,246;20,73
539,494;20,78
539,742;20,8
539,99;20,82
540,238;20,83
540,486;20,86
540,734;20,88
540,982;20,91
541,23;20,93
541,478;20,96
541,726;20,98
541,974;21,01
542,222;21,03
542,47;21,08
542,718;21,12
542,966;21,17
543,213;21,18
543,461;21,22
543,709;21,24
543,957;21,28
544,205;21,3
544,452;21,33
544,7;21,32
544,948;21,34
545,196;21,37
545,443;21,4
545,691;21,42
545,939;21,47
546,186;21,49
546,434;21,53
546,681;21,55
546,929;21,57
547,176;21,58
547,424;21,62
547,671;21,63
547,919;21,65
548,166;21,66
548,414;21,69
548,661;21,71
548,909;21,74
549,156;21,79
549,404;21,8
549,651;21,84
549,898;21,89
550,146;21,93
550,393;21,98
550,64;22,02
550,888;22,07
551,135;22,11
551,382;22,15
551,629;22,19
551,876;22,24
552,124;22,28
552,371;22,34
552,618;22,35
552,865;22,4
553,112;22,45
553,359;22,49
553,606;22,52
553,854;22,56
554,101;22,59
554,348;22,61
554,595;22,62
554,842;22,64
555,089;22,65
555,336;22,68
555,582;22,72
555,829;22,74
556,076;22,78
556,323;22,79
556,57;22,83
556,817;22,85
557,064;22,86
557,311;22,88
557,557;22,89
557,804;22,93
558,051;22,95
558,298;22,99
558,544;23,01
558,791;23,05
559,038;23,08
559,284;23,13
559,531;23,14
559,778;23,2
560,024;23,25
560,271;23,3
560,517;23,33
560,764;23,36
561,011;23,39
561,257;23,42
561,504;23,46
561,75;23,49
561,997;23,52
562,243;23,57
562,489;23,62
562,736;23,67
562,982;23,71
563,229;23,74
563,475;23,76
563,721;23,8
563,968;23,84
564,214;23,88
564,46;23,92
564,707;23,97
564,953;23,99
565,199;24,03
565,445;24,08
565,691;24,13
565,938;24,18
566,184;24,22
566,43;24,27
566,676;24,33
566,922;24,38
567,168;24,45
567,414;24,51
567,66;24,58
567,906;24,63
568,152;24,69
568,398;24,77
568,644;24,86
568,89;24,91
569,136;25
569,382;25,05
569,628;25,11
569,874;25,17
570,12;25,25
570,366;25,31
570,612;25,37
570,857;25,42
571,103;25,49
571,349;25,56
571,595;25,62
571,84;25,68
572,086;25,75
572,332;25,8
572,578;25,86
572,823;25,9
573,069;25,95
573,315;26,01
573,56;26,07
573,806;26,11
574,051;26,18
574,297;26,22
574,542;26,28
574,788;26,33
575,034;26,39
575,279;26,44
575,524;26,49
575,77;26,54
576,015;26,6
576,261;26,64
576,506;26,67
576,752;26,7
576,997;26,73
577,242;26,75
577,488;26,78
577,733;26,8
577,978;26,84
578,223;26,88
578,469;26,93
578,714;26,97
578,959;27,01
579,204;27,05
579,45;27,1
579,695;27,13
579,94;27,18
580,185;27,21
580,43;27,24
580,675;27,27
580,92;27,29
581,165;27,3
581,41;27,34
581,655;27,36
581,9;27,4
582,145;27,42
582,39;27,47
582,635;27,51
582,88;27,54
583,125;27,57
583,37;27,6
583,615;27,61
583,86;27,63
584,105;27,63
584,349;27,67
584,594;27,66
584,839;27,68
585,084;27,68
585,328;27,7
585,573;27,71
585,818;27,73
586,063;27,75
586,307;27,76
586,552;27,77
586,797;27,78
587,041;27,8
587,286;27,81
587,53;27,79
587,775;27,78
588,019;27,8
588,264;27,81
588,508;27,81
588,753;27,81
588,997;27,82
589,242;27,85
589,486;27,84
589,731;27,86
589,975;27,87
590,22;27,88
590,464;27,9
590,708;27,96
590,953;27,98
591,197;28
591,441;28,03
591,685;28,05
591,93;28,07
592,174;28,1
592,418;28,12
592,662;28,16
592,907;28,19
593,151;28,24
593,395;28,25
593,639;28,28
593,883;28,32
594,127;28,34
594,371;28,36
594,615;28,38
594,859;28,39
595,103;28,42
595,347;28,44
595,591;28,45
595,835;28,44
596,079;28,45
596,323;28,47
596,567;28,51
596,811;28,52
597,055;28,55
597,299;28,56
597,542;28,6
597,786;28,62
598,03;28,66
598,274;28,66
598,518;28,7
598,761;28,74
599,005;28,74
599,249;28,76
599,492;28,79
599,736;28,81
599,98;28,85
600,223;28,86
600,467;28,9
600,711;28,93
600,954;28,96
601,198;28,99
601,441;29,01
601,685;29,02
601,928;29,06
602,172;29,08
602,415;29,1
602,659;29,12
602,902;29,14
603,145;29,15
603,389;29,19
603,632;29,2
603,876;29,22
604,119;29,24
604,362;29,26
604,606;29,27
604,849;29,31
605,092;29,32
605,335;29,34
605,579;29,35
605,822;29,37
606,065;29,38
606,308;29,41
606,551;29,41
606,794;29,43
607,037;29,43
607,281;29,45
607,524;29,49
607,767;29,51
608,01;29,5
608,253;29,53
608,496;29,53
608,739;29,56
608,982;29,57
609,225;29,59
609,468;29,61
609,711;29,64
609,953;29,66
610,196;29,68
610,439;29,71
610,682;29,74
610,925;29,76
611,168;29,79
611,41;29,8
611,653;29,84
611,896;29,85
612,139;29,88
612,381;29,91
612,624;29,91
612,867;29,91
613,109;29,95
613,352;29,96
613,595;29,98
613,837;29,98
614,08;30
614,322;30,03
614,565;30,04
614,807;30,06
615,05;30,07
615,292;30,1
615,535;30,11
615,777;30,11
616,02;30,13
616,262;30,14
616,505;30,15
616,747;30,15
616,989;30,19
617,232;30,21
617,474;30,22
617,716;30,24
617,959;30,27
618,201;30,29
618,443;30,32
618,685;30,33
618,927;30,36
619,17;30,37
619,412;30,38
619,654;30,4
619,896;30,42
620,138;30,45
620,38;30,48
620,622;30,52
620,864;30,55
621,107;30,56
621,349;30,59
621,591;30,62
621,833;30,64
622,075;30,66
622,316;30,68
622,558;30,71
622,8;30,72
623,042;30,75
623,284;30,78
623,526;30,81
623,768;30,85
624,01;30,87
624,251;30,91
624,493;30,92
624,735;30,93
624,977;30,97
625,218;30,98
625,46;31
625,702;31,01
625,943;31,02
626,185;31,05
626,427;31,07
626,668;31,08
626,91;31,09
627,152;31,11
627,393;31,11
627,635;31,13
627,876;31,14
