Data from ombraBrucWhite_Reflection__4__68.txt Node;
"Date: Thu Sep 11 17:29:53 CEST 2025 User: sycur";
408,105;6,04
408,362;6,05
408,619;6,03
408,876;6,05
409,133;6,05
409,39;6,09
409,647;6,05
409,904;6,03
410,161;5,99
410,418;6,04
410,675;6,03
410,932;6,03
411,189;6,03
411,446;6,09
411,703;6,09
411,96;6,09
412,217;6,08
412,474;6,1
412,731;6,11
412,988;6,09
413,245;6,13
413,501;6,11
413,758;6,11
414,015;6,11
414,272;6,12
414,529;6,12
414,785;6,11
415,042;6,1
415,299;6,1
415,555;6,09
415,812;6,04
416,069;6,11
416,325;6,11
416,582;6,12
416,838;6,13
417,095;6,11
417,352;6,03
417,608;6,05
417,865;6
418,121;6,03
418,378;6,04
418,634;6,04
418,891;6,06
419,147;6,06
419,403;6,05
419,66;6,08
419,916;6,09
420,173;6,09
420,429;6,12
420,685;6,15
420,942;6,23
421,198;6,23
421,454;6,22
421,711;6,25
421,967;6,25
422,223;6,21
422,479;6,28
422,735;6,35
422,992;6,33
423,248;6,35
423,504;6,37
423,76;6,39
424,016;6,43
424,272;6,44
424,528;6,43
424,784;6,44
425,041;6,39
425,297;6,38
425,553;6,38
425,809;6,44
426,065;6,41
426,32;6,38
426,576;6,4
426,832;6,36
427,088;6,35
427,344;6,36
427,6;6,37
427,856;6,3
428,112;6,32
428,368;6,34
428,623;6,34
428,879;6,32
429,135;6,29
429,391;6,25
429,646;6,23
429,902;6,2
430,158;6,21
430,414;6,23
430,669;6,24
430,925;6,25
431,181;6,23
431,436;6,23
431,692;6,24
431,947;6,24
432,203;6,25
432,458;6,26
432,714;6,23
432,97;6,24
433,225;6,24
433,481;6,24
433,736;6,24
433,991;6,22
434,247;6,21
434,502;6,2
434,758;6,22
435,013;6,25
435,268;6,29
435,524;6,3
435,779;6,34
436,034;6,36
436,29;6,36
436,545;6,35
436,8;6,37
437,056;6,33
437,311;6,33
437,566;6,35
437,821;6,38
438,076;6,36
438,331;6,4
438,587;6,4
438,842;6,35
439,097;6,38
439,352;6,39
439,607;6,43
439,862;6,47
440,117;6,49
440,372;6,48
440,627;6,5
440,882;6,5
441,137;6,5
441,392;6,49
441,647;6,49
441,902;6,51
442,157;6,48
442,412;6,53
442,667;6,53
442,921;6,54
443,176;6,54
443,431;6,59
443,686;6,55
443,941;6,56
444,195;6,61
444,45;6,62
444,705;6,64
444,96;6,64
445,214;6,63
445,469;6,62
445,724;6,6
445,978;6,59
446,233;6,57
446,487;6,54
446,742;6,52
446,997;6,53
447,251;6,51
447,506;6,56
447,76;6,52
448,015;6,52
448,269;6,5
448,524;6,49
448,778;6,5
449,033;6,52
449,287;6,52
449,541;6,54
449,796;6,52
450,05;6,47
450,305;6,45
450,559;6,42
450,813;6,4
451,067;6,41
451,322;6,41
451,576;6,43
451,83;6,47
452,084;6,49
452,339;6,49
452,593;6,46
452,847;6,41
453,101;6,41
453,355;6,43
453,609;6,45
453,864;6,42
454,118;6,38
454,372;6,39
454,626;6,42
454,88;6,41
455,134;6,41
455,388;6,44
455,642;6,44
455,896;6,46
456,15;6,45
456,404;6,5
456,658;6,51
456,912;6,51
457,165;6,48
457,419;6,48
457,673;6,48
457,927;6,5
458,181;6,53
458,435;6,57
458,688;6,55
458,942;6,57
459,196;6,58
459,45;6,61
459,703;6,6
459,957;6,56
460,211;6,53
460,464;6,54
460,718;6,54
460,972;6,59
461,225;6,59
461,479;6,58
461,732;6,57
461,986;6,6
462,239;6,58
462,493;6,6
462,746;6,64
463;6,65
463,253;6,66
463,507;6,64
463,76;6,62
464,014;6,65
464,267;6,61
464,52;6,66
464,774;6,7
465,027;6,71
465,28;6,74
465,534;6,75
465,787;6,74
466,04;6,75
466,294;6,72
466,547;6,72
466,8;6,77
467,053;6,74
467,306;6,71
467,56;6,71
467,813;6,72
468,066;6,71
468,319;6,71
468,572;6,7
468,825;6,75
469,078;6,75
469,331;6,79
469,584;6,79
469,837;6,78
470,09;6,76
470,343;6,76
470,596;6,78
470,849;6,81
471,102;6,84
471,355;6,83
471,608;6,85
471,861;6,91
472,114;6,88
472,367;6,88
472,619;6,89
472,872;6,92
473,125;6,91
473,378;6,91
473,631;6,91
473,883;6,93
474,136;6,94
474,389;6,95
474,641;6,92
474,894;6,92
475,147;6,93
475,399;6,92
475,652;6,94
475,905;6,94
476,157;6,94
476,41;6,94
476,662;6,95
476,915;6,96
477,167;6,93
477,42;6,98
477,672;7
477,925;7,03
478,177;7,03
478,43;7,07
478,682;7,08
478,934;7,11
479,187;7,13
479,439;7,14
479,691;7,16
479,944;7,22
480,196;7,26
480,448;7,27
480,701;7,3
480,953;7,33
481,205;7,36
481,457;7,38
481,709;7,4
481,962;7,43
482,214;7,48
482,466;7,53
482,718;7,58
482,97;7,67
483,222;7,74
483,474;7,82
483,726;7,89
483,978;7,93
484,23;7,98
484,482;8,01
484,734;8,03
484,986;8,04
485,238;8,03
485,49;8,05
485,742;8,06
485,994;8,07
486,246;8,08
486,498;8,08
486,75;8,08
487,001;8,08
487,253;8,09
487,505;8,1
487,757;8,1
488,009;8,08
488,26;8,04
488,512;7,99
488,764;7,95
489,015;7,89
489,267;7,86
489,519;7,82
489,77;7,79
490,022;7,81
490,274;7,79
490,525;7,8
490,777;7,79
491,028;7,81
491,28;7,8
491,531;7,79
491,783;7,79
492,034;7,81
492,286;7,8
492,537;7,79
492,789;7,77
493,04;7,75
493,291;7,74
493,543;7,78
493,794;7,81
494,045;7,82
494,297;7,83
494,548;7,85
494,799;7,85
495,051;7,86
495,302;7,83
495,553;7,86
495,804;7,85
496,056;7,86
496,307;7,85
496,558;7,87
496,809;7,89
497,06;7,9
497,311;7,89
497,562;7,94
497,813;7,97
498,064;8
498,316;8,02
498,567;8,03
498,818;8,04
499,069;8,05
499,319;8,05
499,57;8,06
499,821;8,05
500,072;8,08
500,323;8,1
500,574;8,12
500,825;8,13
501,076;8,14
501,327;8,18
501,577;8,19
501,828;8,2
502,079;8,21
502,33;8,22
502,58;8,24
502,831;8,23
503,082;8,22
503,333;8,22
503,583;8,26
503,834;8,27
504,084;8,28
504,335;8,27
504,586;8,28
504,836;8,29
505,087;8,29
505,337;8,28
505,588;8,28
505,838;8,29
506,089;8,32
506,339;8,35
506,59;8,35
506,84;8,36
507,091;8,37
507,341;8,36
507,591;8,38
507,842;8,37
508,092;8,4
508,343;8,4
508,593;8,42
508,843;8,39
509,093;8,42
509,344;8,38
509,594;8,4
509,844;8,39
510,094;8,41
510,345;8,41
510,595;8,44
510,845;8,45
511,095;8,43
511,345;8,43
511,595;8,4
511,845;8,41
512,095;8,42
512,345;8,41
512,595;8,43
512,845;8,44
513,095;8,46
513,345;8,46
513,595;8,47
513,845;8,46
514,095;8,47
514,345;8,45
514,595;8,49
514,845;8,5
515,095;8,53
515,345;8,53
515,594;8,56
515,844;8,55
516,094;8,57
516,344;8,6
516,593;8,58
516,843;8,58
517,093;8,6
