Data from crisocollaWhite_Reflection__3__61.txt Node;
"Date: Fri Sep 12 12:00:30 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
389,803;4,85
390,062;4,88
390,32;4,9
390,578;4,89
390,837;4,92
391,095;4,94
391,353;4,98
391,612;5
391,87;5
392,128;5,02
392,386;5,03
392,644;5,04
392,903;5,07
393,161;5,09
393,419;5,11
393,677;5,11
393,935;5,11
394,193;5,14
394,451;5,15
394,709;5,16
394,967;5,18
395,225;5,2
395,483;5,22
395,741;5,25
395,999;5,29
396,257;5,29
396,515;5,31
396,773;5,34
397,031;5,34
397,289;5,36
397,547;5,37
397,805;5,39
398,062;5,41
398,32;5,42
398,578;5,42
398,836;5,43
399,094;5,46
399,351;5,48
399,609;5,48
399,867;5,5
400,124;5,5
400,382;5,53
400,64;5,57
400,897;5,6
401,155;5,61
401,413;5,64
401,67;5,65
401,928;5,66
402,185;5,67
402,443;5,7
402,701;5,71
402,958;5,73
403,216;5,76
403,473;5,77
403,73;5,78
403,988;5,83
404,245;5,85
404,503;5,87
404,76;5,89
405,018;5,92
405,275;5,94
405,532;5,98
405,79;5,98
406,047;5,98
406,304;5,98
406,561;6
406,819;6
407,076;6,03
407,333;6,05
407,59;6,06
407,848;6,06
408,105;6,06
408,362;6,07
408,619;6,09
408,876;6,11
409,133;6,13
409,39;6,14
409,647;6,15
409,904;6,16
410,161;6,19
410,418;6,2
410,675;6,21
410,932;6,22
411,189;6,23
411,446;6,24
411,703;6,28
411,96;6,29
412,217;6,32
412,474;6,33
412,731;6,35
412,988;6,36
413,245;6,39
413,501;6,41
413,758;6,43
414,015;6,43
414,272;6,44
414,529;6,45
414,785;6,46
415,042;6,48
415,299;6,48
415,555;6,49
415,812;6,48
416,069;6,5
416,325;6,51
416,582;6,54
416,838;6,54
417,095;6,53
417,352;6,52
417,608;6,53
417,865;6,53
418,121;6,54
418,378;6,56
418,634;6,58
418,891;6,61
419,147;6,62
419,403;6,64
419,66;6,66
419,916;6,67
420,173;6,67
420,429;6,68
420,685;6,69
420,942;6,71
421,198;6,74
421,454;6,75
421,711;6,77
421,967;6,77
422,223;6,77
422,479;6,78
422,735;6,8
422,992;6,8
423,248;6,8
423,504;6,81
423,76;6,82
424,016;6,82
424,272;6,83
424,528;6,85
424,784;6,87
425,041;6,87
425,297;6,87
425,553;6,89
425,809;6,89
426,065;6,91
426,32;6,91
426,576;6,91
426,832;6,94
427,088;6,93
427,344;6,96
427,6;6,99
427,856;7,01
428,112;7,03
428,368;7,05
428,623;7,07
428,879;7,09
429,135;7,1
429,391;7,1
429,646;7,13
429,902;7,13
430,158;7,14
430,414;7,16
430,669;7,18
430,925;7,18
431,181;7,22
431,436;7,25
431,692;7,27
431,947;7,28
432,203;7,29
432,458;7,29
432,714;7,29
432,97;7,29
433,225;7,29
433,481;7,31
433,736;7,33
433,991;7,35
434,247;7,36
434,502;7,37
434,758;7,39
435,013;7,4
435,268;7,43
435,524;7,45
435,779;7,48
436,034;7,48
436,29;7,5
436,545;7,49
436,8;7,5
437,056;7,49
437,311;7,52
437,566;7,51
437,821;7,54
438,076;7,57
438,331;7,6
438,587;7,62
438,842;7,62
439,097;7,62
439,352;7,64
439,607;7,64
439,862;7,67
440,117;7,67
440,372;7,68
440,627;7,69
440,882;7,7
441,137;7,71
441,392;7,74
441,647;7,75
441,902;7,79
442,157;7,79
442,412;7,81
442,667;7,82
442,921;7,85
443,176;7,88
443,431;7,9
443,686;7,91
443,941;7,92
444,195;7,94
444,45;7,97
444,705;7,99
444,96;8,01
445,214;8,01
445,469;8,04
445,724;8,04
445,978;8,05
446,233;8,05
446,487;8,07
446,742;8,06
446,997;8,06
447,251;8,05
447,506;8,09
447,76;8,1
448,015;8,12
448,269;8,12
448,524;8,11
448,778;8,11
449,033;8,11
449,287;8,13
449,541;8,14
449,796;8,14
450,05;8,14
450,305;8,14
450,559;8,15
450,813;8,15
451,067;8,16
451,322;8,16
451,576;8,18
451,83;8,17
452,084;8,2
452,339;8,22
452,593;8,23
452,847;8,22
453,101;8,24
453,355;8,22
453,609;8,23
453,864;8,25
454,118;8,27
454,372;8,29
454,626;8,3
454,88;8,33
455,134;8,36
455,388;8,4
455,642;8,44
455,896;8,46
456,15;8,47
456,404;8,5
456,658;8,53
456,912;8,54
457,165;8,59
457,419;8,59
457,673;8,62
457,927;8,65
458,181;8,68
458,435;8,71
458,688;8,77
458,942;8,78
459,196;8,79
459,45;8,8
459,703;8,83
459,957;8,84
460,211;8,86
460,464;8,87
460,718;8,87
460,972;8,88
461,225;8,91
461,479;8,94
461,732;8,95
461,986;8,96
462,239;8,98
462,493;8,97
462,746;9,02
463;9,03
463,253;9,07
463,507;9,09
463,76;9,09
464,014;9,1
464,267;9,13
