Data from crisocollaWhite_Reflection__1__59.txt Node;
"Date: Fri Sep 12 11:59:01 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
412,474;40,55
412,731;40,61
412,988;40,65
413,245;40,72
413,501;40,75
413,758;40,81
414,015;40,85
414,272;40,88
414,529;40,93
414,785;41
415,042;41,05
415,299;41,07
415,555;41,13
415,812;41,18
416,069;41,15
416,325;41,22
416,582;41,24
416,838;41,28
417,095;41,31
417,352;41,35
417,608;41,41
417,865;41,48
418,121;41,54
418,378;41,65
418,634;41,69
418,891;41,78
419,147;41,87
419,403;41,95
419,66;42,03
419,916;42,11
420,173;42,17
420,429;42,22
420,685;42,31
420,942;42,37
421,198;42,4
421,454;42,52
421,711;42,55
421,967;42,62
422,223;42,66
422,479;42,75
422,735;42,79
422,992;42,83
423,248;42,86
423,504;42,9
423,76;42,92
424,016;42,96
424,272;43
424,528;43,03
424,784;43,07
425,041;43,13
425,297;43,16
425,553;43,2
425,809;43,26
426,065;43,31
426,32;43,39
426,576;43,47
426,832;43,52
427,088;43,6
427,344;43,64
427,6;43,72
427,856;43,77
428,112;43,86
428,368;43,93
428,623;43,98
428,879;44,04
429,135;44,12
429,391;44,15
429,646;44,21
429,902;44,25
430,158;44,31
430,414;44,36
430,669;44,42
430,925;44,48
431,181;44,56
431,436;44,62
431,692;44,65
431,947;44,7
432,203;44,76
432,458;44,79
432,714;44,87
432,97;44,9
433,225;44,95
433,481;44,99
433,736;45,06
433,991;45,11
434,247;45,17
434,502;45,2
434,758;45,29
435,013;45,35
435,268;45,4
435,524;45,44
435,779;45,5
436,034;45,57
436,29;45,64
436,545;45,68
436,8;45,72
437,056;45,76
437,311;45,81
437,566;45,85
437,821;45,93
438,076;46
438,331;46,13
438,587;46,19
438,842;46,28
439,097;46,32
439,352;46,42
439,607;46,49
439,862;46,55
440,117;46,63
