Data from crisocollaWhite_Reflection__2__60.txt Node;
"Date: Fri Sep 12 11:59:42 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
387,477;18,75
387,736;18,8
387,994;18,89
388,253;18,95
388,511;19,01
388,77;19,07
389,028;19,17
389,287;19,25
389,545;19,31
389,803;19,36
390,062;19,45
390,32;19,5
390,578;19,56
390,837;19,61
391,095;19,7
391,353;19,76
391,612;19,84
391,87;19,91
392,128;20
392,386;20,06
392,644;20,12
392,903;20,19
393,161;20,23
393,419;20,27
393,677;20,35
393,935;20,39
394,193;20,46
394,451;20,53
394,709;20,58
394,967;20,64
395,225;20,7
395,483;20,77
395,741;20,85
395,999;20,92
396,257;20,99
396,515;21,04
396,773;21,12
397,031;21,15
397,289;21,22
397,547;21,26
397,805;21,3
398,062;21,34
398,32;21,39
398,578;21,47
398,836;21,53
399,094;21,58
399,351;21,64
399,609;21,67
399,867;21,69
400,124;21,74
400,382;21,81
400,64;21,87
400,897;21,92
401,155;21,93
401,413;21,98
401,67;22,04
401,928;22,09
402,185;22,14
402,443;22,2
402,701;22,26
402,958;22,33
403,216;22,39
403,473;22,44
403,73;22,48
403,988;22,53
404,245;22,57
404,503;22,62
404,76;22,67
405,018;22,74
405,275;22,8
405,532;22,83
405,79;22,87
406,047;22,91
406,304;22,95
406,561;23
406,819;23,04
407,076;23,1
407,333;23,13
407,59;23,16
407,848;23,19
408,105;23,23
408,362;23,26
408,619;23,32
408,876;23,35
409,133;23,42
409,39;23,47
409,647;23,52
409,904;23,57
410,161;23,62
410,418;23,65
410,675;23,71
410,932;23,77
411,189;23,82
411,446;23,88
411,703;23,94
411,96;23,98
412,217;24,04
412,474;24,07
412,731;24,13
412,988;24,17
413,245;24,23
413,501;24,25
413,758;24,31
414,015;24,34
414,272;24,37
414,529;24,41
414,785;24,42
415,042;24,46
415,299;24,49
415,555;24,51
415,812;24,55
416,069;24,59
416,325;24,64
416,582;24,67
416,838;24,69
417,095;24,7
417,352;24,79
417,608;24,8
417,865;24,84
418,121;24,89
418,378;24,98
418,634;25,02
418,891;25,12
419,147;25,2
419,403;25,27
419,66;25,33
419,916;25,42
420,173;25,47
420,429;25,51
420,685;25,54
420,942;25,61
421,198;25,65
421,454;25,73
421,711;25,76
421,967;25,82
422,223;25,86
422,479;25,92
422,735;25,93
422,992;25,98
423,248;26,02
423,504;26,06
423,76;26,08
424,016;26,12
424,272;26,12
424,528;26,13
424,784;26,16
425,041;26,21
425,297;26,22
425,553;26,28
425,809;26,32
426,065;26,4
426,32;26,47
426,576;26,53
426,832;26,57
427,088;26,64
427,344;26,69
427,6;26,78
427,856;26,83
428,112;26,91
428,368;26,95
428,623;27
428,879;27,04
429,135;27,09
429,391;27,1
429,646;27,16
429,902;27,18
430,158;27,22
430,414;27,26
430,669;27,29
430,925;27,33
431,181;27,4
431,436;27,43
431,692;27,47
431,947;27,52
432,203;27,56
432,458;27,57
432,714;27,6
432,97;27,62
433,225;27,65
433,481;27,66
433,736;27,71
433,991;27,77
434,247;27,82
434,502;27,85
434,758;27,93
435,013;27,96
435,268;28,03
435,524;28,08
435,779;28,14
436,034;28,18
436,29;28,23
436,545;28,27
436,8;28,34
437,056;28,36
437,311;28,38
437,566;28,42
437,821;28,5
438,076;28,55
438,331;28,61
438,587;28,67
438,842;28,74
439,097;28,79
439,352;28,85
439,607;28,93
439,862;28,99
440,117;29,03
440,372;29,1
440,627;29,16
440,882;29,23
441,137;29,26
441,392;29,34
441,647;29,4
441,902;29,47
442,157;29,5
442,412;29,57
442,667;29,64
442,921;29,69
443,176;29,74
443,431;29,79
443,686;29,83
443,941;29,86
444,195;29,92
444,45;29,98
444,705;30,01
444,96;30,04
445,214;30,07
445,469;30,12
445,724;30,15
445,978;30,18
446,233;30,2
446,487;30,27
446,742;30,3
446,997;30,34
447,251;30,35
447,506;30,4
447,76;30,42
448,015;30,46
448,269;30,48
448,524;30,49
448,778;30,53
449,033;30,54
449,287;30,59
449,541;30,61
449,796;30,63
450,05;30,66
450,305;30,68
450,559;30,73
450,813;30,75
451,067;30,76
451,322;30,81
451,576;30,84
451,83;30,84
452,084;30,86
452,339;30,87
452,593;30,91
452,847;30,93
453,101;30,98
453,355;31,01
453,609;31,04
453,864;31,08
454,118;31,13
454,372;31,18
454,626;31,23
454,88;31,26
455,134;31,31
455,388;31,36
455,642;31,45
455,896;31,48
456,15;31,54
456,404;31,61
456,658;31,65
456,912;31,68
457,165;31,75
457,419;31,79
457,673;31,87
457,927;31,91
458,181;31,97
458,435;32
458,688;32,06
458,942;32,12
459,196;32,16
459,45;32,18
459,703;32,24
459,957;32,27
460,211;32,31
460,464;32,34
460,718;32,37
460,972;32,41
461,225;32,47
461,479;32,52
461,732;32,58
461,986;32,65
462,239;32,72
462,493;32,79
462,746;32,91
463;32,93
463,253;33,02
463,507;33,06
463,76;33,13
464,014;33,17
464,267;33,24
464,52;33,31
