Data from TV_VeronaWhite_Reflection__0__13.txt Node;
"Date: Thu Sep 11 15:40:28 CEST 2025 User: sycur";
568,152;70,37
568,398;70,36
568,644;70,35
568,89;70,33
569,136;70,33
569,382;70,34
569,628;70,33
569,874;70,32
570,12;70,31
570,366;70,31
570,612;70,31
570,857;70,3
571,103;70,3
571,349;70,31
571,595;70,31
571,84;70,31
572,086;70,32
572,332;70,33
572,578;70,34
572,823;70,34
573,069;70,35
573,315;70,36
573,56;70,36
573,806;70,36
574,051;70,37
574,297;70,36
574,542;70,36
574,788;70,36
575,034;70,37
575,279;70,38
575,524;70,38
575,77;70,39
576,015;70,43
576,261;70,44
576,506;70,45
576,752;70,45
576,997;70,46
577,242;70,45
577,488;70,45
577,733;70,43
577,978;70,41
578,223;70,4
578,469;70,4
578,714;70,42
578,959;70,42
579,204;70,42
579,45;70,45
579,695;70,46
579,94;70,49
580,185;70,51
580,43;70,52
580,675;70,53
580,92;70,53
581,165;70,5
581,41;70,5
581,655;70,49
581,9;70,5
582,145;70,5
582,39;70,5
582,635;70,51
582,88;70,52
583,125;70,56
583,37;70,58
583,615;70,58
583,86;70,58
584,105;70,58
584,349;70,58
584,594;70,56
584,839;70,55
585,084;70,54
585,328;70,54
585,573;70,53
585,818;70,54
586,063;70,54
586,307;70,56
586,552;70,56
586,797;70,57
587,041;70,59
587,286;70,6
587,53;70,61
587,775;70,61
588,019;70,61
588,264;70,61
588,508;70,62
588,753;70,62
588,997;70,65
589,242;70,65
589,486;70,64
589,731;70,64
589,975;70,64
590,22;70,63
590,464;70,61
590,708;70,61
590,953;70,6
591,197;70,6
591,441;70,58
591,685;70,58
591,93;70,58
592,174;70,56
592,418;70,54
592,662;70,54
592,907;70,54
593,151;70,55
593,395;70,54
593,639;70,53
593,883;70,53
594,127;70,52
594,371;70,53
594,615;70,54
594,859;70,55
595,103;70,55
595,347;70,55
595,591;70,54
595,835;70,53
596,079;70,53
596,323;70,53
596,567;70,53
596,811;70,52
597,055;70,51
597,299;70,53
597,542;70,54
597,786;70,55
598,03;70,52
598,274;70,51
598,518;70,52
598,761;70,51
599,005;70,52
599,249;70,52
599,492;70,52
599,736;70,51
599,98;70,52
600,223;70,51
600,467;70,52
600,711;70,53
600,954;70,56
601,198;70,57
601,441;70,57
601,685;70,59
601,928;70,59
602,172;70,59
602,415;70,58
602,659;70,57
602,902;70,57
603,145;70,58
603,389;70,59
603,632;70,58
603,876;70,59
604,119;70,6
604,362;70,6
604,606;70,59
604,849;70,59
605,092;70,58
605,335;70,61
605,579;70,61
605,822;70,6
606,065;70,58
606,308;70,58
606,551;70,6
606,794;70,58
607,037;70,59
607,281;70,6
607,524;70,61
607,767;70,61
608,01;70,61
608,253;70,61
608,496;70,63
608,739;70,62
608,982;70,62
609,225;70,61
609,468;70,62
609,711;70,62
609,953;70,62
610,196;70,61
610,439;70,61
610,682;70,6
610,925;70,63
611,168;70,65
