Data from TV_VeronaWhite_Reflection__4__17.txt Node;
"Date: Thu Sep 11 15:51:20 CEST 2025 User: sycur";
554,101;22,55
554,348;22,55
554,595;22,56
554,842;22,57
555,089;22,58
555,336;22,6
555,582;22,6
555,829;22,6
556,076;22,61
556,323;22,62
556,57;22,63
556,817;22,64
557,064;22,65
557,311;22,66
557,557;22,66
557,804;22,69
558,051;22,69
558,298;22,71
558,544;22,71
558,791;22,74
559,038;22,76
559,284;22,77
559,531;22,78
559,778;22,79
560,024;22,8
560,271;22,82
560,517;22,83
560,764;22,86
561,011;22,87
561,257;22,89
561,504;22,89
561,75;22,9
561,997;22,92
562,243;22,95
562,489;22,96
562,736;22,98
562,982;22,98
563,229;22,99
563,475;22,98
563,721;23
563,968;23
564,214;23,01
564,46;23,02
564,707;23,03
564,953;23,04
565,199;23,06
565,445;23,07
565,691;23,08
565,938;23,09
566,184;23,11
566,43;23,12
566,676;23,15
566,922;23,17
567,168;23,18
567,414;23,2
567,66;23,24
567,906;23,25
568,152;23,27
568,398;23,31
568,644;23,35
568,89;23,38
569,136;23,42
569,382;23,44
569,628;23,47
569,874;23,49
570,12;23,51
570,366;23,53
570,612;23,56
570,857;23,59
571,103;23,61
571,349;23,63
571,595;23,66
571,84;23,69
572,086;23,72
572,332;23,73
572,578;23,75
572,823;23,76
573,069;23,78
573,315;23,8
573,56;23,8
573,806;23,81
574,051;23,82
574,297;23,83
574,542;23,84
574,788;23,85
575,034;23,87
575,279;23,89
575,524;23,91
575,77;23,92
576,015;23,93
576,261;23,95
576,506;23,96
576,752;23,95
576,997;23,96
577,242;23,96
577,488;23,96
577,733;23,95
577,978;23,96
578,223;23,97
578,469;23,98
578,714;24
578,959;24,01
579,204;24,02
579,45;24,03
579,695;24,05
579,94;24,06
580,185;24,07
580,43;24,07
580,675;24,07
580,92;24,07
581,165;24,06
581,41;24,06
581,655;24,06
581,9;24,06
582,145;24,06
582,39;24,06
582,635;24,07
582,88;24,08
583,125;24,08
583,37;24,09
583,615;24,08
583,86;24,07
584,105;24,07
584,349;24,06
584,594;24,05
584,839;24,04
585,084;24,02
585,328;24,02
585,573;24,01
585,818;24,01
586,063;24
586,307;24
586,552;23,99
586,797;23,99
587,041;23,98
587,286;23,97
587,53;23,97
587,775;23,96
588,019;23,95
588,264;23,95
588,508;23,93
588,753;23,91
588,997;23,9
589,242;23,89
589,486;23,88
589,731;23,88
589,975;23,86
590,22;23,84
590,464;23,84
590,708;23,83
590,953;23,83
591,197;23,83
591,441;23,82
591,685;23,82
591,93;23,82
592,174;23,82
592,418;23,82
592,662;23,82
592,907;23,83
593,151;23,83
593,395;23,83
593,639;23,83
593,883;23,84
594,127;23,83
594,371;23,83
594,615;23,84
594,859;23,83
595,103;23,84
595,347;23,83
595,591;23,82
595,835;23,81
596,079;23,8
596,323;23,8
596,567;23,8
596,811;23,8
597,055;23,8
597,299;23,81
597,542;23,8
597,786;23,8
598,03;23,79
598,274;23,79
598,518;23,78
598,761;23,78
599,005;23,78
599,249;23,78
599,492;23,79
599,736;23,79
599,98;23,79
600,223;23,79
600,467;23,8
600,711;23,81
600,954;23,83
601,198;23,83
601,441;23,82
601,685;23,82
601,928;23,82
602,172;23,82
602,415;23,81
602,659;23,81
602,902;23,8
603,145;23,79
603,389;23,8
603,632;23,79
603,876;23,8
604,119;23,8
604,362;23,8
604,606;23,79
604,849;23,79
605,092;23,79
605,335;23,78
605,579;23,77
605,822;23,77
606,065;23,75
606,308;23,76
606,551;23,77
606,794;23,76
607,037;23,75
607,281;23,75
607,524;23,76
607,767;23,76
608,01;23,76
608,253;23,76
608,496;23,75
608,739;23,74
608,982;23,73
609,225;23,73
609,468;23,71
609,711;23,72
609,953;23,71
610,196;23,7
610,439;23,69
610,682;23,69
610,925;23,69
611,168;23,69
611,41;23,67
611,653;23,66
611,896;23,66
612,139;23,65
612,381;23,64
612,624;23,64
612,867;23,63
613,109;23,63
613,352;23,62
613,595;23,61
613,837;23,61
614,08;23,61
614,322;23,6
614,565;23,62
614,807;23,62
615,05;23,62
615,292;23,62
615,535;23,63
615,777;23,63
616,02;23,63
616,262;23,62
616,505;23,62
616,747;23,61
616,989;23,62
617,232;23,62
617,474;23,62
617,716;23,61
617,959;23,62
