Data from TV_VeronaWhite_Reflection__1__14.txt Node;
"Date: Thu Sep 11 15:41:41 CEST 2025 User: sycur";
418,121;3,13
418,378;3,13
418,634;3,15
418,891;3,15
419,147;3,14
419,403;3,14
419,66;3,16
419,916;3,18
420,173;3,17
420,429;3,2
420,685;3,19
420,942;3,21
421,198;3,22
421,454;3,23
421,711;3,24
421,967;3,26
422,223;3,27
422,479;3,27
422,735;3,29
422,992;3,29
423,248;3,31
423,504;3,31
423,76;3,33
424,016;3,33
424,272;3,35
424,528;3,39
424,784;3,39
425,041;3,39
425,297;3,39
425,553;3,4
425,809;3,43
426,065;3,45
426,32;3,44
426,576;3,46
426,832;3,47
427,088;3,46
427,344;3,47
427,6;3,47
427,856;3,49
428,112;3,49
428,368;3,5
428,623;3,53
428,879;3,53
429,135;3,52
429,391;3,53
429,646;3,55
429,902;3,55
430,158;3,56
430,414;3,56
430,669;3,58
430,925;3,6
431,181;3,59
431,436;3,61
431,692;3,63
431,947;3,64
432,203;3,64
432,458;3,65
432,714;3,65
432,97;3,64
433,225;3,65
433,481;3,66
433,736;3,66
433,991;3,67
434,247;3,67
434,502;3,7
434,758;3,73
435,013;3,74
435,268;3,77
435,524;3,78
435,779;3,81
436,034;3,83
436,29;3,84
436,545;3,87
436,8;3,88
437,056;3,89
437,311;3,91
437,566;3,94
437,821;3,96
438,076;3,98
438,331;4
438,587;4,01
438,842;4,02
439,097;4,05
439,352;4,07
439,607;4,09
439,862;4,1
440,117;4,09
440,372;4,1
440,627;4,09
440,882;4,1
441,137;4,1
441,392;4,11
441,647;4,13
441,902;4,14
442,157;4,14
442,412;4,15
442,667;4,15
442,921;4,15
443,176;4,16
443,431;4,2
443,686;4,21
443,941;4,24
444,195;4,25
444,45;4,27
444,705;4,28
444,96;4,3
445,214;4,32
445,469;4,36
445,724;4,38
445,978;4,39
446,233;4,42
446,487;4,43
446,742;4,45
446,997;4,46
447,251;4,46
447,506;4,48
447,76;4,49
448,015;4,51
448,269;4,52
448,524;4,53
448,778;4,53
449,033;4,55
449,287;4,55
449,541;4,56
449,796;4,57
450,05;4,59
450,305;4,62
450,559;4,63
450,813;4,63
451,067;4,64
451,322;4,67
451,576;4,69
451,83;4,71
452,084;4,72
452,339;4,74
452,593;4,74
452,847;4,76
453,101;4,78
453,355;4,8
453,609;4,82
453,864;4,82
454,118;4,83
454,372;4,83
454,626;4,85
454,88;4,86
455,134;4,87
455,388;4,87
455,642;4,87
455,896;4,89
456,15;4,9
456,404;4,89
456,658;4,91
456,912;4,92
457,165;4,92
457,419;4,93
457,673;4,94
457,927;4,96
458,181;4,99
458,435;5,01
458,688;5,01
458,942;5,03
459,196;5,05
459,45;5,07
459,703;5,12
459,957;5,14
460,211;5,17
460,464;5,17
460,718;5,19
460,972;5,22
461,225;5,25
461,479;5,27
461,732;5,29
461,986;5,3
462,239;5,32
462,493;5,34
462,746;5,36
463;5,39
463,253;5,43
463,507;5,43
463,76;5,44
464,014;5,45
464,267;5,46
464,52;5,49
464,774;5,51
465,027;5,5
465,28;5,51
465,534;5,52
465,787;5,54
466,04;5,56
466,294;5,56
466,547;5,55
466,8;5,57
467,053;5,57
467,306;5,58
467,56;5,6
467,813;5,62
468,066;5,63
468,319;5,64
468,572;5,65
468,825;5,67
469,078;5,67
469,331;5,71
469,584;5,73
469,837;5,74
470,09;5,75
470,343;5,77
470,596;5,79
470,849;5,81
471,102;5,83
471,355;5,85
471,608;5,87
471,861;5,91
472,114;5,94
472,367;5,97
472,619;5,99
472,872;6,02
473,125;6,03
473,378;6,05
473,631;6,07
473,883;6,08
474,136;6,09
474,389;6,12
474,641;6,13
474,894;6,16
475,147;6,18
475,399;6,2
475,652;6,22
475,905;6,25
476,157;6,27
476,41;6,29
476,662;6,32
476,915;6,34
477,167;6,36
477,42;6,38
477,672;6,4
477,925;6,44
478,177;6,45
478,43;6,48
478,682;6,5
478,934;6,52
479,187;6,54
479,439;6,58
479,691;6,6
479,944;6,63
480,196;6,65
480,448;6,67
480,701;6,7
480,953;6,73
481,205;6,75
481,457;6,77
481,709;6,79
481,962;6,83
482,214;6,87
482,466;6,92
482,718;6,99
482,97;7,07
483,222;7,16
483,474;7,24
483,726;7,32
483,978;7,39
484,23;7,45
484,482;7,49
484,734;7,52
484,986;7,55
485,238;7,56
