Data from TV_VeronaWhite_Reflection__3__16.txt Node;
"Date: Thu Sep 11 15:50:24 CEST 2025 User: sycur";
367,522;4,42
367,782;4,43
368,042;4,44
368,301;4,46
368,561;4,47
368,821;4,47
369,081;4,47
369,34;4,48
369,6;4,5
369,86;4,5
370,119;4,5
370,379;4,51
370,638;4,52
370,898;4,53
371,158;4,54
371,417;4,54
371,677;4,56
371,936;4,59
372,196;4,6
372,455;4,61
372,715;4,6
372,974;4,62
373,234;4,65
373,493;4,67
373,753;4,69
374,012;4,7
374,271;4,73
374,531;4,76
374,79;4,78
375,049;4,8
375,309;4,83
375,568;4,87
375,827;4,89
376,086;4,92
376,346;4,95
376,605;4,96
376,864;4,98
377,123;5,01
377,383;5,01
377,642;5,04
377,901;5,05
378,16;5,07
378,419;5,09
378,678;5,1
378,937;5,12
379,196;5,14
379,455;5,15
379,714;5,16
379,973;5,17
380,232;5,21
380,491;5,24
380,75;5,25
381,009;5,26
381,268;5,27
381,527;5,3
381,786;5,32
382,045;5,33
382,304;5,35
382,563;5,36
382,821;5,39
383,08;5,41
383,339;5,44
383,598;5,45
383,857;5,48
384,115;5,5
384,374;5,52
384,633;5,53
384,891;5,57
385,15;5,58
385,409;5,61
385,667;5,62
385,926;5,62
386,185;5,65
386,443;5,66
386,702;5,69
386,96;5,69
387,219;5,71
387,477;5,73
387,736;5,76
387,994;5,78
388,253;5,78
388,511;5,81
388,77;5,82
389,028;5,83
389,287;5,85
389,545;5,9
389,803;5,92
390,062;5,93
390,32;5,96
390,578;5,98
390,837;6
391,095;6,02
391,353;6,05
391,612;6,07
391,87;6,11
392,128;6,12
392,386;6,14
392,644;6,17
392,903;6,19
393,161;6,22
393,419;6,23
393,677;6,26
393,935;6,27
394,193;6,29
394,451;6,33
394,709;6,34
394,967;6,34
395,225;6,38
395,483;6,41
395,741;6,44
395,999;6,46
396,257;6,49
396,515;6,51
396,773;6,53
397,031;6,53
397,289;6,56
397,547;6,57
