Data from TV_VeronaWhite_Reflection__2__15.txt Node;
"Date: Thu Sep 11 15:49:26 CEST 2025 User: sycur";
372,455;2,61
372,715;2,6
372,974;2,63
373,234;2,64
373,493;2,65
373,753;2,67
374,012;2,69
374,271;2,7
374,531;2,7
374,79;2,7
375,049;2,72
375,309;2,74
375,568;2,76
375,827;2,78
376,086;2,79
376,346;2,81
376,605;2,81
376,864;2,82
377,123;2,84
377,383;2,83
377,642;2,85
377,901;2,86
378,16;2,86
378,419;2,86
378,678;2,86
378,937;2,86
379,196;2,87
379,455;2,87
379,714;2,88
379,973;2,88
380,232;2,91
380,491;2,92
380,75;2,93
381,009;2,92
381,268;2,93
381,527;2,94
381,786;2,95
382,045;2,95
382,304;2,96
382,563;2,95
382,821;2,97
383,08;2,97
383,339;2,98
383,598;3
383,857;3,02
384,115;3,04
384,374;3,06
384,633;3,06
384,891;3,06
385,15;3,07
385,409;3,09
385,667;3,09
385,926;3,1
386,185;3,11
386,443;3,11
386,702;3,14
386,96;3,13
387,219;3,14
387,477;3,15
387,736;3,17
387,994;3,18
388,253;3,18
388,511;3,22
388,77;3,21
389,028;3,21
389,287;3,23
389,545;3,24
389,803;3,26
390,062;3,27
390,32;3,29
390,578;3,29
390,837;3,31
391,095;3,31
391,353;3,31
391,612;3,32
391,87;3,33
392,128;3,32
392,386;3,34
392,644;3,35
392,903;3,37
393,161;3,37
393,419;3,39
393,677;3,4
393,935;3,38
394,193;3,4
394,451;3,42
394,709;3,42
394,967;3,42
395,225;3,44
395,483;3,45
395,741;3,47
395,999;3,49
396,257;3,51
396,515;3,52
396,773;3,54
397,031;3,55
397,289;3,57
397,547;3,59
397,805;3,61
398,062;3,63
398,32;3,63
398,578;3,64
398,836;3,65
399,094;3,66
399,351;3,67
399,609;3,69
399,867;3,68
400,124;3,7
400,382;3,72
400,64;3,73
400,897;3,74
401,155;3,75
401,413;3,77
401,67;3,77
401,928;3,78
402,185;3,79
402,443;3,78
402,701;3,79
402,958;3,8
403,216;3,81
403,473;3,81
403,73;3,81
403,988;3,82
404,245;3,8
404,503;3,82
404,76;3,83
405,018;3,82
405,275;3,84
405,532;3,84
405,79;3,85
406,047;3,84
406,304;3,85
406,561;3,85
406,819;3,83
407,076;3,84
407,333;3,83
407,59;3,83
407,848;3,85
408,105;3,86
408,362;3,86
408,619;3,86
408,876;3,88
409,133;3,88
409,39;3,89
409,647;3,91
409,904;3,9
410,161;3,91
410,418;3,93
410,675;3,95
410,932;3,97
411,189;3,97
411,446;3,98
411,703;3,99
411,96;4,01
412,217;4,02
412,474;4,04
412,731;4,06
412,988;4,08
413,245;4,09
413,501;4,09
413,758;4,09
414,015;4,11
414,272;4,1
414,529;4,11
414,785;4,1
415,042;4,1
415,299;4,12
