Data from BiaccaWhite_Reflection__1__47.txt Node;
"Date: Thu Sep 11 17:06:04 CEST 2025 User: sycur";
587,775;77,65
588,019;77,67
588,264;77,68
588,508;77,69
588,753;77,69
588,997;77,71
589,242;77,73
589,486;77,74
589,731;77,76
589,975;77,75
590,22;77,74
590,464;77,74
590,708;77,73
590,953;77,71
591,197;77,71
591,441;77,72
591,685;77,7
591,93;77,7
592,174;77,69
592,418;77,68
592,662;77,67
592,907;77,68
593,151;77,69
593,395;77,68
593,639;77,66
593,883;77,67
594,127;77,66
594,371;77,65
594,615;77,66
594,859;77,66
595,103;77,67
595,347;77,67
595,591;77,65
595,835;77,64
596,079;77,64
596,323;77,64
596,567;77,64
596,811;77,65
597,055;77,65
597,299;77,66
597,542;77,66
597,786;77,68
598,03;77,67
598,274;77,65
598,518;77,66
598,761;77,66
599,005;77,65
599,249;77,66
599,492;77,66
599,736;77,65
599,98;77,66
600,223;77,67
600,467;77,68
600,711;77,68
600,954;77,71
601,198;77,74
601,441;77,72
601,685;77,72
601,928;77,73
602,172;77,74
602,415;77,73
602,659;77,74
602,902;77,73
603,145;77,73
603,389;77,74
603,632;77,74
603,876;77,75
604,119;77,76
604,362;77,75
604,606;77,75
604,849;77,76
605,092;77,75
605,335;77,74
605,579;77,74
605,822;77,75
606,065;77,74
606,308;77,74
606,551;77,75
606,794;77,75
607,037;77,74
607,281;77,74
607,524;77,74
607,767;77,73
608,01;77,73
608,253;77,73
608,496;77,75
608,739;77,76
608,982;77,76
609,225;77,76
609,468;77,77
609,711;77,78
609,953;77,78
610,196;77,77
610,439;77,79
610,682;77,78
610,925;77,79
611,168;77,8
611,41;77,79
611,653;77,8
611,896;77,81
612,139;77,82
612,381;77,82
612,624;77,83
612,867;77,82
613,109;77,82
613,352;77,82
613,595;77,81
613,837;77,8
614,08;77,79
614,322;77,78
614,565;77,79
614,807;77,78
615,05;77,79
615,292;77,81
615,535;77,8
615,777;77,81
616,02;77,81
616,262;77,8
616,505;77,79
616,747;77,78
616,989;77,79
617,232;77,79
617,474;77,78
617,716;77,79
617,959;77,79
618,201;77,82
618,443;77,83
618,685;77,83
618,927;77,85
619,17;77,84
619,412;77,85
619,654;77,85
619,896;77,88
620,138;77,88
620,38;77,86
620,622;77,87
620,864;77,89
621,107;77,88
621,349;77,87
621,591;77,89
621,833;77,9
622,075;77,92
622,316;77,92
622,558;77,94
622,8;77,94
623,042;77,96
623,284;77,95
623,526;77,96
623,768;77,98
624,01;77,99
624,251;78,01
624,493;78,01
624,735;78,02
624,977;78,02
625,218;78,01
625,46;78,03
625,702;78,03
625,943;78,03
626,185;78,03
626,427;78,06
626,668;78,04
626,91;78,06
627,152;78,05
627,393;78,06
627,635;78,05
627,876;78,06
