Data from BiaccaWhite_Reflection__3__49.txt Node;
"Date: Thu Sep 11 17:07:23 CEST 2025 User: sycur";
559,531;79,53
559,778;79,53
560,024;79,52
560,271;79,53
560,517;79,53
560,764;79,53
561,011;79,55
561,257;79,56
561,504;79,59
561,75;79,57
561,997;79,58
562,243;79,6
562,489;79,62
562,736;79,63
562,982;79,62
563,229;79,62
563,475;79,61
563,721;79,62
563,968;79,62
564,214;79,6
564,46;79,59
564,707;79,58
564,953;79,59
565,199;79,59
565,445;79,6
565,691;79,59
565,938;79,58
566,184;79,58
566,43;79,57
566,676;79,56
566,922;79,58
567,168;79,55
567,414;79,55
567,66;79,54
567,906;79,52
568,152;79,51
568,398;79,5
568,644;79,51
568,89;79,49
569,136;79,49
569,382;79,5
569,628;79,5
569,874;79,49
570,12;79,48
570,366;79,46
570,612;79,45
570,857;79,46
571,103;79,46
571,349;79,46
571,595;79,44
571,84;79,44
572,086;79,43
572,332;79,43
572,578;79,44
572,823;79,45
573,069;79,46
573,315;79,47
573,56;79,48
573,806;79,47
574,051;79,48
574,297;79,48
574,542;79,48
574,788;79,47
575,034;79,48
575,279;79,48
575,524;79,49
575,77;79,5
576,015;79,5
576,261;79,52
576,506;79,52
576,752;79,53
576,997;79,54
577,242;79,55
577,488;79,55
577,733;79,52
577,978;79,52
578,223;79,51
578,469;79,52
578,714;79,52
578,959;79,52
579,204;79,53
579,45;79,54
579,695;79,55
579,94;79,56
580,185;79,57
580,43;79,58
580,675;79,6
580,92;79,59
581,165;79,58
581,41;79,57
581,655;79,57
581,9;79,57
582,145;79,56
582,39;79,56
582,635;79,58
582,88;79,59
583,125;79,6
583,37;79,6
583,615;79,61
583,86;79,61
584,105;79,62
584,349;79,62
584,594;79,61
584,839;79,6
585,084;79,6
585,328;79,61
585,573;79,61
585,818;79,61
586,063;79,61
586,307;79,62
586,552;79,62
586,797;79,63
587,041;79,65
587,286;79,66
587,53;79,68
587,775;79,66
588,019;79,67
588,264;79,66
588,508;79,68
588,753;79,68
588,997;79,69
589,242;79,68
589,486;79,68
589,731;79,67
589,975;79,67
590,22;79,66
590,464;79,66
590,708;79,66
590,953;79,66
591,197;79,67
591,441;79,66
591,685;79,65
591,93;79,66
592,174;79,66
592,418;79,65
592,662;79,65
592,907;79,66
593,151;79,65
593,395;79,65
593,639;79,63
593,883;79,63
594,127;79,63
594,371;79,63
594,615;79,64
594,859;79,65
595,103;79,66
595,347;79,65
595,591;79,64
595,835;79,64
596,079;79,64
596,323;79,65
596,567;79,64
596,811;79,65
597,055;79,64
597,299;79,64
597,542;79,63
597,786;79,62
598,03;79,62
598,274;79,61
598,518;79,61
598,761;79,6
599,005;79,6
599,249;79,59
599,492;79,59
599,736;79,58
599,98;79,59
600,223;79,59
600,467;79,6
600,711;79,61
600,954;79,62
601,198;79,61
601,441;79,6
601,685;79,61
601,928;79,61
602,172;79,6
602,415;79,6
602,659;79,61
602,902;79,61
603,145;79,61
603,389;79,62
603,632;79,63
603,876;79,65
604,119;79,65
604,362;79,65
604,606;79,65
604,849;79,65
605,092;79,65
605,335;79,63
605,579;79,62
605,822;79,61
606,065;79,6
606,308;79,61
606,551;79,62
606,794;79,62
607,037;79,63
607,281;79,64
607,524;79,63
607,767;79,64
608,01;79,62
608,253;79,64
608,496;79,64
608,739;79,62
608,982;79,62
609,225;79,63
609,468;79,63
609,711;79,63
609,953;79,62
610,196;79,61
610,439;79,63
610,682;79,64
610,925;79,67
611,168;79,69
611,41;79,67
611,653;79,67
611,896;79,67
612,139;79,67
612,381;79,68
612,624;79,69
612,867;79,68
613,109;79,68
