Data from bluEgizioWhite_Reflection__1__24.txt Node;
Date: Fri Sep 12 11:03:01 CEST 2025;
363,623;7,82
363,883;7,86
364,143;7,93
364,403;7,96
364,663;8,01
364,923;8,06
365,183;8,12
365,443;8,19
365,703;8,24
365,963;8,3
366,223;8,34
366,483;8,38
366,743;8,44
367,002;8,48
367,262;8,54
367,522;8,59
367,782;8,64
368,042;8,69
368,301;8,74
368,561;8,79
368,821;8,86
369,081;8,91
369,34;8,96
369,6;9
369,86;9,06
370,119;9,14
370,379;9,19
370,638;9,26
370,898;9,28
371,158;9,35
371,417;9,4
371,677;9,49
371,936;9,56
372,196;9,63
372,455;9,69
372,715;9,76
372,974;9,82
373,234;9,89
373,493;9,98
373,753;10,04
374,012;10,13
374,271;10,19
374,531;10,28
374,79;10,35
375,049;10,42
375,309;10,48
375,568;10,56
375,827;10,63
376,086;10,69
376,346;10,78
376,605;10,87
376,864;10,96
377,123;11,03
377,383;11,11
377,642;11,18
377,901;11,25
378,16;11,33
378,419;11,4
378,678;11,46
378,937;11,51
379,196;11,59
379,455;11,65
379,714;11,73
379,973;11,78
380,232;11,86
380,491;11,93
380,75;12,02
381,009;12,08
381,268;12,16
381,527;12,24
381,786;12,32
382,045;12,39
382,304;12,45
382,563;12,5
382,821;12,58
383,08;12,66
383,339;12,75
383,598;12,82
383,857;12,9
384,115;12,98
384,374;13,07
384,633;13,16
384,891;13,23
385,15;13,32
385,409;13,43
385,667;13,52
385,926;13,6
386,185;13,67
386,443;13,76
386,702;13,85
386,96;13,92
387,219;14,01
387,477;14,08
387,736;14,15
387,994;14,27
388,253;14,34
388,511;14,42
388,77;14,49
389,028;14,58
389,287;14,68
389,545;14,77
389,803;14,87
390,062;14,97
390,32;15,06
390,578;15,14
390,837;15,22
391,095;15,31
391,353;15,42
391,612;15,51
391,87;15,57
392,128;15,66
392,386;15,75
392,644;15,85
392,903;15,94
393,161;16,03
393,419;16,08
393,677;16,18
393,935;16,25
394,193;16,35
394,451;16,43
394,709;16,5
394,967;16,58
395,225;16,67
395,483;16,74
395,741;16,85
395,999;16,96
396,257;17,05
396,515;17,12
396,773;17,22
397,031;17,3
397,289;17,41
397,547;17,5
397,805;17,57
398,062;17,65
398,32;17,75
398,578;17,84
398,836;17,95
399,094;18,02
399,351;18,1
399,609;18,17
399,867;18,23
400,124;18,32
400,382;18,43
400,64;18,5
400,897;18,6
401,155;18,66
401,413;18,77
401,67;18,86
401,928;18,97
402,185;19,05
402,443;19,17
402,701;19,26
402,958;19,36
403,216;19,46
403,473;19,55
403,73;19,62
403,988;19,73
404,245;19,82
404,503;19,95
404,76;20,05
405,018;20,16
405,275;20,27
405,532;20,37
405,79;20,46
406,047;20,58
406,304;20,67
406,561;20,79
406,819;20,86
407,076;20,95
407,333;21,03
407,59;21,14
407,848;21,21
408,105;21,31
408,362;21,4
408,619;21,51
408,876;21,59
409,133;21,69
409,39;21,76
409,647;21,84
409,904;21,92
410,161;22,03
410,418;22,13
410,675;22,26
410,932;22,35
411,189;22,44
411,446;22,53
411,703;22,64
411,96;22,74
412,217;22,85
412,474;22,97
412,731;23,08
412,988;23,15
413,245;23,28
413,501;23,35
413,758;23,45
414,015;23,53
414,272;23,65
414,529;23,77
414,785;23,89
415,042;24
415,299;24,11
415,555;24,18
415,812;24,27
416,069;24,34
416,325;24,46
416,582;24,55
416,838;24,67
417,095;24,74
417,352;24,84
417,608;24,95
417,865;25,07
418,121;25,18
418,378;25,33
418,634;25,47
418,891;25,62
419,147;25,74
419,403;25,88
419,66;26
419,916;26,14
420,173;26,26
420,429;26,37
420,685;26,46
420,942;26,63
421,198;26,76
421,454;26,88
421,711;26,97
421,967;27,11
422,223;27,2
422,479;27,34
422,735;27,43
422,992;27,53
423,248;27,63
423,504;27,73
423,76;27,81
424,016;27,89
424,272;27,99
424,528;28,1
424,784;28,19
425,041;28,33
425,297;28,42
425,553;28,53
425,809;28,65
426,065;28,79
426,32;28,89
426,576;29,02
426,832;29,17
427,088;29,32
427,344;29,43
427,6;29,58
427,856;29,71
428,112;29,84
428,368;29,97
428,623;30,09
428,879;30,21
429,135;30,35
429,391;30,46
429,646;30,58
429,902;30,69
430,158;30,83
430,414;30,94
430,669;31,07
430,925;31,2
431,181;31,35
431,436;31,46
431,692;31,59
431,947;31,71
432,203;31,8
432,458;31,91
432,714;32,06
432,97;32,16
433,225;32,28
433,481;32,38
433,736;32,51
433,991;32,61
434,247;32,76
434,502;32,87
434,758;33,01
435,013;33,16
435,268;33,3
435,524;33,42
435,779;33,57
436,034;33,7
436,29;33,85
436,545;33,95
436,8;34,08
437,056;34,21
437,311;34,34
437,566;34,5
437,821;34,63
438,076;34,75
438,331;34,91
438,587;35,05
438,842;35,23
439,097;35,37
439,352;35,53
439,607;35,67
439,862;35,85
440,117;35,99
440,372;36,14
440,627;36,28
440,882;36,45
441,137;36,59
441,392;36,73
441,647;36,87
441,902;37,03
442,157;37,18
442,412;37,34
442,667;37,46
442,921;37,58
443,176;37,71
443,431;37,86
443,686;38
443,941;38,15
444,195;38,3
444,45;38,49
444,705;38,63
444,96;38,79
445,214;38,92
445,469;39,05
445,724;39,17
445,978;39,3
446,233;39,42
446,487;39,56
446,742;39,69
446,997;39,82
447,251;39,93
447,506;40,07
447,76;40,19
448,015;40,36
448,269;40,49
448,524;40,64
448,778;40,76
449,033;40,88
449,287;40,99
449,541;41,11
449,796;41,2
450,05;41,33
450,305;41,41
450,559;41,54
450,813;41,66
451,067;41,78
451,322;41,9
451,576;42,03
451,83;42,13
452,084;42,25
452,339;42,37
452,593;42,51
452,847;42,64
453,101;42,79
453,355;42,91
453,609;43,03
453,864;43,16
454,118;43,3
454,372;43,44
454,626;43,59
454,88;43,73
455,134;43,88
455,388;44,04
455,642;44,2
455,896;44,31
456,15;44,42
456,404;44,58
456,658;44,7
456,912;44,83
457,165;44,97
457,419;45,11
457,673;45,25
457,927;45,41
458,181;45,52
458,435;45,65
458,688;45,81
458,942;45,93
459,196;46,04
459,45;46,15
459,703;46,28
459,957;46,4
460,211;46,5
460,464;46,62
460,718;46,72
460,972;46,86
461,225;46,96
461,479;47,11
461,732;47,24
461,986;47,35
462,239;47,44
462,493;47,57
462,746;47,71
463;47,78
463,253;47,89
463,507;48,02
463,76;48,13
464,014;48,21
464,267;48,34
464,52;48,44
464,774;48,54
465,027;48,63
465,28;48,73
465,534;48,85
465,787;48,96
466,04;49,03
466,294;49,12
466,547;49,24
466,8;49,33
467,053;49,38
467,306;49,51
467,56;49,61
467,813;49,7
468,066;49,77
468,319;49,9
468,572;49,98
468,825;50,07
469,078;50,17
469,331;50,27
469,584;50,35
469,837;50,43
470,09;50,57
470,343;50,64
470,596;50,72
470,849;50,81
471,102;50,9
471,355;51,01
471,608;51,1
471,861;51,18
472,114;51,25
472,367;51,35
472,619;51,39
472,872;51,47
473,125;51,57
473,378;51,67
473,631;51,72
473,883;51,8
474,136;51,86
474,389;51,91
474,641;51,95
474,894;52,02
475,147;52,08
475,399;52,14
475,652;52,21
475,905;52,28
476,157;52,33
476,41;52,37
476,662;52,43
476,915;52,48
477,167;52,54
477,42;52,59
477,672;52,64
477,925;52,73
478,177;52,75
478,43;52,77
478,682;52,79
478,934;52,83
479,187;52,86
479,439;52,89
479,691;52,9
479,944;52,94
