Data from bluEgizioWhite_Reflection__0__23.txt Node;
Date: Fri Sep 12 11:01:59 CEST 2025;
462,746;102
463;101,97
463,253;101,97
463,507;101,96
463,76;101,98
464,014;101,95
464,267;101,92
464,52;101,87
464,774;101,83
465,027;101,84
465,28;101,82
465,534;101,82
465,787;101,82
466,04;101,81
466,294;101,78
466,547;101,74
466,8;101,73
467,053;101,72
467,306;101,74
467,56;101,72
467,813;101,71
468,066;101,72
468,319;101,71
468,572;101,72
468,825;101,68
469,078;101,69
469,331;101,67
469,584;101,64
469,837;101,62
470,09;101,62
470,343;101,57
470,596;101,57
470,849;101,54
471,102;101,49
471,355;101,45
471,608;101,41
471,861;101,4
472,114;101,34
472,367;101,27
472,619;101,21
472,872;101,16
473,125;101,09
473,378;101,05
473,631;101,02
473,883;101,02
474,136;100,99
474,389;100,91
474,641;100,87
474,894;100,81
475,147;100,82
475,399;100,8
475,652;100,77
475,905;100,71
476,157;100,65
476,41;100,61
476,662;100,58
476,915;100,56
477,167;100,53
477,42;100,51
477,672;100,48
477,925;100,46
478,177;100,4
478,43;100,34
478,682;100,26
478,934;100,21
479,187;100,13
479,439;100,07
479,691;100,03
479,944;99,97
480,196;99,94
480,448;99,87
480,701;99,81
480,953;99,75
481,205;99,69
481,457;99,62
481,709;99,57
481,962;99,51
482,214;99,42
482,466;99,31
482,718;99,21
482,97;99,1
483,222;98,95
483,474;98,83
483,726;98,73
483,978;98,61
484,23;98,53
484,482;98,44
484,734;98,36
484,986;98,29
485,238;98,22
485,49;98,15
485,742;98,1
485,994;98,03
486,246;97,99
486,498;97,93
486,75;97,88
487,001;97,84
487,253;97,79
487,505;97,75
487,757;97,71
488,009;97,67
488,26;97,62
488,512;97,58
488,764;97,6
489,015;97,58
489,267;97,57
489,519;97,55
489,77;97,53
490,022;97,52
490,274;97,48
490,525;97,46
490,777;97,42
491,028;97,35
491,28;97,29
491,531;97,23
491,783;97,16
492,034;97,13
492,286;97,05
492,537;96,96
492,789;96,9
493,04;96,83
493,291;96,75
493,543;96,68
493,794;96,61
494,045;96,5
494,297;96,43
494,548;96,37
494,799;96,29
495,051;96,2
495,302;96,12
495,553;96,07
495,804;95,99
496,056;95,94
496,307;95,87
496,558;95,78
496,809;95,69
497,06;95,65
497,311;95,56
497,562;95,49
497,813;95,44
498,064;95,32
498,316;95,24
498,567;95,15
498,818;95,1
499,069;95,04
499,319;94,98
499,57;94,87
499,821;94,79
