Data from CoccinigliaWhite_Reflection__1__47.txt Node;
"Date: Fri Sep 12 11:37:40 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
391,095;1,73
391,353;1,74
391,612;1,74
391,87;1,74
392,128;1,74
392,386;1,76
392,644;1,75
392,903;1,74
393,161;1,74
393,419;1,73
393,677;1,72
393,935;1,72
394,193;1,73
394,451;1,73
394,709;1,71
394,967;1,72
395,225;1,72
395,483;1,71
395,741;1,71
395,999;1,73
396,257;1,72
396,515;1,72
396,773;1,72
397,031;1,71
397,289;1,73
397,547;1,72
397,805;1,71
398,062;1,72
398,32;1,73
398,578;1,73
398,836;1,73
399,094;1,75
399,351;1,73
399,609;1,72
399,867;1,72
400,124;1,73
400,382;1,73
400,64;1,74
400,897;1,76
401,155;1,75
401,413;1,77
401,67;1,77
401,928;1,78
402,185;1,79
402,443;1,81
402,701;1,81
402,958;1,8
403,216;1,81
403,473;1,81
403,73;1,81
403,988;1,84
404,245;1,84
404,503;1,86
404,76;1,88
405,018;1,89
405,275;1,91
405,532;1,91
405,79;1,9
406,047;1,9
406,304;1,89
406,561;1,91
406,819;1,88
407,076;1,89
407,333;1,9
407,59;1,89
407,848;1,89
408,105;1,89
408,362;1,89
408,619;1,89
408,876;1,89
409,133;1,87
409,39;1,86
409,647;1,84
409,904;1,84
410,161;1,85
410,418;1,85
410,675;1,84
410,932;1,85
411,189;1,83
411,446;1,83
411,703;1,83
411,96;1,82
412,217;1,84
412,474;1,84
412,731;1,83
412,988;1,83
413,245;1,82
413,501;1,81
413,758;1,81
414,015;1,79
414,272;1,78
414,529;1,78
414,785;1,78
415,042;1,79
415,299;1,78
415,555;1,76
415,812;1,74
416,069;1,73
416,325;1,73
416,582;1,74
416,838;1,74
417,095;1,72
417,352;1,7
417,608;1,68
417,865;1,67
418,121;1,67
418,378;1,65
418,634;1,67
418,891;1,69
419,147;1,7
419,403;1,7
419,66;1,7
419,916;1,7
420,173;1,7
420,429;1,67
420,685;1,66
420,942;1,67
421,198;1,67
421,454;1,68
421,711;1,68
421,967;1,67
422,223;1,65
422,479;1,66
422,735;1,67
422,992;1,66
423,248;1,66
423,504;1,64
423,76;1,64
