Data from CoccinigliaWhite_Reflection__2__48.txt Node;
"Date: Fri Sep 12 11:38:17 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
539,99;3,36
540,238;3,36
540,486;3,37
540,734;3,37
540,982;3,36
541,23;3,36
541,478;3,38
541,726;3,39
541,974;3,4
542,222;3,4
542,47;3,39
542,718;3,39
542,966;3,4
543,213;3,39
543,461;3,38
543,709;3,38
543,957;3,39
544,205;3,39
544,452;3,4
544,7;3,4
544,948;3,4
545,196;3,4
545,443;3,4
545,691;3,4
545,939;3,4
546,186;3,4
546,434;3,4
546,681;3,39
546,929;3,4
547,176;3,4
547,424;3,4
547,671;3,4
547,919;3,4
548,166;3,4
548,414;3,41
548,661;3,42
548,909;3,42
549,156;3,42
549,404;3,42
549,651;3,42
549,898;3,42
550,146;3,42
550,393;3,43
550,64;3,43
550,888;3,43
551,135;3,43
551,382;3,43
551,629;3,43
551,876;3,43
552,124;3,43
552,371;3,42
552,618;3,42
552,865;3,43
553,112;3,42
553,359;3,41
553,606;3,41
553,854;3,41
554,101;3,4
554,348;3,4
554,595;3,4
554,842;3,4
555,089;3,39
555,336;3,39
555,582;3,37
555,829;3,37
556,076;3,37
556,323;3,38
556,57;3,38
556,817;3,38
557,064;3,37
557,311;3,38
557,557;3,37
557,804;3,37
558,051;3,37
558,298;3,37
558,544;3,37
558,791;3,36
559,038;3,36
559,284;3,36
559,531;3,36
559,778;3,37
560,024;3,36
560,271;3,37
560,517;3,37
560,764;3,38
561,011;3,37
561,257;3,37
561,504;3,38
561,75;3,38
561,997;3,38
562,243;3,38
562,489;3,38
562,736;3,38
562,982;3,38
563,229;3,38
563,475;3,38
563,721;3,39
563,968;3,39
564,214;3,4
564,46;3,4
564,707;3,41
564,953;3,4
565,199;3,41
565,445;3,42
565,691;3,43
565,938;3,43
566,184;3,45
566,43;3,45
566,676;3,46
566,922;3,47
567,168;3,48
567,414;3,49
567,66;3,5
567,906;3,52
568,152;3,54
568,398;3,56
568,644;3,57
568,89;3,58
569,136;3,6
569,382;3,61
569,628;3,62
569,874;3,63
570,12;3,65
570,366;3,66
570,612;3,67
570,857;3,68
571,103;3,7
571,349;3,71
571,595;3,74
571,84;3,75
572,086;3,77
572,332;3,78
572,578;3,81
572,823;3,82
573,069;3,83
573,315;3,84
573,56;3,85
573,806;3,87
574,051;3,89
574,297;3,91
574,542;3,93
574,788;3,95
575,034;3,98
575,279;4
575,524;4,03
575,77;4,05
576,015;4,07
576,261;4,09
576,506;4,1
576,752;4,11
576,997;4,13
577,242;4,13
577,488;4,15
577,733;4,16
577,978;4,19
578,223;4,22
578,469;4,25
578,714;4,28
578,959;4,31
579,204;4,33
579,45;4,36
579,695;4,38
579,94;4,4
580,185;4,42
580,43;4,44
580,675;4,45
580,92;4,47
581,165;4,49
581,41;4,51
581,655;4,53
581,9;4,56
582,145;4,59
582,39;4,62
582,635;4,64
582,88;4,67
583,125;4,69
583,37;4,71
583,615;4,73
583,86;4,75
584,105;4,77
584,349;4,79
584,594;4,81
584,839;4,85
585,084;4,87
585,328;4,91
585,573;4,93
585,818;4,96
586,063;4,99
586,307;5,02
586,552;5,04
586,797;5,07
587,041;5,1
587,286;5,13
587,53;5,16
587,775;5,18
588,019;5,21
588,264;5,24
588,508;5,27
588,753;5,3
588,997;5,33
589,242;5,37
589,486;5,41
589,731;5,45
589,975;5,49
590,22;5,54
590,464;5,59
590,708;5,65
590,953;5,69
591,197;5,75
591,441;5,81
591,685;5,88
591,93;5,93
