Data from CoccinigliaWhite_Reflection__3__49.txt Node;
"Date: Fri Sep 12 11:39:08 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
430,414;2,5
430,669;2,53
430,925;2,5
431,181;2,51
431,436;2,51
431,692;2,49
431,947;2,5
432,203;2,5
432,458;2,51
432,714;2,51
432,97;2,5
433,225;2,5
433,481;2,49
433,736;2,5
433,991;2,5
434,247;2,49
434,502;2,48
434,758;2,47
435,013;2,48
435,268;2,49
435,524;2,49
435,779;2,5
436,034;2,49
436,29;2,51
436,545;2,49
436,8;2,5
437,056;2,5
437,311;2,49
437,566;2,48
437,821;2,48
438,076;2,48
438,331;2,47
438,587;2,45
438,842;2,46
439,097;2,44
439,352;2,46
439,607;2,46
439,862;2,47
440,117;2,47
440,372;2,46
440,627;2,44
440,882;2,43
441,137;2,42
441,392;2,41
441,647;2,41
441,902;2,42
442,157;2,4
442,412;2,42
442,667;2,43
442,921;2,45
443,176;2,45
443,431;2,45
443,686;2,45
443,941;2,46
444,195;2,46
444,45;2,47
444,705;2,46
444,96;2,44
445,214;2,43
445,469;2,45
445,724;2,44
445,978;2,44
446,233;2,45
446,487;2,44
446,742;2,43
446,997;2,41
447,251;2,41
447,506;2,44
447,76;2,42
448,015;2,41
448,269;2,4
448,524;2,39
448,778;2,38
449,033;2,38
449,287;2,38
449,541;2,37
449,796;2,37
450,05;2,37
450,305;2,37
450,559;2,36
450,813;2,35
451,067;2,37
451,322;2,37
451,576;2,36
451,83;2,37
452,084;2,37
452,339;2,37
452,593;2,36
452,847;2,35
453,101;2,36
453,355;2,35
453,609;2,34
453,864;2,34
454,118;2,33
454,372;2,33
454,626;2,33
454,88;2,33
455,134;2,33
455,388;2,34
455,642;2,35
455,896;2,36
456,15;2,36
456,404;2,35
456,658;2,36
456,912;2,36
457,165;2,37
457,419;2,38
457,673;2,39
457,927;2,41
458,181;2,41
458,435;2,39
458,688;2,41
458,942;2,42
459,196;2,42
459,45;2,43
459,703;2,45
459,957;2,44
460,211;2,44
460,464;2,44
460,718;2,42
460,972;2,45
461,225;2,43
461,479;2,45
461,732;2,45
461,986;2,43
462,239;2,44
462,493;2,42
462,746;2,43
463;2,41
463,253;2,4
463,507;2,41
463,76;2,42
464,014;2,42
464,267;2,4
464,52;2,41
464,774;2,41
465,027;2,4
465,28;2,41
465,534;2,41
465,787;2,42
466,04;2,42
466,294;2,39
466,547;2,41
466,8;2,41
467,053;2,41
467,306;2,41
467,56;2,4
467,813;2,4
468,066;2,39
468,319;2,4
468,572;2,4
468,825;2,4
469,078;2,39
469,331;2,39
469,584;2,4
469,837;2,4
470,09;2,4
470,343;2,4
470,596;2,38
470,849;2,38
471,102;2,38
471,355;2,37
471,608;2,37
471,861;2,36
472,114;2,35
472,367;2,33
472,619;2,33
472,872;2,32
473,125;2,31
473,378;2,3
473,631;2,31
473,883;2,31
474,136;2,32
474,389;2,32
474,641;2,31
474,894;2,3
475,147;2,31
475,399;2,3
475,652;2,3
475,905;2,32
476,157;2,31
476,41;2,31
476,662;2,32
476,915;2,31
477,167;2,31
477,42;2,32
477,672;2,34
477,925;2,34
478,177;2,36
478,43;2,37
478,682;2,37
478,934;2,36
479,187;2,36
479,439;2,36
479,691;2,36
479,944;2,38
480,196;2,38
480,448;2,39
480,701;2,39
480,953;2,4
481,205;2,39
481,457;2,39
481,709;2,4
481,962;2,41
482,214;2,42
482,466;2,43
482,718;2,44
482,97;2,45
483,222;2,46
483,474;2,48
483,726;2,49
483,978;2,5
484,23;2,5
484,482;2,51
484,734;2,51
484,986;2,5
485,238;2,5
485,49;2,5
485,742;2,5
485,994;2,5
486,246;2,5
486,498;2,51
486,75;2,51
487,001;2,5
487,253;2,5
487,505;2,5
487,757;2,5
488,009;2,51
488,26;2,5
488,512;2,49
488,764;2,48
489,015;2,46
489,267;2,45
489,519;2,45
489,77;2,43
490,022;2,42
490,274;2,42
490,525;2,43
490,777;2,42
491,028;2,42
491,28;2,42
491,531;2,41
491,783;2,41
492,034;2,41
492,286;2,42
492,537;2,41
492,789;2,41
493,04;2,41
493,291;2,4
493,543;2,4
493,794;2,39
494,045;2,39
494,297;2,39
494,548;2,39
494,799;2,39
495,051;2,4
495,302;2,4
495,553;2,41
495,804;2,41
496,056;2,42
496,307;2,41
496,558;2,42
496,809;2,43
497,06;2,43
497,311;2,43
497,562;2,44
497,813;2,45
498,064;2,44
498,316;2,43
498,567;2,43
498,818;2,43
499,069;2,43
499,319;2,43
499,57;2,44
499,821;2,43
500,072;2,44
500,323;2,44
500,574;2,44
500,825;2,43
501,076;2,43
501,327;2,42
501,577;2,42
501,828;2,42
502,079;2,41
502,33;2,4
502,58;2,41
502,831;2,4
503,082;2,4
503,333;2,4
503,583;2,4
503,834;2,4
504,084;2,4
504,335;2,41
504,586;2,42
504,836;2,4
505,087;2,41
505,337;2,39
505,588;2,39
505,838;2,39
506,089;2,4
506,339;2,41
506,59;2,42
506,84;2,42
507,091;2,42
507,341;2,42
507,591;2,42
507,842;2,42
508,092;2,42
