Data from CoccinigliaWhite_Reflection__0__46.txt Node;
"Date: Fri Sep 12 11:36:39 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
366,483;4,84
366,743;4,84
367,002;4,84
367,262;4,86
367,522;4,87
367,782;4,85
368,042;4,82
368,301;4,83
368,561;4,84
368,821;4,85
369,081;4,85
369,34;4,83
369,6;4,83
369,86;4,84
370,119;4,82
370,379;4,82
370,638;4,83
370,898;4,81
371,158;4,8
371,417;4,8
371,677;4,81
371,936;4,81
372,196;4,82
372,455;4,82
372,715;4,82
372,974;4,82
373,234;4,83
373,493;4,86
373,753;4,86
374,012;4,86
374,271;4,84
374,531;4,85
374,79;4,87
375,049;4,86
375,309;4,84
375,568;4,84
375,827;4,85
376,086;4,84
376,346;4,86
376,605;4,89
376,864;4,9
377,123;4,9
377,383;4,91
377,642;4,89
377,901;4,88
378,16;4,86
378,419;4,86
378,678;4,86
378,937;4,83
379,196;4,81
379,455;4,79
379,714;4,78
379,973;4,77
380,232;4,77
380,491;4,78
380,75;4,79
381,009;4,81
381,268;4,8
381,527;4,8
381,786;4,79
382,045;4,77
382,304;4,77
382,563;4,76
382,821;4,76
383,08;4,77
383,339;4,78
383,598;4,78
383,857;4,78
384,115;4,78
384,374;4,78
384,633;4,8
384,891;4,8
385,15;4,81
385,409;4,82
385,667;4,82
385,926;4,81
386,185;4,82
386,443;4,8
386,702;4,81
386,96;4,81
387,219;4,81
387,477;4,83
387,736;4,82
387,994;4,83
388,253;4,83
388,511;4,82
388,77;4,82
389,028;4,83
389,287;4,84
389,545;4,82
389,803;4,83
390,062;4,83
390,32;4,84
390,578;4,83
390,837;4,84
391,095;4,84
391,353;4,84
391,612;4,84
391,87;4,84
392,128;4,84
392,386;4,83
392,644;4,83
392,903;4,82
393,161;4,8
393,419;4,79
393,677;4,79
393,935;4,78
394,193;4,79
394,451;4,79
394,709;4,78
394,967;4,8
395,225;4,79
395,483;4,79
395,741;4,79
395,999;4,8
396,257;4,79
396,515;4,8
396,773;4,8
397,031;4,79
397,289;4,81
397,547;4,8
397,805;4,8
398,062;4,8
398,32;4,81
398,578;4,81
398,836;4,82
399,094;4,82
399,351;4,82
399,609;4,8
399,867;4,79
400,124;4,79
400,382;4,79
400,64;4,81
400,897;4,81
401,155;4,79
401,413;4,81
401,67;4,79
401,928;4,8
402,185;4,8
402,443;4,8
402,701;4,8
402,958;4,8
403,216;4,81
403,473;4,81
403,73;4,8
403,988;4,81
404,245;4,82
404,503;4,83
404,76;4,83
405,018;4,84
405,275;4,86
405,532;4,86
405,79;4,86
406,047;4,85
406,304;4,84
406,561;4,85
406,819;4,84
407,076;4,85
407,333;4,83
407,59;4,82
407,848;4,83
408,105;4,82
408,362;4,83
408,619;4,83
408,876;4,82
409,133;4,81
409,39;4,83
409,647;4,81
409,904;4,79
410,161;4,8
410,418;4,82
410,675;4,82
410,932;4,81
411,189;4,79
411,446;4,8
411,703;4,8
411,96;4,8
412,217;4,81
412,474;4,82
412,731;4,83
412,988;4,83
413,245;4,83
413,501;4,82
413,758;4,82
414,015;4,81
414,272;4,82
414,529;4,82
414,785;4,83
415,042;4,84
415,299;4,83
415,555;4,83
415,812;4,81
416,069;4,79
416,325;4,8
416,582;4,83
416,838;4,82
417,095;4,8
417,352;4,79
417,608;4,78
417,865;4,77
418,121;4,78
418,378;4,75
418,634;4,76
418,891;4,77
419,147;4,78
419,403;4,77
419,66;4,77
419,916;4,78
420,173;4,77
420,429;4,76
420,685;4,78
420,942;4,78
421,198;4,78
421,454;4,78
421,711;4,79
421,967;4,77
422,223;4,75
422,479;4,76
422,735;4,77
422,992;4,76
423,248;4,76
423,504;4,75
423,76;4,77
424,016;4,75
424,272;4,75
424,528;4,76
424,784;4,75
425,041;4,74
425,297;4,72
425,553;4,72
425,809;4,72
426,065;4,7
426,32;4,71
426,576;4,71
426,832;4,72
427,088;4,69
427,344;4,7
427,6;4,73
427,856;4,73
428,112;4,75
428,368;4,76
428,623;4,74
428,879;4,75
429,135;4,74
429,391;4,74
429,646;4,74
429,902;4,72
430,158;4,73
430,414;4,73
430,669;4,74
430,925;4,74
431,181;4,73
431,436;4,74
431,692;4,74
431,947;4,73
432,203;4,74
432,458;4,75
432,714;4,73
432,97;4,73
433,225;4,72
433,481;4,71
433,736;4,7
433,991;4,71
434,247;4,7
434,502;4,69
434,758;4,69
435,013;4,7
435,268;4,7
435,524;4,7
435,779;4,71
436,034;4,69
436,29;4,7
436,545;4,69
436,8;4,68
437,056;4,67
437,311;4,68
437,566;4,67
437,821;4,68
438,076;4,68
438,331;4,68
438,587;4,67
438,842;4,67
439,097;4,66
439,352;4,68
439,607;4,69
439,862;4,71
440,117;4,71
440,372;4,69
440,627;4,7
440,882;4,71
441,137;4,7
441,392;4,7
441,647;4,7
441,902;4,72
442,157;4,71
442,412;4,72
442,667;4,71
442,921;4,72
443,176;4,73
443,431;4,74
443,686;4,73
443,941;4,74
444,195;4,73
444,45;4,73
444,705;4,74
444,96;4,74
445,214;4,74
445,469;4,75
445,724;4,74
445,978;4,74
446,233;4,73
446,487;4,73
446,742;4,73
446,997;4,72
447,251;4,73
447,506;4,75
447,76;4,76
448,015;4,75
448,269;4,74
448,524;4,73
448,778;4,72
449,033;4,74
449,287;4,74
449,541;4,75
449,796;4,74
450,05;4,73
450,305;4,72
450,559;4,71
450,813;4,7
451,067;4,69
451,322;4,69
451,576;4,7
451,83;4,7
452,084;4,71
452,339;4,71
452,593;4,69
452,847;4,67
453,101;4,68
453,355;4,67
453,609;4,67
453,864;4,67
454,118;4,66
454,372;4,63
454,626;4,64
454,88;4,63
455,134;4,64
455,388;4,65
455,642;4,65
455,896;4,64
456,15;4,65
456,404;4,67
456,658;4,67
