User:;sycur
Spectrometer:;SR400348
"Trigger Integration";"mode: Time"
393,419;3,29
393,677;3,28
393,935;3,28
394,193;3,26
394,451;3,23
394,709;3,2
394,967;3,18
395,225;3,25
395,483;3,3
395,741;3,35
395,999;3,32
396,257;3,37
396,515;3,37
396,773;3,35
397,031;3,33
397,289;3,35
397,547;3,32
397,805;3,34
398,062;3,36
398,32;3,31
398,578;3,35
398,836;3,31
399,094;3,31
399,351;3,26
399,609;3,3
399,867;3,33
400,124;3,38
400,382;3,41
400,64;3,42
400,897;3,44
401,155;3,38
401,413;3,36
401,67;3,33
401,928;3,38
402,185;3,34
402,443;3,36
402,701;3,37
402,958;3,36
403,216;3,34
403,473;3,35
403,73;3,4
403,988;3,43
404,245;3,48
404,503;3,49
404,76;3,54
405,018;3,52
405,275;3,54
405,532;3,56
405,79;3,53
406,047;3,48
406,304;3,42
406,561;3,46
406,819;3,54
407,076;3,5
407,333;3,52
407,59;3,57
407,848;3,56
408,105;3,55
408,362;3,58
408,619;3,6
408,876;3,56
409,133;3,53
409,39;3,54
409,647;3,59
409,904;3,57
410,161;3,59
410,418;3,6
410,675;3,6
410,932;3,55
411,189;3,59
411,446;3,64
411,703;3,64
411,96;3,65
412,217;3,58
412,474;3,58
412,731;3,52
412,988;3,56
413,245;3,6
413,501;3,66
413,758;3,64
414,015;3,64
414,272;3,66
414,529;3,73
414,785;3,67
415,042;3,68
415,299;3,71
415,555;3,66
415,812;3,65
416,069;3,66
416,325;3,7
416,582;3,71
416,838;3,72
417,095;3,71
417,352;3,67
417,608;3,71
417,865;3,72
418,121;3,79
418,378;3,74
418,634;3,75
418,891;3,76
419,147;3,8
419,403;3,84
419,66;3,82
419,916;3,81
420,173;3,8
420,429;3,75
420,685;3,79
420,942;3,81
421,198;3,82
421,454;3,84
421,711;3,82
421,967;3,85
422,223;3,84
422,479;3,88
422,735;3,94
422,992;3,93
423,248;3,94
423,504;3,95
423,76;4,02
424,016;3,98
424,272;3,95
424,528;3,95
424,784;3,9
425,041;3,94
425,297;3,93
425,553;4
425,809;4,03
426,065;3,96
426,32;4,01
426,576;4,02
426,832;3,98
427,088;4
427,344;3,98
427,6;4,04
427,856;4,05
428,112;4,08
428,368;4,09
428,623;4,09
428,879;4,1
429,135;4,07
429,391;4,1
429,646;4,12
429,902;4,14
430,158;4,17
430,414;4,16
430,669;4,21
430,925;4,21
431,181;4,22
431,436;4,32
431,692;4,31
431,947;4,32
432,203;4,3
432,458;4,31
432,714;4,33
432,97;4,34
433,225;4,36
433,481;4,33
433,736;4,33
433,991;4,34
434,247;4,3
434,502;4,34
434,758;4,4
435,013;4,38
435,268;4,38
435,524;4,38
435,779;4,42
436,034;4,43
436,29;4,41
436,545;4,42
436,8;4,39
437,056;4,41
437,311;4,41
437,566;4,48
437,821;4,48
438,076;4,49
438,331;4,51
438,587;4,54
438,842;4,57
439,097;4,63
439,352;4,67
439,607;4,66
439,862;4,59
440,117;4,57
440,372;4,59
440,627;4,63
440,882;4,61
441,137;4,66
441,392;4,7
441,647;4,71
441,902;4,75
442,157;4,79
442,412;4,78
442,667;4,84
442,921;4,85
443,176;4,91
443,431;4,93
443,686;4,93
443,941;4,96
444,195;4,96
444,45;4,9
444,705;4,95
444,96;5,04
445,214;5,07
445,469;5,09
445,724;5,11
445,978;5,11
446,233;5,18
446,487;5,19
446,742;5,16
446,997;5,18
447,251;5,14
447,506;5,09
