User:;sycur
Spectrometer:;SR400348
"Trigger Integration";"mode: Time"
429,902;4,35
430,158;4,4
430,414;4,43
430,669;4,46
430,925;4,47
431,181;4,44
431,436;4,55
431,692;4,53
431,947;4,58
432,203;4,56
432,458;4,56
432,714;4,59
432,97;4,62
433,225;4,64
433,481;4,69
433,736;4,73
433,991;4,73
434,247;4,72
434,502;4,73
434,758;4,79
435,013;4,74
435,268;4,73
435,524;4,68
435,779;4,65
436,034;4,67
436,29;4,68
436,545;4,68
436,8;4,65
437,056;4,68
437,311;4,66
437,566;4,66
437,821;4,68
438,076;4,72
438,331;4,7
438,587;4,74
438,842;4,75
439,097;4,79
439,352;4,81
439,607;4,83
439,862;4,81
440,117;4,84
440,372;4,86
440,627;4,87
440,882;4,93
441,137;4,96
441,392;4,96
441,647;4,96
441,902;5,01
442,157;5,02
442,412;5,02
442,667;5,02
442,921;5,05
443,176;5,1
443,431;5,13
443,686;5,17
443,941;5,16
444,195;5,16
444,45;5,11
444,705;5,13
444,96;5,18
445,214;5,19
445,469;5,19
445,724;5,22
445,978;5,29
446,233;5,33
446,487;5,36
446,742;5,34
446,997;5,33
447,251;5,3
447,506;5,28
447,76;5,31
448,015;5,32
448,269;5,41
448,524;5,41
448,778;5,38
449,033;5,31
449,287;5,3
449,541;5,29
449,796;5,36
450,05;5,4
450,305;5,38
450,559;5,4
450,813;5,43
451,067;5,36
451,322;5,31
451,576;5,26
451,83;5,27
452,084;5,3
452,339;5,36
452,593;5,42
452,847;5,43
453,101;5,39
453,355;5,4
453,609;5,38
453,864;5,37
454,118;5,38
454,372;5,43
454,626;5,45
454,88;5,49
455,134;5,46
455,388;5,39
455,642;5,4
455,896;5,41
456,15;5,35
456,404;5,41
456,658;5,42
456,912;5,41
457,165;5,37
457,419;5,31
457,673;5,26
457,927;5,19
458,181;5,21
458,435;5,24
458,688;5,22
458,942;5,17
459,196;5,16
459,45;5,16
459,703;5,13
459,957;5,13
460,211;5,1
460,464;5,1
460,718;5,09
460,972;5,1
461,225;5,08
461,479;5,09
461,732;5,07
461,986;5,06
462,239;5,06
462,493;5,06
462,746;5,11
463;5,11
463,253;5,15
463,507;5,12
463,76;5,1
464,014;5,14
464,267;5,2
464,52;5,18
464,774;5,19
465,027;5,25
465,28;5,27
465,534;5,25
465,787;5,24
466,04;5,28
466,294;5,25
466,547;5,29
466,8;5,32
467,053;5,3
467,306;5,3
467,56;5,34
467,813;5,36
468,066;5,32
468,319;5,33
468,572;5,3
468,825;5,35
469,078;5,39
469,331;5,37
469,584;5,32
469,837;5,37
470,09;5,38
470,343;5,32
470,596;5,34
470,849;5,34
471,102;5,32
471,355;5,33
471,608;5,37
471,861;5,36
472,114;5,35
472,367;5,35
472,619;5,37
472,872;5,33
473,125;5,32
473,378;5,35
473,631;5,39
473,883;5,4
474,136;5,37
474,389;5,36
474,641;5,39
474,894;5,37
475,147;5,38
475,399;5,38
475,652;5,42
475,905;5,41
476,157;5,43
476,41;5,48
476,662;5,45
476,915;5,46
477,167;5,44
477,42;5,47
477,672;5,5
477,925;5,5
478,177;5,54
478,43;5,59
478,682;5,58
478,934;5,56
479,187;5,59
479,439;5,62
479,691;5,63
479,944;5,64
480,196;5,66
480,448;5,69
480,701;5,72
480,953;5,72
481,205;5,72
481,457;5,74
481,709;5,74
481,962;5,77
482,214;5,79
482,466;5,82
482,718;5,85
482,97;5,88
483,222;5,93
483,474;5,96
483,726;5,99
483,978;6,02
484,23;6,06
484,482;6,08
484,734;6,08
484,986;6,09
485,238;6,1
485,49;6,1
485,742;6,09
485,994;6,09
486,246;6,1
486,498;6,11
486,75;6,12
487,001;6,12
487,253;6,14
487,505;6,13
487,757;6,15
488,009;6,13
488,26;6,14
488,512;6,14
488,764;6,14
489,015;6,12
489,267;6,13
489,519;6,13
489,77;6,14
490,022;6,17
490,274;6,19
490,525;6,21
490,777;6,25
491,028;6,28
491,28;6,27
491,531;6,3
491,783;6,34
492,034;6,36
492,286;6,39
492,537;6,42
492,789;6,47
493,04;6,49
493,291;6,54
493,543;6,56
493,794;6,57
494,045;6,59
494,297;6,57
494,548;6,6
494,799;6,62
495,051;6,59
495,302;6,64
495,553;6,65
495,804;6,68
496,056;6,71
496,307;6,72
496,558;6,78
496,809;6,79
497,06;6,81
497,311;6,83
497,562;6,84
497,813;6,86
498,064;6,89
498,316;6,91
498,567;6,95
498,818;6,95
499,069;6,99
499,319;7,04
499,57;7,09
499,821;7,11
500,072;7,15
500,323;7,2
500,574;7,22
500,825;7,25
501,076;7,29
501,327;7,34
501,577;7,38
501,828;7,38
502,079;7,42
502,33;7,46
502,58;7,5
502,831;7,54
503,082;7,58
503,333;7,62
503,583;7,66
503,834;7,7
504,084;7,75
504,335;7,77
504,586;7,83
504,836;7,87
505,087;7,9
505,337;7,93
505,588;7,96
505,838;8
506,089;8,05
506,339;8,06
506,59;8,09
506,84;8,11
507,091;8,21
507,341;8,23
507,591;8,26
507,842;8,31
508,092;8,34
508,343;8,38
508,593;8,4
508,843;8,43
509,093;8,43
