User:;sycur
Spectrometer:;SR400348
"Trigger Integration";"mode: Time"
414,272;16,45
414,529;16,58
414,785;16,61
415,042;16,65
415,299;16,69
415,555;16,67
415,812;16,62
416,069;16,67
416,325;16,72
416,582;16,72
416,838;16,74
417,095;16,78
417,352;16,8
417,608;16,83
417,865;16,91
418,121;16,95
418,378;16,96
418,634;16,97
418,891;17,06
419,147;17,14
419,403;17,17
419,66;17,2
419,916;17,17
420,173;17,15
420,429;17,17
420,685;17,23
420,942;17,27
421,198;17,34
421,454;17,38
421,711;17,36
421,967;17,38
422,223;17,42
422,479;17,46
422,735;17,57
422,992;17,54
423,248;17,51
423,504;17,56
423,76;17,57
424,016;17,55
424,272;17,51
424,528;17,49
424,784;17,49
425,041;17,55
425,297;17,64
425,553;17,73
425,809;17,75
426,065;17,74
426,32;17,78
426,576;17,81
426,832;17,88
427,088;17,98
427,344;17,98
427,6;18,03
427,856;18,03
428,112;18,01
428,368;18,05
428,623;18,12
428,879;18,12
429,135;18,12
429,391;18,19
429,646;18,29
429,902;18,34
430,158;18,45
430,414;18,47
430,669;18,47
430,925;18,47
431,181;18,49
431,436;18,57
431,692;18,62
431,947;18,71
432,203;18,72
432,458;18,73
432,714;18,83
432,97;18,83
433,225;18,89
433,481;18,98
433,736;19,08
433,991;19,17
434,247;19,21
434,502;19,32
434,758;19,41
435,013;19,44
435,268;19,43
435,524;19,4
435,779;19,5
436,034;19,56
436,29;19,65
436,545;19,69
436,8;19,7
437,056;19,73
437,311;19,7
437,566;19,75
437,821;19,79
438,076;19,82
438,331;19,89
438,587;19,97
438,842;20
439,097;20,04
439,352;20,09
439,607;20,18
439,862;20,23
440,117;20,22
440,372;20,24
440,627;20,35
440,882;20,44
441,137;20,49
441,392;20,57
441,647;20,57
441,902;20,68
442,157;20,8
442,412;20,85
442,667;20,91
442,921;20,95
443,176;21,04
443,431;21,1
443,686;21,16
443,941;21,19
444,195;21,26
444,45;21,33
444,705;21,39
444,96;21,43
445,214;21,46
445,469;21,46
445,724;21,54
445,978;21,61
446,233;21,64
446,487;21,7
446,742;21,64
446,997;21,69
447,251;21,74
447,506;21,76
447,76;21,81
448,015;21,84
448,269;21,92
448,524;21,96
448,778;21,93
449,033;21,94
449,287;21,93
449,541;21,92
449,796;21,89
450,05;21,93
450,305;21,99
450,559;22,01
450,813;22,03
451,067;21,97
