Data from verderameWhite_Reflection__0__22.txt Node;
"Date: Thu Sep 11 16:20:41 CEST 2025 User: sycur";
442,157;73,83
442,412;73,93
442,667;74
442,921;74,08
443,176;74,18
443,431;74,22
443,686;74,3
443,941;74,37
444,195;74,43
444,45;74,52
444,705;74,56
444,96;74,63
445,214;74,67
445,469;74,72
445,724;74,8
445,978;74,87
446,233;74,92
446,487;74,99
446,742;75,05
446,997;75,11
447,251;75,15
447,506;75,21
447,76;75,25
448,015;75,28
448,269;75,33
448,524;75,39
448,778;75,47
449,033;75,54
449,287;75,58
449,541;75,62
449,796;75,65
450,05;75,7
450,305;75,73
450,559;75,77
450,813;75,84
451,067;75,86
451,322;75,92
451,576;75,97
451,83;76,01
452,084;76,05
452,339;76,1
452,593;76,12
452,847;76,16
453,101;76,19
453,355;76,25
453,609;76,28
453,864;76,29
454,118;76,31
454,372;76,33
454,626;76,36
454,88;76,4
455,134;76,43
455,388;76,47
455,642;76,52
455,896;76,58
456,15;76,62
456,404;76,63
456,658;76,65
456,912;76,7
457,165;76,74
457,419;76,78
457,673;76,81
457,927;76,85
458,181;76,91
458,435;76,95
458,688;76,97
458,942;77
459,196;77,02
459,45;77,04
459,703;77,09
459,957;77,12
460,211;77,13
460,464;77,12
460,718;77,15
460,972;77,16
461,225;77,18
461,479;77,21
461,732;77,26
461,986;77,29
462,239;77,3
462,493;77,35
462,746;77,39
463;77,42
463,253;77,43
463,507;77,44
463,76;77,47
464,014;77,48
464,267;77,53
464,52;77,55
464,774;77,59
465,027;77,61
465,28;77,63
465,534;77,63
465,787;77,68
466,04;77,71
466,294;77,73
466,547;77,72
466,8;77,73
467,053;77,72
467,306;77,73
467,56;77,73
467,813;77,72
468,066;77,72
468,319;77,7
468,572;77,72
468,825;77,72
469,078;77,72
469,331;77,75
469,584;77,73
469,837;77,76
470,09;77,76
470,343;77,73
470,596;77,76
470,849;77,76
471,102;77,74
471,355;77,75
471,608;77,76
471,861;77,78
472,114;77,78
472,367;77,82
472,619;77,82
472,872;77,84
473,125;77,83
473,378;77,83
473,631;77,82
473,883;77,84
474,136;77,85
474,389;77,86
474,641;77,84
474,894;77,86
475,147;77,85
475,399;77,86
475,652;77,89
475,905;77,88
476,157;77,9
476,41;77,9
476,662;77,88
476,915;77,87
477,167;77,85
477,42;77,83
477,672;77,82
477,925;77,82
478,177;77,79
478,43;77,78
478,682;77,78
478,934;77,81
479,187;77,78
479,439;77,75
479,691;77,73
479,944;77,71
480,196;77,7
480,448;77,66
480,701;77,63
480,953;77,61
481,205;77,6
481,457;77,56
481,709;77,56
481,962;77,53
482,214;77,49
482,466;77,46
482,718;77,41
482,97;77,38
483,222;77,37
483,474;77,4
483,726;77,44
483,978;77,47
484,23;77,46
484,482;77,46
484,734;77,46
484,986;77,46
485,238;77,44
485,49;77,45
485,742;77,45
485,994;77,43
486,246;77,41
486,498;77,41
486,75;77,4
487,001;77,38
487,253;77,39
487,505;77,4
487,757;77,4
488,009;77,41
488,26;77,4
488,512;77,35
488,764;77,29
489,015;77,2
489,267;77,11
489,519;77,03
489,77;77,01
490,022;76,95
490,274;76,91
490,525;76,88
490,777;76,82
491,028;76,77
491,28;76,75
491,531;76,71
491,783;76,65
492,034;76,62
492,286;76,56
492,537;76,5
492,789;76,43
493,04;76,39
493,291;76,34
493,543;76,29
493,794;76,27
494,045;76,25
494,297;76,24
494,548;76,19
494,799;76,16
495,051;76,09
495,302;76,05
495,553;76,01
495,804;75,98
496,056;75,93
496,307;75,89
496,558;75,83
496,809;75,8
497,06;75,74
