Data from verderameWhite_Reflection__1__23.txt Node;
"Date: Thu Sep 11 16:21:53 CEST 2025 User: sycur";
489,267;30,17
489,519;30,2
489,77;30,25
490,022;30,31
490,274;30,36
490,525;30,42
490,777;30,47
491,028;30,53
491,28;30,6
491,531;30,66
491,783;30,71
492,034;30,77
492,286;30,82
492,537;30,87
492,789;30,93
493,04;30,99
493,291;31,06
493,543;31,15
493,794;31,21
494,045;31,28
494,297;31,35
494,548;31,41
494,799;31,48
495,051;31,54
495,302;31,6
495,553;31,67
495,804;31,73
496,056;31,78
496,307;31,83
496,558;31,87
496,809;31,94
497,06;31,99
497,311;32,06
497,562;32,12
497,813;32,17
498,064;32,24
498,316;32,28
498,567;32,32
498,818;32,35
499,069;32,4
499,319;32,44
499,57;32,49
499,821;32,53
500,072;32,57
500,323;32,62
500,574;32,66
500,825;32,68
501,076;32,74
501,327;32,8
501,577;32,85
501,828;32,88
502,079;32,92
502,33;32,97
502,58;33
502,831;33,04
503,082;33,09
503,333;33,11
503,583;33,17
503,834;33,2
504,084;33,24
504,335;33,28
504,586;33,31
504,836;33,34
505,087;33,37
505,337;33,39
505,588;33,42
505,838;33,45
506,089;33,49
506,339;33,5
506,59;33,52
506,84;33,53
507,091;33,57
507,341;33,58
507,591;33,61
507,842;33,63
508,092;33,64
508,343;33,65
508,593;33,68
508,843;33,68
509,093;33,7
509,344;33,7
509,594;33,71
509,844;33,73
510,094;33,74
510,345;33,76
510,595;33,77
510,845;33,78
511,095;33,77
511,345;33,78
511,595;33,79
511,845;33,8
512,095;33,81
512,345;33,81
512,595;33,81
512,845;33,8
513,095;33,82
513,345;33,81
513,595;33,8
513,845;33,79
514,095;33,81
514,345;33,8
514,595;33,83
514,845;33,83
515,095;33,82
515,345;33,81
515,594;33,82
515,844;33,82
516,094;33,82
516,344;33,83
516,593;33,82
516,843;33,8
517,093;33,79
517,343;33,78
517,592;33,78
517,842;33,77
518,092;33,76
518,341;33,75
518,591;33,76
518,84;33,76
519,09;33,74
519,34;33,71
519,589;33,7
519,839;33,66
520,088;33,66
520,338;33,64
520,587;33,63
520,836;33,59
521,086;33,56
521,335;33,53
521,585;33,51
521,834;33,47
522,083;33,46
522,333;33,43
522,582;33,42
522,831;33,4
523,081;33,38
523,33;33,35
523,579;33,32
523,828;33,27
524,078;33,24
524,327;33,2
524,576;33,19
524,825;33,17
525,074;33,14
525,323;33,09
525,573;33,06
525,822;33,03
526,071;33
526,32;32,98
526,569;32,94
526,818;32,91
527,067;32,88
527,316;32,84
527,565;32,8
527,814;32,75
528,063;32,71
528,312;32,66
528,56;32,62
528,809;32,58
529,058;32,55
529,307;32,51
529,556;32,47
529,805;32,41
