Data from verderameWhite_Reflection__3__25.txt Node;
"Date: Thu Sep 11 16:26:49 CEST 2025 User: sycur";
426,832;12,6
427,088;12,69
427,344;12,76
427,6;12,85
427,856;12,92
428,112;13,01
428,368;13,09
428,623;13,16
428,879;13,22
429,135;13,27
429,391;13,34
429,646;13,39
429,902;13,44
430,158;13,54
430,414;13,6
430,669;13,67
430,925;13,77
431,181;13,83
431,436;13,9
431,692;13,97
431,947;14,04
432,203;14,13
432,458;14,19
432,714;14,26
432,97;14,33
433,225;14,39
433,481;14,45
433,736;14,54
433,991;14,63
434,247;14,72
434,502;14,81
434,758;14,93
435,013;15,01
435,268;15,12
435,524;15,2
435,779;15,3
436,034;15,4
436,29;15,5
436,545;15,59
436,8;15,7
437,056;15,79
437,311;15,9
437,566;16,01
437,821;16,11
438,076;16,22
438,331;16,32
438,587;16,45
438,842;16,57
439,097;16,69
439,352;16,82
439,607;16,94
439,862;17,08
440,117;17,19
440,372;17,34
440,627;17,47
440,882;17,59
441,137;17,73
441,392;17,86
441,647;17,98
441,902;18,13
442,157;18,25
442,412;18,41
442,667;18,51
442,921;18,64
443,176;18,76
443,431;18,9
443,686;19,03
443,941;19,17
444,195;19,33
444,45;19,49
444,705;19,61
444,96;19,75
445,214;19,89
445,469;20,02
445,724;20,16
445,978;20,29
446,233;20,42
446,487;20,55
446,742;20,69
446,997;20,84
447,251;20,97
447,506;21,12
447,76;21,22
448,015;21,39
448,269;21,52
448,524;21,69
448,778;21,83
449,033;21,99
449,287;22,13
449,541;22,26
449,796;22,4
450,05;22,54
450,305;22,71
450,559;22,87
450,813;23,02
451,067;23,13
451,322;23,31
451,576;23,49
451,83;23,64
452,084;23,8
452,339;23,97
452,593;24,13
452,847;24,3
453,101;24,49
453,355;24,65
453,609;24,85
453,864;25,02
454,118;25,21
454,372;25,37
454,626;25,57
454,88;25,77
455,134;25,96
455,388;26,17
455,642;26,36
455,896;26,57
456,15;26,79
456,404;26,99
456,658;27,19
456,912;27,39
457,165;27,61
457,419;27,83
457,673;28,02
457,927;28,24
458,181;28,49
458,435;28,7
458,688;28,93
458,942;29,13
459,196;29,32
459,45;29,52
459,703;29,74
459,957;29,94
460,211;30,14
460,464;30,31
460,718;30,52
460,972;30,74
461,225;30,96
461,479;31,18
461,732;31,42
461,986;31,63
462,239;31,84
462,493;32,1
462,746;32,35
463;32,61
463,253;32,85
463,507;33,05
463,76;33,28
464,014;33,49
464,267;33,73
464,52;33,97
464,774;34,22
465,027;34,44
465,28;34,66
465,534;34,89
465,787;35,13
466,04;35,34
466,294;35,56
466,547;35,76
466,8;35,98
467,053;36,18
467,306;36,41
467,56;36,61
467,813;36,81
468,066;37,03
468,319;37,23
468,572;37,44
468,825;37,66
469,078;37,87
469,331;38,14
469,584;38,32
469,837;38,56
470,09;38,78
470,343;39
470,596;39,25
470,849;39,47
471,102;39,69
471,355;39,93
471,608;40,16
471,861;40,41
472,114;40,63
472,367;40,89
472,619;41,1
472,872;41,35
473,125;41,56
473,378;41,76
473,631;41,97
473,883;42,17
474,136;42,38
474,389;42,57
474,641;42,73
474,894;42,94
475,147;43,12
475,399;43,3
475,652;43,5
475,905;43,69
476,157;43,88
476,41;44,06
476,662;44,23
476,915;44,4
477,167;44,55
477,42;44,72
477,672;44,88
477,925;45,06
478,177;45,22
478,43;45,38
478,682;45,53
478,934;45,71
479,187;45,87
479,439;46,01
479,691;46,17
479,944;46,33
480,196;46,49
480,448;46,61
480,701;46,74
480,953;46,88
481,205;47
481,457;47,13
481,709;47,28
481,962;47,41
482,214;47,55
482,466;47,69
482,718;47,83
482,97;47,98
483,222;48,12
483,474;48,28
483,726;48,43
483,978;48,56
484,23;48,67
484,482;48,77
484,734;48,86
484,986;48,94
485,238;49,01
485,49;49,08
485,742;49,17
485,994;49,23
486,246;49,27
486,498;49,33
486,75;49,38
487,001;49,43
487,253;49,49
487,505;49,54
487,757;49,58
488,009;49,63
488,26;49,67
488,512;49,69
488,764;49,7
489,015;49,7
489,267;49,71
489,519;49,7
489,77;49,7
490,022;49,7
490,274;49,71
490,525;49,73
490,777;49,73
491,028;49,74
491,28;49,74
491,531;49,75
491,783;49,74
492,034;49,75
492,286;49,74
492,537;49,72
492,789;49,7
493,04;49,68
493,291;49,67
493,543;49,66
493,794;49,65
494,045;49,63
494,297;49,62
494,548;49,57
494,799;49,54
495,051;49,5
495,302;49,49
495,553;49,46
495,804;49,4
496,056;49,36
496,307;49,31
496,558;49,25
496,809;49,2
497,06;49,15
497,311;49,08
497,562;49,02
497,813;48,96
498,064;48,91
498,316;48,84
498,567;48,75
498,818;48,66
499,069;48,58
499,319;48,49
499,57;48,38
499,821;48,3
500,072;48,22
500,323;48,12
500,574;48,02
500,825;47,9
501,076;47,8
501,327;47,7
501,577;47,59
501,828;47,48
502,079;47,38
502,33;47,25
502,58;47,11
502,831;47,01
503,082;46,9
503,333;46,75
503,583;46,64
503,834;46,53
504,084;46,39
504,335;46,24
504,586;46,11
504,836;45,98
505,087;45,82
505,337;45,68
505,588;45,53
505,838;45,38
506,089;45,24
506,339;45,08
506,59;44,91
506,84;44,75
507,091;44,6
507,341;44,43
507,591;44,27
507,842;44,1
508,092;43,92
508,343;43,74
508,593;43,57
508,843;43,38
509,093;43,2
