Data from verderameWhite_Reflection__4__26.txt Node;
"Date: Thu Sep 11 16:28:01 CEST 2025 User: sycur";
471,861;66,44
472,114;66,48
472,367;66,54
472,619;66,58
472,872;66,64
473,125;66,66
473,378;66,74
473,631;66,76
473,883;66,81
474,136;66,83
474,389;66,88
474,641;66,9
474,894;66,93
475,147;66,96
475,399;67
475,652;67,04
475,905;67,07
476,157;67,12
476,41;67,16
476,662;67,2
476,915;67,24
477,167;67,26
477,42;67,28
477,672;67,3
477,925;67,34
478,177;67,37
478,43;67,41
478,682;67,42
478,934;67,48
479,187;67,52
479,439;67,57
479,691;67,59
479,944;67,61
480,196;67,63
480,448;67,64
480,701;67,65
480,953;67,67
481,205;67,69
481,457;67,69
481,709;67,71
481,962;67,69
482,214;67,67
482,466;67,69
482,718;67,68
482,97;67,68
483,222;67,72
483,474;67,74
483,726;67,78
483,978;67,82
484,23;67,86
484,482;67,87
484,734;67,89
484,986;67,9
485,238;67,93
485,49;67,96
485,742;67,99
485,994;68,01
486,246;68,02
486,498;68,04
486,75;68,06
487,001;68,08
487,253;68,13
487,505;68,16
487,757;68,19
488,009;68,23
488,26;68,26
488,512;68,27
488,764;68,29
489,015;68,27
489,267;68,26
489,519;68,21
489,77;68,2
490,022;68,21
490,274;68,21
490,525;68,21
490,777;68,21
491,028;68,19
491,28;68,21
491,531;68,21
491,783;68,18
492,034;68,19
492,286;68,2
492,537;68,17
492,789;68,16
493,04;68,15
493,291;68,16
493,543;68,16
493,794;68,16
494,045;68,15
494,297;68,15
494,548;68,13
494,799;68,13
495,051;68,13
495,302;68,12
495,553;68,12
495,804;68,11
496,056;68,09
496,307;68,08
496,558;68,06
496,809;68,05
497,06;68,04
497,311;68,01
497,562;67,99
497,813;67,98
498,064;67,99
498,316;67,97
498,567;67,94
498,818;67,92
499,069;67,9
499,319;67,87
499,57;67,86
499,821;67,85
500,072;67,84
500,323;67,84
500,574;67,82
500,825;67,79
501,076;67,78
501,327;67,78
501,577;67,75
501,828;67,74
502,079;67,73
502,33;67,7
502,58;67,68
502,831;67,67
503,082;67,66
503,333;67,62
503,583;67,62
503,834;67,61
504,084;67,6
504,335;67,59
504,586;67,56
504,836;67,56
505,087;67,54
505,337;67,51
505,588;67,45
505,838;67,43
506,089;67,43
506,339;67,4
506,59;67,35
506,84;67,33
507,091;67,3
507,341;67,27
507,591;67,25
507,842;67,22
508,092;67,17
508,343;67,14
508,593;67,1
508,843;67,05
509,093;67,02
509,344;66,98
509,594;66,95
509,844;66,93
510,094;66,88
510,345;66,85
510,595;66,82
510,845;66,78
511,095;66,74
511,345;66,68
511,595;66,65
511,845;66,61
512,095;66,58
512,345;66,52
512,595;66,48
512,845;66,44
513,095;66,43
513,345;66,4
513,595;66,32
513,845;66,27
514,095;66,23
514,345;66,19
514,595;66,15
514,845;66,09
515,095;66,04
515,345;66
515,594;65,94
515,844;65,91
516,094;65,87
516,344;65,83
516,593;65,77
516,843;65,72
517,093;65,67
517,343;65,62
517,592;65,6
517,842;65,56
518,092;65,51
518,341;65,46
518,591;65,43
518,84;65,42
519,09;65,37
519,34;65,33
519,589;65,28
519,839;65,24
520,088;65,2
520,338;65,17
520,587;65,12
520,836;65,08
521,086;65
521,335;64,96
521,585;64,91
521,834;64,86
522,083;64,81
522,333;64,77
522,582;64,71
522,831;64,65
523,081;64,59
