Data from GaranzaWhite_Reflection__2__42.txt Node;
428,368;7,27
428,623;7,27
428,879;7,27
429,135;7,27
429,391;7,27
429,646;7,25
429,902;7,22
430,158;7,22
430,414;7,21
430,669;7,21
430,925;7,21
431,181;7,21
431,436;7,23
431,692;7,22
431,947;7,21
432,203;7,2
432,458;7,2
432,714;7,19
432,97;7,19
433,225;7,16
433,481;7,14
433,736;7,12
433,991;7,11
434,247;7,11
434,502;7,09
434,758;7,09
435,013;7,1
435,268;7,11
435,524;7,12
435,779;7,12
436,034;7,1
436,29;7,09
436,545;7,06
436,8;7,04
437,056;7,01
437,311;7,01
437,566;7
437,821;7,01
438,076;6,99
438,331;6,98
438,587;6,98
438,842;6,98
439,097;6,96
439,352;6,95
439,607;6,94
439,862;6,94
440,117;6,93
440,372;6,91
440,627;6,9
440,882;6,87
441,137;6,85
441,392;6,85
441,647;6,86
441,902;6,88
442,157;6,88
442,412;6,88
442,667;6,87
442,921;6,88
443,176;6,87
443,431;6,87
443,686;6,86
443,941;6,86
444,195;6,85
444,45;6,86
444,705;6,85
444,96;6,82
445,214;6,81
445,469;6,8
445,724;6,78
445,978;6,77
446,233;6,76
446,487;6,75
446,742;6,72
446,997;6,7
447,251;6,66
447,506;6,66
447,76;6,65
448,015;6,64
448,269;6,62
448,524;6,6
448,778;6,57
449,033;6,57
449,287;6,56
449,541;6,54
449,796;6,51
450,05;6,51
450,305;6,52
450,559;6,51
450,813;6,49
451,067;6,47
451,322;6,47
451,576;6,46
451,83;6,46
452,084;6,44
452,339;6,42
452,593;6,43
452,847;6,39
453,101;6,38
453,355;6,37
453,609;6,36
453,864;6,35
454,118;6,36
454,372;6,36
454,626;6,34
454,88;6,34
455,134;6,34
455,388;6,35
455,642;6,33
455,896;6,32
456,15;6,32
456,404;6,33
456,658;6,31
456,912;6,32
457,165;6,33
457,419;6,33
457,673;6,36
457,927;6,35
458,181;6,34
458,435;6,34
458,688;6,33
458,942;6,31
459,196;6,3
459,45;6,28
459,703;6,27
459,957;6,27
460,211;6,25
460,464;6,27
460,718;6,24
460,972;6,24
461,225;6,24
461,479;6,23
461,732;6,21
461,986;6,2
462,239;6,18
462,493;6,18
462,746;6,19
463;6,15
463,253;6,17
463,507;6,19
463,76;6,18
464,014;6,18
464,267;6,18
464,52;6,18
464,774;6,18
465,027;6,18
465,28;6,19
465,534;6,18
465,787;6,16
466,04;6,16
466,294;6,15
466,547;6,15
466,8;6,16
467,053;6,15
467,306;6,16
467,56;6,16
467,813;6,13
468,066;6,12
468,319;6,14
468,572;6,12
468,825;6,1
469,078;6,08
469,331;6,08
469,584;6,08
469,837;6,08
470,09;6,07
470,343;6,07
470,596;6,06
470,849;6,07
471,102;6,06
471,355;6,06
471,608;6,06
471,861;6,05
472,114;6,03
472,367;6,03
472,619;6,01
472,872;6,01
473,125;6,01
473,378;6,01
473,631;6,01
473,883;6
474,136;6,01
474,389;6,02
474,641;6,01
474,894;6,02
475,147;6,02
475,399;6,03
475,652;6,02
475,905;6,03
476,157;6,02
476,41;6,02
476,662;6,03
476,915;6,04
477,167;6,04
477,42;6,05
477,672;6,07
477,925;6,09
478,177;6,1
478,43;6,11
478,682;6,11
478,934;6,11
479,187;6,13
479,439;6,13
479,691;6,13
479,944;6,15
480,196;6,15
480,448;6,15
480,701;6,15
480,953;6,16
481,205;6,16
481,457;6,17
481,709;6,2
481,962;6,21
482,214;6,23
482,466;6,28
482,718;6,34
482,97;6,41
483,222;6,46
483,474;6,52
483,726;6,56
483,978;6,61
484,23;6,63
484,482;6,64
484,734;6,65
484,986;6,66
485,238;6,66
485,49;6,67
485,742;6,67
485,994;6,68
486,246;6,68
486,498;6,68
486,75;6,68
487,001;6,68
487,253;6,68
487,505;6,67
487,757;6,64
488,009;6,61
488,26;6,57
488,512;6,53
488,764;6,47
489,015;6,42
489,267;6,37
489,519;6,35
489,77;6,32
490,022;6,3
490,274;6,28
490,525;6,29
490,777;6,27
491,028;6,27
491,28;6,27
491,531;6,27
491,783;6,26
492,034;6,27
492,286;6,26
492,537;6,26
492,789;6,25
493,04;6,26
493,291;6,26
493,543;6,25
493,794;6,24
494,045;6,26
494,297;6,26
494,548;6,27
494,799;6,25
495,051;6,26
495,302;6,27
495,553;6,28
495,804;6,28
496,056;6,29
496,307;6,3
496,558;6,3
496,809;6,32
497,06;6,33
497,311;6,34
497,562;6,35
497,813;6,36
498,064;6,37
498,316;6,37
498,567;6,36
498,818;6,37
499,069;6,37
499,319;6,37
499,57;6,38
499,821;6,38
500,072;6,39
500,323;6,4
500,574;6,4
500,825;6,4
501,076;6,4
501,327;6,4
501,577;6,41
501,828;6,4
502,079;6,4
502,33;6,4
502,58;6,4
502,831;6,4
503,082;6,4
503,333;6,41
503,583;6,4
503,834;6,42
504,084;6,44
504,335;6,45
504,586;6,45
504,836;6,44
505,087;6,45
505,337;6,44
505,588;6,44
505,838;6,46
506,089;6,48
506,339;6,48
506,59;6,49
506,84;6,48
507,091;6,49
507,341;6,49
507,591;6,5
507,842;6,5
508,092;6,5
508,343;6,49
508,593;6,5
508,843;6,51
509,093;6,52
509,344;6,51
509,594;6,52
509,844;6,53
510,094;6,54
510,345;6,54
510,595;6,56
510,845;6,56
511,095;6,56
511,345;6,55
511,595;6,56
511,845;6,56
512,095;6,57
512,345;6,59
512,595;6,6
512,845;6,6
513,095;6,62
513,345;6,64
513,595;6,66
513,845;6,66
514,095;6,66
514,345;6,65
514,595;6,66
514,845;6,67
515,095;6,68
515,345;6,7
515,594;6,71
515,844;6,72
516,094;6,74
516,344;6,74
516,593;6,75
516,843;6,75
517,093;6,76
517,343;6,78
517,592;6,78
517,842;6,79
518,092;6,8
518,341;6,81
518,591;6,81
518,84;6,83
519,09;6,85
519,34;6,87
519,589;6,9
519,839;6,91
520,088;6,93
520,338;6,94
520,587;6,95
520,836;6,95
521,086;6,97
521,335;6,97
521,585;6,99
521,834;7,01
522,083;7,03
522,333;7,04
522,582;7,06
522,831;7,07
523,081;7,08
523,33;7,1
523,579;7,12
523,828;7,14
524,078;7,16
524,327;7,17
524,576;7,2
524,825;7,2
525,074;7,22
525,323;7,23
525,573;7,25
525,822;7,28
526,071;7,31
526,32;7,34
526,569;7,37
526,818;7,4
527,067;7,41
527,316;7,43
527,565;7,46
527,814;7,48
528,063;7,5
528,312;7,53
528,56;7,56
528,809;7,56
529,058;7,58
529,307;7,6
529,556;7,62
529,805;7,63
530,053;7,66
530,302;7,69
530,551;7,72
530,8;7,73
531,048;7,76
531,297;7,77
531,546;7,78
531,794;7,79
532,043;7,81
532,292;7,84
532,54;7,87
532,789;7,88
533,037;7,91
533,286;7,94
533,535;7,96
533,783;7,97
534,032;8,01
534,28;8,02
534,528;8,04
534,777;8,07
535,025;8,09
535,274;8,11
535,522;8,12
535,771;8,14
536,019;8,17
536,267;8,17
536,516;8,19
536,764;8,23
537,012;8,25
537,26;8,28
537,509;8,3
537,757;8,32
538,005;8,35
538,253;8,37
538,501;8,39
538,75;8,4
538,998;8,43
539,246;8,45
539,494;8,47
539,742;8,5
539,99;8,52
540,238;8,55
540,486;8,57
540,734;8,59
540,982;8,61
541,23;8,63
541,478;8,66
541,726;8,69
541,974;8,71
542,222;8,74
542,47;8,75
542,718;8,77
542,966;8,8
543,213;8,81
543,461;8,83
543,709;8,85
543,957;8,88
544,205;8,9
544,452;8,92
544,7;8,95
544,948;8,97
545,196;8,99
545,443;9,02
545,691;9,04
545,939;9,09
546,186;9,11
546,434;9,13
546,681;9,16
546,929;9,19
547,176;9,21
547,424;9,24
547,671;9,27
547,919;9,31
548,166;9,35
548,414;9,39
548,661;9,41
548,909;9,45
549,156;9,48
549,404;9,52
549,651;9,56
549,898;9,6
550,146;9,63
550,393;9,68
550,64;9,71
550,888;9,76
551,135;9,79
551,382;9,84
551,629;9,89
551,876;9,94
552,124;9,98
552,371;10,02
552,618;10,05
552,865;10,1
553,112;10,13
553,359;10,17
553,606;10,21
553,854;10,26
554,101;10,31
554,348;10,35
554,595;10,38
554,842;10,42
555,089;10,47
555,336;10,52
555,582;10,56
555,829;10,6
556,076;10,63
556,323;10,68
556,57;10,72
556,817;10,76
557,064;10,79
557,311;10,84
557,557;10,88
557,804;10,94
558,051;10,99
558,298;11,05
558,544;11,1
558,791;11,15
559,038;11,21
559,284;11,27
559,531;11,33
559,778;11,4
560,024;11,45
560,271;11,51
560,517;11,57
560,764;11,64
561,011;11,71
561,257;11,77
561,504;11,83
561,75;11,91
561,997;11,98
562,243;12,06
