Data from GaranzaWhite_Reflection__3__43.txt Node;
383,08;17,32
383,339;17,36
383,598;17,38
383,857;17,43
384,115;17,49
384,374;17,54
384,633;17,57
384,891;17,62
385,15;17,67
385,409;17,74
385,667;17,78
385,926;17,8
386,185;17,81
386,443;17,85
386,702;17,88
386,96;17,92
387,219;17,94
387,477;17,99
387,736;18,01
387,994;18,07
388,253;18,1
388,511;18,15
388,77;18,18
389,028;18,22
389,287;18,26
389,545;18,29
389,803;18,31
390,062;18,36
390,32;18,38
390,578;18,4
390,837;18,41
391,095;18,45
391,353;18,49
391,612;18,52
391,87;18,54
392,128;18,6
392,386;18,63
392,644;18,66
392,903;18,68
393,161;18,7
393,419;18,72
393,677;18,75
393,935;18,74
394,193;18,77
394,451;18,81
394,709;18,82
394,967;18,84
395,225;18,87
395,483;18,89
395,741;18,93
395,999;18,97
396,257;18,98
396,515;18,99
396,773;19,02
397,031;19,04
397,289;19,08
397,547;19,07
397,805;19,08
398,062;19,12
398,32;19,15
398,578;19,18
398,836;19,2
399,094;19,2
399,351;19,21
399,609;19,19
399,867;19,19
400,124;19,2
400,382;19,21
400,64;19,21
400,897;19,21
401,155;19,2
401,413;19,21
401,67;19,21
401,928;19,24
402,185;19,24
402,443;19,28
402,701;19,27
402,958;19,3
403,216;19,31
403,473;19,31
403,73;19,3
403,988;19,31
404,245;19,31
404,503;19,35
404,76;19,37
405,018;19,4
405,275;19,41
405,532;19,43
405,79;19,43
406,047;19,46
406,304;19,47
406,561;19,53
406,819;19,54
407,076;19,57
407,333;19,55
407,59;19,58
407,848;19,56
408,105;19,57
408,362;19,58
408,619;19,61
408,876;19,61
409,133;19,65
409,39;19,66
409,647;19,67
409,904;19,68
410,161;19,71
410,418;19,72
410,675;19,75
410,932;19,75
411,189;19,76
411,446;19,77
411,703;19,78
411,96;19,76
412,217;19,76
412,474;19,75
412,731;19,78
412,988;19,78
413,245;19,8
413,501;19,79
413,758;19,79
414,015;19,77
414,272;19,77
414,529;19,76
414,785;19,78
415,042;19,78
415,299;19,76
415,555;19,74
415,812;19,73
416,069;19,74
416,325;19,75
416,582;19,75
416,838;19,75
417,095;19,7
417,352;19,7
417,608;19,7
417,865;19,7
418,121;19,69
418,378;19,72
418,634;19,72
418,891;19,76
419,147;19,79
419,403;19,81
419,66;19,84
419,916;19,85
420,173;19,86
420,429;19,87
420,685;19,88
420,942;19,89
421,198;19,89
421,454;19,89
421,711;19,9
421,967;19,93
422,223;19,91
422,479;19,94
422,735;19,93
422,992;19,93
423,248;19,93
423,504;19,92
423,76;19,9
424,016;19,9
424,272;19,87
424,528;19,85
424,784;19,83
425,041;19,82
425,297;19,81
425,553;19,79
425,809;19,79
426,065;19,79
426,32;19,8
426,576;19,82
426,832;19,81
427,088;19,81
427,344;19,77
427,6;19,77
427,856;19,78
428,112;19,79
428,368;19,79
428,623;19,8
428,879;19,83
429,135;19,81
429,391;19,78
429,646;19,79
429,902;19,75
430,158;19,76
430,414;19,74
430,669;19,73
430,925;19,72
431,181;19,71
431,436;19,7
431,692;19,68
431,947;19,64
432,203;19,64
432,458;19,61
432,714;19,61
432,97;19,59
433,225;19,57
433,481;19,53
433,736;19,54
433,991;19,51
434,247;19,48
434,502;19,48
434,758;19,48
435,013;19,47
435,268;19,48
435,524;19,45
435,779;19,45
436,034;19,44
436,29;19,43
436,545;19,4
436,8;19,38
437,056;19,36
437,311;19,35
437,566;19,32
437,821;19,32
438,076;19,3
438,331;19,31
438,587;19,31
438,842;19,33
439,097;19,31
439,352;19,32
439,607;19,32
439,862;19,33
440,117;19,34
440,372;19,33
440,627;19,32
440,882;19,33
441,137;19,32
441,392;19,31
441,647;19,31
441,902;19,33
442,157;19,32
442,412;19,34
442,667;19,33
442,921;19,33
443,176;19,33
443,431;19,33
443,686;19,3
443,941;19,28
444,195;19,25
444,45;19,26
444,705;19,22
444,96;19,21
445,214;19,18
445,469;19,14
445,724;19,1
445,978;19,08
446,233;19,04
446,487;19
446,742;18,98
446,997;18,95
447,251;18,89
447,506;18,87
447,76;18,82
448,015;18,82
448,269;18,78
448,524;18,75
448,778;18,7
449,033;18,67
449,287;18,66
449,541;18,62
449,796;18,56
450,05;18,55
450,305;18,51
450,559;18,48
450,813;18,45
451,067;18,43
451,322;18,41
451,576;18,39
451,83;18,38
452,084;18,35
452,339;18,3
452,593;18,29
452,847;18,26
453,101;18,26
453,355;18,21
453,609;18,19
453,864;18,18
454,118;18,18
454,372;18,17
454,626;18,15
454,88;18,13
455,134;18,12
455,388;18,11
455,642;18,11
455,896;18,09
456,15;18,08
456,404;18,05
456,658;18,05
456,912;18,03
457,165;18,02
457,419;18,03
457,673;18,04
457,927;18,03
458,181;18,03
458,435;18
458,688;18
458,942;17,99
459,196;17,98
459,45;17,94
459,703;17,93
459,957;17,91
460,211;17,91
460,464;17,9
460,718;17,88
460,972;17,86
