Data from GaranzaWhite_Reflection__1__41.txt Node;
436,034;5,13
436,29;5,12
436,545;5,09
436,8;5,08
437,056;5,06
437,311;5,07
437,566;5,08
437,821;5,08
438,076;5,07
438,331;5,07
438,587;5,06
438,842;5,05
439,097;5,03
439,352;5,05
439,607;5,05
439,862;5,05
440,117;5,04
440,372;5,02
440,627;5
440,882;5
441,137;4,98
441,392;4,97
441,647;4,98
441,902;4,99
442,157;4,98
442,412;4,99
442,667;4,97
442,921;4,97
443,176;4,97
443,431;4,98
443,686;4,96
443,941;4,96
444,195;4,95
444,45;4,95
444,705;4,92
444,96;4,9
445,214;4,89
445,469;4,9
445,724;4,89
445,978;4,91
446,233;4,88
446,487;4,87
446,742;4,87
446,997;4,84
447,251;4,83
447,506;4,83
447,76;4,8
448,015;4,8
448,269;4,79
448,524;4,78
448,778;4,76
449,033;4,75
449,287;4,74
449,541;4,74
449,796;4,73
450,05;4,73
450,305;4,73
450,559;4,72
450,813;4,72
451,067;4,7
451,322;4,67
451,576;4,67
451,83;4,66
452,084;4,66
452,339;4,66
452,593;4,65
452,847;4,62
453,101;4,62
453,355;4,62
453,609;4,61
453,864;4,6
454,118;4,59
454,372;4,59
454,626;4,59
454,88;4,59
455,134;4,57
455,388;4,57
455,642;4,57
455,896;4,55
456,15;4,52
456,404;4,52
456,658;4,51
456,912;4,5
457,165;4,51
457,419;4,51
457,673;4,51
457,927;4,52
458,181;4,51
458,435;4,52
458,688;4,52
458,942;4,5
459,196;4,5
459,45;4,48
459,703;4,48
459,957;4,48
460,211;4,45
460,464;4,46
460,718;4,44
460,972;4,43
461,225;4,42
461,479;4,44
461,732;4,43
461,986;4,43
462,239;4,43
462,493;4,43
462,746;4,43
463;4,41
463,253;4,4
463,507;4,41
463,76;4,39
464,014;4,39
464,267;4,38
464,52;4,37
464,774;4,36
465,027;4,35
465,28;4,34
465,534;4,35
465,787;4,34
466,04;4,33
466,294;4,32
466,547;4,34
466,8;4,34
467,053;4,33
467,306;4,33
467,56;4,31
467,813;4,3
468,066;4,27
468,319;4,28
468,572;4,29
468,825;4,28
469,078;4,27
469,331;4,27
469,584;4,26
469,837;4,26
470,09;4,27
470,343;4,27
470,596;4,26
470,849;4,25
471,102;4,25
471,355;4,25
471,608;4,25
471,861;4,22
472,114;4,21
472,367;4,21
472,619;4,21
472,872;4,22
473,125;4,22
473,378;4,22
473,631;4,21
473,883;4,21
474,136;4,22
474,389;4,22
474,641;4,2
474,894;4,21
475,147;4,21
475,399;4,21
475,652;4,2
475,905;4,2
476,157;4,2
476,41;4,2
476,662;4,2
476,915;4,2
477,167;4,2
477,42;4,2
477,672;4,2
477,925;4,2
478,177;4,2
478,43;4,19
478,682;4,2
478,934;4,2
479,187;4,19
479,439;4,18
479,691;4,2
479,944;4,21
480,196;4,22
480,448;4,22
480,701;4,23
480,953;4,24
481,205;4,23
481,457;4,24
481,709;4,25
481,962;4,26
482,214;4,28
482,466;4,32
482,718;4,36
482,97;4,42
483,222;4,47
483,474;4,5
483,726;4,53
483,978;4,55
484,23;4,57
484,482;4,58
484,734;4,59
484,986;4,59
485,238;4,58
485,49;4,58
485,742;4,58
485,994;4,58
486,246;4,58
486,498;4,59
486,75;4,58
487,001;4,57
487,253;4,57
487,505;4,56
487,757;4,54
488,009;4,52
488,26;4,49
488,512;4,45
488,764;4,42
489,015;4,39
489,267;4,36
489,519;4,34
489,77;4,32
490,022;4,31
490,274;4,3
490,525;4,31
490,777;4,3
491,028;4,29
491,28;4,29
491,531;4,27
491,783;4,27
492,034;4,27
492,286;4,29
492,537;4,28
492,789;4,29
493,04;4,28
493,291;4,28
493,543;4,26
493,794;4,26
494,045;4,26
494,297;4,26
494,548;4,26
494,799;4,26
495,051;4,27
495,302;4,26
495,553;4,27
495,804;4,27
496,056;4,27
496,307;4,27
496,558;4,27
496,809;4,28
497,06;4,29
497,311;4,28
497,562;4,28
497,813;4,28
498,064;4,28
498,316;4,3
498,567;4,29
498,818;4,3
499,069;4,3
499,319;4,3
499,57;4,31
499,821;4,3
500,072;4,31
500,323;4,3
500,574;4,31
500,825;4,31
501,076;4,31
501,327;4,31
501,577;4,33
501,828;4,33
502,079;4,33
502,33;4,34
502,58;4,35
502,831;4,35
503,082;4,36
503,333;4,36
503,583;4,35
503,834;4,36
504,084;4,37
504,335;4,37
504,586;4,37
504,836;4,37
505,087;4,38
505,337;4,37
505,588;4,38
505,838;4,37
506,089;4,38
506,339;4,38
506,59;4,39
506,84;4,38
507,091;4,39
507,341;4,38
507,591;4,38
507,842;4,37
508,092;4,37
508,343;4,37
508,593;4,38
508,843;4,38
509,093;4,39
509,344;4,39
509,594;4,4
509,844;4,4
510,094;4,41
510,345;4,41
510,595;4,43
510,845;4,43
511,095;4,44
511,345;4,44
511,595;4,44
511,845;4,44
512,095;4,45
512,345;4,45
512,595;4,47
512,845;4,47
513,095;4,49
513,345;4,49
513,595;4,5
513,845;4,5
514,095;4,5
514,345;4,5
514,595;4,51
514,845;4,51
515,095;4,52
515,345;4,53
515,594;4,53
515,844;4,54
516,094;4,56
516,344;4,55
516,593;4,55
516,843;4,56
517,093;4,56
517,343;4,57
517,592;4,58
517,842;4,59
518,092;4,6
518,341;4,59
518,591;4,61
518,84;4,62
519,09;4,63
519,34;4,64
519,589;4,66
519,839;4,67
520,088;4,68
520,338;4,69
520,587;4,7
520,836;4,7
521,086;4,71
521,335;4,71
521,585;4,72
521,834;4,75
522,083;4,76
522,333;4,78
522,582;4,79
522,831;4,81
523,081;4,82
523,33;4,83
523,579;4,84
523,828;4,86
524,078;4,87
524,327;4,88
524,576;4,9
524,825;4,91
525,074;4,93
525,323;4,92
525,573;4,95
525,822;4,95
526,071;4,97
526,32;4,99
526,569;5,01
526,818;5,03
527,067;5,04
527,316;5,06
527,565;5,08
527,814;5,08
528,063;5,1
528,312;5,12
528,56;5,13
528,809;5,14
529,058;5,16
529,307;5,17
529,556;5,19
529,805;5,2
530,053;5,21
530,302;5,22
530,551;5,26
530,8;5,26
531,048;5,29
531,297;5,31
531,546;5,32
531,794;5,35
532,043;5,37
532,292;5,38
532,54;5,4
532,789;5,41
533,037;5,44
533,286;5,46
533,535;5,48
533,783;5,5
534,032;5,52
534,28;5,54
534,528;5,56
534,777;5,58
535,025;5,59
535,274;5,6
535,522;5,61
535,771;5,62
536,019;5,64
536,267;5,65
536,516;5,67
536,764;5,67
537,012;5,68
537,26;5,69
537,509;5,7
537,757;5,71
538,005;5,72
538,253;5,73
538,501;5,76
538,75;5,76
538,998;5,77
539,246;5,79
539,494;5,8
539,742;5,81
539,99;5,82
540,238;5,84
540,486;5,87
540,734;5,9
540,982;5,9
541,23;5,92
541,478;5,95
541,726;5,96
541,974;5,99
542,222;6
542,47;6,02
542,718;6,05
542,966;6,07
543,213;6,09
543,461;6,11
543,709;6,13
543,957;6,16
544,205;6,18
544,452;6,2
544,7;6,22
544,948;6,24
545,196;6,26
545,443;6,28
545,691;6,3
545,939;6,32
546,186;6,35
546,434;6,37
546,681;6,38
546,929;6,41
547,176;6,43
547,424;6,46
547,671;6,48
547,919;6,5
548,166;6,52
548,414;6,56
548,661;6,59
548,909;6,61
549,156;6,64
549,404;6,67
549,651;6,7
549,898;6,73
550,146;6,76
550,393;6,8
550,64;6,83
550,888;6,86
551,135;6,89
551,382;6,92
551,629;6,95
551,876;6,99
552,124;7,03
552,371;7,06
552,618;7,08
552,865;7,13
553,112;7,15
553,359;7,18
553,606;7,21
553,854;7,24
554,101;7,26
554,348;7,3
554,595;7,33
554,842;7,36
555,089;7,39
555,336;7,43
555,582;7,46
555,829;7,49
556,076;7,52
556,323;7,56
556,57;7,59
556,817;7,64
557,064;7,67
557,311;7,71
557,557;7,74
557,804;7,8
558,051;7,84
558,298;7,89
558,544;7,94
558,791;7,98
559,038;8,03
559,284;8,07
559,531;8,12
559,778;8,17
560,024;8,23
560,271;8,28
560,517;8,34
560,764;8,4
561,011;8,45
561,257;8,51
561,504;8,58
561,75;8,64
561,997;8,7
562,243;8,76
562,489;8,81
562,736;8,87
562,982;8,93
563,229;8,99
563,475;9,05
563,721;9,12
563,968;9,18
564,214;9,25
564,46;9,33
564,707;9,4
564,953;9,46
565,199;9,54
565,445;9,62
565,691;9,7
565,938;9,78
566,184;9,88
566,43;9,97
566,676;10,07
566,922;10,15
567,168;10,25
567,414;10,36
567,66;10,47
567,906;10,57
568,152;10,68
568,398;10,79
568,644;10,9
568,89;11,01
569,136;11,12
569,382;11,23
569,628;11,33
569,874;11,42
570,12;11,53
570,366;11,64
570,612;11,74
570,857;11,84
571,103;11,96
571,349;12,05
571,595;12,16
571,84;12,26
572,086;12,37
572,332;12,46
572,578;12,56
572,823;12,65
573,069;12,74
573,315;12,84
573,56;12,93
573,806;13,03
574,051;13,14
574,297;13,24
574,542;13,36
574,788;13,48
575,034;13,59
575,279;13,7
575,524;13,81
575,77;13,91
576,015;14,01
576,261;14,11
576,506;14,21
576,752;14,29
576,997;14,39
577,242;14,49
577,488;14,6
577,733;14,7
577,978;14,81
578,223;14,93
578,469;15,05
578,714;15,17
578,959;15,29
579,204;15,4
579,45;15,51
579,695;15,61
579,94;15,72
580,185;15,81
580,43;15,91
580,675;15,99
580,92;16,09
581,165;16,19
581,41;16,29
581,655;16,39
581,9;16,49
582,145;16,6
582,39;16,7
582,635;16,8
582,88;16,91
583,125;17,01
583,37;17,12
583,615;17,21
583,86;17,31
584,105;17,42
584,349;17,53
584,594;17,63
584,839;17,75
585,084;17,85
585,328;17,97
585,573;18,07
585,818;18,19
586,063;18,29
586,307;18,39
586,552;18,49
586,797;18,6
587,041;18,69
587,286;18,8
587,53;18,89
587,775;18,98
588,019;19,08
588,264;19,17
588,508;19,27
588,753;19,37
588,997;19,48
589,242;19,6
589,486;19,7
589,731;19,83
589,975;19,95
590,22;20,09
590,464;20,22
590,708;20,35
590,953;20,46
591,197;20,59
591,441;20,72
591,685;20,84
591,93;20,96
592,174;21,1
592,418;21,21
592,662;21,35
592,907;21,48
593,151;21,6
593,395;21,71
593,639;21,83
593,883;21,94
594,127;22,06
594,371;22,15
594,615;22,26
594,859;22,36
595,103;22,47
595,347;22,58
595,591;22,69
595,835;22,81
596,079;22,94
596,323;23,06
596,567;23,17
596,811;23,29
597,055;23,41
597,299;23,52
597,542;23,65
597,786;23,77
598,03;23,89
598,274;24
598,518;24,13
598,761;24,26
599,005;24,37
599,249;24,49
599,492;24,62
599,736;24,74
599,98;24,87
600,223;25
600,467;25,12
600,711;25,24
600,954;25,37
601,198;25,49
601,441;25,6
601,685;25,72
601,928;25,85
602,172;25,97
602,415;26,08
602,659;26,21
602,902;26,33
603,145;26,44
603,389;26,58
603,632;26,69
603,876;26,81
604,119;26,94
604,362;27,06
604,606;27,16
604,849;27,28
605,092;27,38
605,335;27,49
605,579;27,59
605,822;27,69
606,065;27,79
606,308;27,91
606,551;28,03
606,794;28,14
607,037;28,25
607,281;28,36
607,524;28,48
607,767;28,58
608,01;28,69
608,253;28,81
608,496;28,91
608,739;29,03
608,982;29,12
609,225;29,23
609,468;29,35
609,711;29,47
609,953;29,58
610,196;29,71
610,439;29,82
610,682;29,94
610,925;30,05
611,168;30,17
611,41;30,28
611,653;30,4
611,896;30,5
612,139;30,61
612,381;30,72
612,624;30,85
612,867;30,97
613,109;31,09
613,352;31,19
613,595;31,29
613,837;31,39
614,08;31,51
614,322;31,61
614,565;31,72
614,807;31,81
615,05;31,93
615,292;32,03
615,535;32,13
615,777;32,23
616,02;32,35
616,262;32,45
616,505;32,56
616,747;32,65
616,989;32,77
617,232;32,88
617,474;32,99
617,716;33,09
617,959;33,19
618,201;33,29
618,443;33,41
618,685;33,51
618,927;33,63
619,17;33,74
619,412;33,84
619,654;33,95
619,896;34,06
620,138;34,18
620,38;34,29
620,622;34,4
620,864;34,52
621,107;34,62
621,349;34,7
621,591;34,8
621,833;34,93
622,075;35,02
622,316;35,13
622,558;35,24
622,8;35,34
623,042;35,45
623,284;35,54
623,526;35,64
623,768;35,75
624,01;35,84
624,251;35,94
624,493;36,04
624,735;36,13
624,977;36,22
625,218;36,31
625,46;36,4
625,702;36,5
625,943;36,59
626,185;36,69
626,427;36,81
626,668;36,92
626,91;37,01
627,152;37,1
627,393;37,19
627,635;37,27
627,876;37,36
628,118;37,46
628,359;37,57
628,601;37,66
628,842;37,75
629,084;37,84
629,325;37,93
629,566;38,03
629,808;38,13
630,049;38,22
630,29;38,31
630,532;38,41
630,773;38,49
631,014;38,59
631,256;38,67
631,497;38,75
631,738;38,83
