Data from GaranzaWhite_Reflection__0__40.txt Node;
454,626;1,35
454,88;1,37
455,134;1,37
455,388;1,39
455,642;1,39
455,896;1,39
456,15;1,37
456,404;1,38
456,658;1,38
456,912;1,38
457,165;1,38
457,419;1,37
457,673;1,4
457,927;1,4
458,181;1,4
458,435;1,4
458,688;1,4
458,942;1,41
459,196;1,4
459,45;1,41
459,703;1,42
459,957;1,42
460,211;1,43
460,464;1,44
460,718;1,4
460,972;1,42
461,225;1,41
461,479;1,42
461,732;1,43
461,986;1,42
462,239;1,41
462,493;1,4
462,746;1,41
463;1,4
463,253;1,39
463,507;1,38
463,76;1,37
464,014;1,38
464,267;1,37
464,52;1,38
464,774;1,37
465,027;1,37
465,28;1,37
465,534;1,37
465,787;1,36
466,04;1,37
466,294;1,36
466,547;1,38
466,8;1,38
467,053;1,37
467,306;1,37
467,56;1,37
467,813;1,38
468,066;1,37
468,319;1,37
468,572;1,37
468,825;1,39
469,078;1,39
469,331;1,37
469,584;1,38
469,837;1,37
470,09;1,38
470,343;1,37
470,596;1,36
470,849;1,35
471,102;1,36
471,355;1,35
471,608;1,36
471,861;1,35
472,114;1,34
472,367;1,32
472,619;1,32
472,872;1,32
473,125;1,32
473,378;1,33
473,631;1,32
473,883;1,33
474,136;1,32
474,389;1,33
474,641;1,33
474,894;1,32
475,147;1,32
475,399;1,32
475,652;1,33
475,905;1,33
476,157;1,32
476,41;1,31
476,662;1,32
476,915;1,31
477,167;1,31
477,42;1,32
477,672;1,34
477,925;1,34
478,177;1,35
478,43;1,36
478,682;1,35
478,934;1,35
479,187;1,36
479,439;1,36
479,691;1,36
479,944;1,36
480,196;1,37
480,448;1,38
480,701;1,38
480,953;1,37
481,205;1,38
481,457;1,39
481,709;1,39
481,962;1,4
482,214;1,41
482,466;1,41
482,718;1,41
482,97;1,42
483,222;1,43
483,474;1,42
483,726;1,42
483,978;1,42
484,23;1,42
484,482;1,42
484,734;1,42
484,986;1,42
485,238;1,42
485,49;1,42
485,742;1,42
485,994;1,42
486,246;1,42
486,498;1,42
486,75;1,42
487,001;1,42
487,253;1,41
487,505;1,41
487,757;1,4
488,009;1,4
488,26;1,41
488,512;1,41
488,764;1,4
489,015;1,39
489,267;1,39
489,519;1,39
489,77;1,38
490,022;1,37
490,274;1,37
490,525;1,37
490,777;1,36
491,028;1,36
491,28;1,34
491,531;1,34
491,783;1,33
492,034;1,33
492,286;1,33
492,537;1,34
492,789;1,34
493,04;1,35
493,291;1,34
493,543;1,33
493,794;1,32
494,045;1,33
494,297;1,33
494,548;1,34
494,799;1,33
495,051;1,34
495,302;1,34
495,553;1,35
495,804;1,36
496,056;1,36
496,307;1,37
496,558;1,38
496,809;1,38
497,06;1,38
497,311;1,38
497,562;1,39
497,813;1,38
498,064;1,38
498,316;1,38
498,567;1,37
498,818;1,37
499,069;1,38
499,319;1,38
499,57;1,39
499,821;1,38
500,072;1,39
500,323;1,39
500,574;1,39
500,825;1,38
501,076;1,37
501,327;1,37
501,577;1,38
501,828;1,39
502,079;1,39
502,33;1,39
502,58;1,39
502,831;1,38
503,082;1,39
503,333;1,38
503,583;1,38
503,834;1,38
504,084;1,39
504,335;1,39
504,586;1,39
504,836;1,38
505,087;1,38
505,337;1,38
505,588;1,38
505,838;1,37
506,089;1,38
506,339;1,39
506,59;1,39
506,84;1,38
507,091;1,38
507,341;1,38
507,591;1,39
507,842;1,38
508,092;1,39
508,343;1,39
508,593;1,4
508,843;1,42
509,093;1,43
509,344;1,42
509,594;1,41
509,844;1,41
510,094;1,42
510,345;1,42
510,595;1,43
510,845;1,43
511,095;1,42
511,345;1,42
511,595;1,42
511,845;1,42
512,095;1,42
512,345;1,43
512,595;1,43
512,845;1,42
513,095;1,43
513,345;1,42
513,595;1,42
513,845;1,41
514,095;1,4
514,345;1,39
514,595;1,39
514,845;1,39
515,095;1,4
515,345;1,39
515,594;1,4
515,844;1,4
516,094;1,4
516,344;1,4
516,593;1,4
516,843;1,39
517,093;1,39
517,343;1,39
517,592;1,38
517,842;1,38
518,092;1,38
518,341;1,38
518,591;1,39
518,84;1,39
519,09;1,4
519,34;1,41
519,589;1,42
519,839;1,42
520,088;1,42
520,338;1,42
520,587;1,42
520,836;1,41
521,086;1,41
521,335;1,4
521,585;1,4
521,834;1,41
522,083;1,42
522,333;1,42
522,582;1,42
522,831;1,42
523,081;1,42
523,33;1,42
523,579;1,42
523,828;1,42
524,078;1,42
524,327;1,41
524,576;1,41
524,825;1,4
525,074;1,4
525,323;1,39
525,573;1,4
525,822;1,4
526,071;1,4
526,32;1,4
526,569;1,41
526,818;1,41
527,067;1,41
527,316;1,4
527,565;1,41
527,814;1,41
528,063;1,4
528,312;1,41
528,56;1,41
528,809;1,4
529,058;1,4
529,307;1,4
529,556;1,4
529,805;1,4
530,053;1,4
530,302;1,4
530,551;1,41
530,8;1,4
531,048;1,41
531,297;1,41
531,546;1,4
531,794;1,39
532,043;1,4
532,292;1,4
532,54;1,4
532,789;1,39
533,037;1,4
533,286;1,4
533,535;1,4
533,783;1,4
534,032;1,4
534,28;1,41
534,528;1,41
534,777;1,41
535,025;1,41
535,274;1,41
535,522;1,42
535,771;1,42
536,019;1,43
536,267;1,42
536,516;1,43
536,764;1,44
537,012;1,44
537,26;1,45
537,509;1,45
537,757;1,45
538,005;1,45
538,253;1,47
538,501;1,47
538,75;1,46
538,998;1,46
539,246;1,47
539,494;1,46
539,742;1,46
539,99;1,46
540,238;1,45
540,486;1,46
